CLASS	Lemma	Stem	POS	MS	MD	MP	FS	FD	FP	Suffixes	QC	COMMENTS	Definition
-	إِعلام	إِعلام	NOUN	إِعلام / إِعلامُه (ms)	إِعلامَيْن / إِعلامَيْنُه (md)	-	-	-	إِعلامات / إِعلاماتُه (mp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK	FP	
-	هَمّ	هُمُوم	NOUN	هُمُوم / هُمُومُه (mp)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أَصل	أَصل	NOUN	أَصل / أَصلُه (ms)	أَصلَيْن / أَصلَيْنُه (md)	أَصلِين / أَصلِينُه (mp)	أَصلَة / أَصلِتُه (fs)	أَصلِتَيْن / أَصلِتَيْنُه (fd)	أَصلات / أَصلاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	solved	
-	دَولَة	دِوَل	NOUN	دِوَل / دِوَلُه (fp)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	مِقَدَّر	مِقَرَّر	ADJ	مِقَرَّر / مِقَرَّرُه (ms)	مِقَرَّرَيْن / مِقَرَّرَيْنُه (md)	مِقَرَّرِين / مِقَرَّرِينُه (mp)	مِقَرَّرَة / مِقَرَّرتُه (fs)	مِقَرَّرتَيْن / مِقَرَّرتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	solved	
-	مَع	مَع	NOUN	مَع / مَعُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	مُرّ	مُرّ	ADJ	مُرّ / مُرُّه (ms)	مُرَّيْن / مُرَّيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXXED	
-	يَوم	أَيّام	NOUN	أَيّام / أَيّامُه (mp)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	سُؤال	أَسئِل	NOUN	-	-	-	أَسئِلَة / أَسئِلتُه (mp)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	تَغيِير	تَغيِير	NOUN	تَغيِير / تَغيِيرُه (ms)	تَغيِيرَيْن / تَغيِيرَيْنُه (md)	-	-	-	تَغيِيرات / تَغيِيراتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	اِطلاق	اِطلاق	NOUN	اِطلاق / اِطلاقُه (ms)	اِطلاقَيْن / اِطلاقَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أُمَّة	أُمّ	NOUN	-	-	-	أُمَّة / أُمِّتُه (fs)	أُمِّتَيْن / أُمِّتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	حَقِيق	حَقِيق	NOUN	حَقِيق / حَقِيقُه (ms)	حَقِيقَيْن / حَقِيقَيْنُه (md)	-	حَقِيقَة / حَقِيقتُه (fs)	حَقِيقتَيْن / حَقِيقتَيْنُه (fd)	حَقِيقات / حَقِيقاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	أَيّ	أَيّ	ADJ	أَيّ / أَيُّه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	MOVE	
-	كِدَه	كِدَه	ADV	كِدَه / كِدَهُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	كِبِير	كُبار	ADJ	كُبار / كُبارُه (mp)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أَقرَب	أَقرَب	ADJ_COMP	أَقرَب / أَقرَبُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	خَرِيطَة	خَرِيط	NOUN	-	-	-	خَرِيطَة / خَرِيطتُه (fs)	خَرِيطتَيْن / خَرِيطتَيْنُه (fd)	خَرِيطات / خَرِيطاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	سَنَة	سَنَو	NOUN	-	-	-	سَنَة / سَنتُه (fs)	سَنتَيْن / سَنتَيْنُه (fd)	سَنَوات / سَنَواتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	STEM	
-	أَخضَر	خَضرا	ADJ	خَضرا / خَضراه (fs)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	شاطِر	شاطِ#ر	ADJ	شاطِر / شاطرُه (ms)	شاطرَيْن / شاطرَيْنُه (md)	شاطرِين / شاطرِينُه (mp)	شاطرَة / شاطِرتُه (fs)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	قُطّ	قُطّ	NOUN	قُطّ / قُطُّه (ms)	قُطَّيْن / قُطَّيْنُه (md)	-	قُطَّة / قُطِّتُه (fs)	قُطِّتَيْن / قُطِّتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	ONLY IN EGY FS-FD	
-	أُمّ	أُمّ	NOUN	أُمّ / أُمُّه (fs)	أُمَّيْن / أُمَّيْنُه (fd)	-	-	-	أُمَّهات / أُمَّهاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	آخَر	آخر	ADJ	آخر / آخرُه (ms)	آخرَيْن / آخرَيْنُه (md)	آخرِين / آخرِينُه (mp)	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	حُرّ	أَحرار	ADJ	أَحرار / أَحرارُه (mp)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	فِي	فِي	-	-	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB		
-	قَبل	قَبلِيَّة	NOUN	-	-	-	قَبلِيَّةَة / قَبلِيَّةتُه (fs)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	fixed	
-	عَيِّل	عَيِّل	ADJ	عَيِّل / عَيِّلُه (ms)	عَيِّلَيْن / عَيِّلَيْنُه (md)	-	عَيِّلَة / عَيِّلتُه (fs)	عَيِّلتَيْن / عَيِّلتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	سُودَة	سُود	ADJ	-	-	-	سُودَة / سُودتُه (fs)	سُودتَيْن / سُودتَيْنُه (fd)	سُودات / سُوداتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK	fixed	
-	صَندُوق	صَندُوق	ADJ	صَندُوق / صَندُوقُه (ms)	صَندُوقَيْن / صَندُوقَيْنُه (md)	-	صَندُوقَة / صَندُوقتُه (fs)	صَندُوقتَيْن / صَندُوقتَيْنُه (fd)	صَندُوقات / صَندُوقاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	fixed	
-	أَعظَم	عُظمَى	ADJ_COMP	عُظمَى / عُظمَىُه (fs)	-	-	-	عُظمَىتَيْن / عُظمَىتَيْنُه (fd)	عُظمَىات / عُظمَىاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أَحسَن	حُسنَى	NOUN	حُسنَى / حُسنَىُه (fs)	-	-	-	حُسنَىتَيْن / حُسنَىتَيْنُه (fd)	حُسنَىات / حُسنَىاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أَحمَر	أَحمَر	NOUN	أَحمَر / أَحمَرُه (ms)	-	-	-	-	أَحمَرات / أَحمَراتُه (mp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	MD	
-	فايِد	فايِ#د	NOUN_PROP	فايِد / فايدُه (ms)	فايدَيْن / فايدَيْنُه (md)	فايدِين / فايدِينُه (mp)	فايدَة / فايِدتُه (fs)	فايِدتَيْن / فايِدتَيْنُه (fd)	فايدات / فايداتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	عَسِير	أَعسَر	ADJ_COMP	أَعسَر / أَعسَرُه (ms)	أَعسَرَيْن / أَعسَرَيْنُه (md)	أَعسَرِين / أَعسَرِينُه (mp)	أَعسَرَة / أَعسَرتُه (fs)	أَعسَرتَيْن / أَعسَرتَيْنُه (fd)	أَعسَرات / أَعسَراتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	SHOULD BE ONLY MS	
-	مَيمُون	مَيمُون	NOUN_PROP	مَيمُون / مَيمُونُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	MOVE	
-	أَحَد	إِحدَى	NOUN	إِحدَى / إِحدَىُه (fs)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	STEM	
-	إِزّايّ	إِزَّيّ	ADV_REL	إِزَّيّ / إِزَّيُّه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	fixed 	
-	فَطِن	فَطِن	ADJ	فَطِن / فَطِنُه (ms)	فَطِنَيْن / فَطِنَيْنُه (md)	فَطِنِين / فَطِنِينُه (mp)	-	فَطِنتَيْن / فَطِنتَيْنُه (fd)	فَطِنات / فَطِناتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FS 	
-	شَرقاوِي	شَرَقو	ADJ	-	-	-	شَرَقوَة / شَرَقوِتُه (mp)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	جَرَبَة	جَرَب	NOUN	-	-	-	جَرَبَة / جَرَبتُه (fs)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	باك	باك	NOUN	باك / باكُه (ms)	باكَيْن / باكَيْنُه (md)	باكِين / باكِينُه (mp)	باكَة / باكتُه (fs)	باكتَيْن / باكتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أَبهَر	أَبهَر	ADJ_COMP	أَبهَر / أَبهَرُه (ms)	أَبهَرَيْن / أَبهَرَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	SHOULD BE ONLY MS	
-	صاحِب	صاحِ#ب	NOUN	صاحِب / صاحبُه (ms)	صاحبَيْن / صاحبَيْنُه (md)	-	صاحبَة / صاحِبتُه (fs)	صاحِبتَيْن / صاحِبتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FP	
-	حَيَوان	حَيَوان	ADJ	حَيَوان / حَيَوانُه (ms)	حَيَوانَيْن / حَيَوانَيْنُه (md)	-	-	-	حَيَوانات / حَيَواناتُه (mp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	جِيزَة	جِيز	NOUN_PROP	-	-	-	جِيزَة / جِيزتُه (fs)	جِيزتَيْن / جِيزتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	MOVE	
-	فِيتُو	فِيتُوه	NOUN	فِيتُوه / فِيتُوهُه (ms)	فِيتُوهَيْن / فِيتُوهَيْنُه (md)	فِيتُوهِين / فِيتُوهِينُه (mp)	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	STEM	
-	مَدام	مَدام	NOUN	مَدام / مَدامُه (ms)	-	-	-	مَدامتَيْن / مَدامتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	MS+CLITICS	
-	عَجُوز	عَجُوز	NOUN	عَجُوز / عَجُوزُه (ms)	-	-	عَجُوزَة / عَجُوزتُه (fs)	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FS-FD-FP 	
-	أَبّ	أَبَّه	NOUN	-	أَبَّهَيْن / أَبَّهَيْنُه (md)	-	-	-	أَبَّهات / أَبَّهاتُه (mp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أُخرَة	أُخر	ADJ	-	-	-	-	أُخرِتَيْن / أُخرِتَيْنُه (fd)	أُخرات / أُخراتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	STEM	
#iy~	آلِي	آل	ADJ	آلِي / آلِيه (ms)	آلِيَّيْن / آلِيَّيْنُه (md)	آلِيِّين / آلِيِّينُه (mp)	آلِيَّة / آلِيّتُه (fs)	آلِيّتَيْن / آلِيّتَيْنُه (fd)	آلِيّات / آلِيّاتُه (fp)	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	مُرَبِّي	مُرَبّ	NOUN	مُرَبِّي / مُرَبِّيه (ms)	مُرَبِّيَّيْن / مُرَبِّيَّيْنُه (md)	مُرَبِّيِّين / مُرَبِّيِّينُه (mp)	مُرَبِّيَّة / مُرَبِّيّتُه (fs)	مُرَبِّيّتَيْن / مُرَبِّيّتَيْنُه (fd)	مُرَبِّيّات / مُرَبِّيّاتُه (fp)	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	تَأَنِّي	تَأَنّ	NOUN	تَأَنِّي / تَأَنِّيه (ms)	تَأَنِّيَّيْن / تَأَنِّيَّيْنُه (md)	-	-	-	تَأَنِّيّات / تَأَنِّيّاتُه (mp)	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	تَعالِي	تَعال	NOUN	تَعالِي / تَعالِيه (ms)	تَعالِيَّيْن / تَعالِيَّيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	حَوالِي	حَوال	ADV	حَوالِي / حَوالِيه (ms)	-	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	not belonging	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	عِنَدِي	عِنَد	ADJ	عِنَدِي / عِنَدِيه (ms)	عِنَدِيَّيْن / عِنَدِيَّيْنُه (md)	عِنَدِيِّين / عِنَدِيِّينُه (mp)	عِنَدِيَّة / عِنَدِيّتُه (fs)	عِنَدِيّتَيْن / عِنَدِيّتَيْنُه (fd)	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	FP	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	بِكِينِي	بِكِين	ADJ	بِكِينِي / بِكِينِيه (ms)	بِكِينِيَّيْن / بِكِينِيَّيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	SOLVED POS	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	حُسَينِي	حُسَين	NOUN	حُسَينِي / حُسَينِيه (ms)	حُسَينِيَّيْن / حُسَينِيَّيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	fixed	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	تَمَلِّي	تَمَلّ	ADJ	تَمَلِّي / تَمَلِّيه (ms)	-	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	shouldn't be adj	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	مَبنَى	مَبان	NOUN	مَبانِي / مَبانِيه (mp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
#iy~	وَلِي	وَل	NOUN	وَلِي / وَلِيه (ms)	وَلِيَّيْن / وَلِيَّيْنُه (md)	-	وَلِيَّة / وَلِيّتُه (fs)	وَلِيّتَيْن / وَلِيّتَيْنُه (fd)	وَلِيّات / وَلِيّاتُه (fp)	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	MP	"this class is for nominal stems ending with ""iy"" which is originally ""iy~"" and interact with suffixes and clitics to produce different forms "
