,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,#BW_EXTENDED,VARIANT,GLOSS,FEAT,COND-T,COND-S,EXAMPLES,D3SEG,D3TOK,ATBSEG,ATBTOK,STATUS,COMMENTS,NOTES
36,15,VAR RED,MORPH,[VPART.I],mA/NEG_PART,maAـ,mA/NEG_PART,mA/NEG_PART,MSA,not,prc1:0 prc0:mA_neg correctness:n,_,_,** مايَكتبُونَ ,maA+_,maA+_,maA+_,maA+_,,,
37,16,VAR RED,MORPH,[VPART.I],lA/NEG_PART,laAـ,lA/NEG_PART,lA/NEG_PART,MSA,not,prc1:0 prc0:lA_neg correctness:n,_,_,** لايَكتبُونَ ,laA+_,laA+_,laA+_,laA+_,,,
38,17,,MORPH,[VPART.J],_,_,_,_,MSA,_,prc1:0 prc0:0,_,_,يكتبُوا,,,,,,,
39,18,,MORPH,[VPART.J],li/PART_JUS,li,li/JUS_PART,li/JUS_PART,MSA,should,prc1:li_jus prc0:0,else,_,لِيكتبُوا,li+_,li+_,li+_,li+_,,,"Need variants l with wa+l, fa+l; but in tokinzation it is fa+_li+_"
40,19,,MORPH,[VPART.J],li/PART_JUS,lo,li/JUS_PART,li/JUS_PART,MSA,should,prc1:li_jus prc0:0,conj,_,فَلْيكتبُوا,lo+_,li+_,lo+_,li+_,,,"Need variants l with wa+l, fa+l; but in tokinzation it is fa+_li+_"
41,20,VAR RED,MORPH,[VPART.J],sa/PART_FUT,sa,sa/FUT_PART,sa/FUT_PART,MSA,will,prc1:sa_fut prc0:0 correctness:n,_,_,** سَيَكتبُوا,li+_,li+_,li+_,li+_,,,"Need variants l with wa+l, fa+l; but in tokinzation it is fa+_li+_"
42,21,VAR RED,MORPH,[VPART.J],mA/NEG_PART,maAـ,mA/NEG_PART,mA/NEG_PART,MSA,not,prc1:0 prc0:mA_neg correctness:n,_,_,** مايكتبُوا,maA+_,maA+_,maA+_,maA+_,,,
43,22,VAR RED,MORPH,[VPART.J],lA/NEG_PART,laAـ,lA/NEG_PART,lA/NEG_PART,MSA,not,prc1:0 prc0:lA_neg correctness:n,_,_,لايكتبُوا,laA+_,laA+_,laA+_,laA+_,,,
44,23,,MORPH,[VPART.S],_,_,_,_,MSA,_,prc1:0 prc0:0,_,_,يكتبُوا,,,,,,,
45,24,,MORPH,[VPART.S],la/PART_EMPHATIC,la,la/EMPHATIC_PART,la/EMPHATIC_PART,MSA,indeed/truly,prc1:la_emph prc0:0,_,_,** لَيكتبُوا,la+_,la+_,la+_,la+_,,,
46,25,,MORPH,[VPART.S],li/CONJ_SUB,li,li/SUB_CONJ,li/SUB_CONJ,MSA,in_order_(to)/so_(that)/for,prc1:li_sub prc0:0,else,_,لِيكتبُوا,li+_,li+_,li+_,li+_,,,
47,26,,MORPH,[VPART.S],li/CONJ_SUB,lo,li/SUB_CONJ,li/SUB_CONJ,MSA,in_order_(to)/so_(that)/for,prc1:li_sub prc0:0,conj,_,فَلْيكتبُوا,lo+_,li+_,lo+_,li+_,,,
48,27,VAR RED,MORPH,[VPART.S],sa/PART_FUT,sa,sa/FUT_PART,sa/FUT_PART,MSA,will,prc1:sa_fut prc0:0 correctness:n,_,_, ** سَيكتبوا,li+_,li+_,li+_,li+_,,,"Need variants l with wa+l, fa+l; but in tokinzation it is fa+_li+_"
49,28,VAR RED,MORPH,[VPART.S],mA/NEG_PART,maAـ,mA/NEG_PART,mA/NEG_PART,MSA,not,prc1:0 prc0:mA_neg correctness:n,_,_,** مايكتبوا,maA+_,maA+_,maA+_,maA+_,,,
50,29,VAR RED,MORPH,[VPART.S],lA/NEG_PART,laAـ,lA/NEG_PART,lA/NEG_PART,MSA,not,prc1:0 prc0:lA_neg correctness:n,_,_,** لايكتبوا,laA+_,laA+_,laA+_,laA+_,,,
51,30,,MORPH,[VPART.E],_,_,_,_,MSA,_,prc1:0,_,_,** يكتبنَّ,,,,,,?Is this wrong because it shouldn't occur without a particle,
52,31,,MORPH,[VPART.E],la/PART_EMPHATIC,la,la/EMPHATIC_PART,la/EMPHATIC_PART,MSA,indeed/truly,prc1:la_emph,_,_,َلَيكتبنَّ,la+_,la+_,la+_,la+_,,,
53,,,,Perfective Verb Stem Buffers,,,,,,,,,,,,,,,,,
54,32,,MORPH,[PVBuff],Buffer,a|,a|/STEM,a|/STEM,MSA,,,#-a> A-null,_,قَرَآ,,,,,,,
55,33,,MORPH,[PVBuff],Buffer,a&,a&/STEM,a&/STEM,MSA,,,#-a> w-suff,_,قَرَؤوا,,,,,,,
56,34,,MORPH,[PVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-a> else,_,قَرأَ، قَرأََتُ,,,,,,,
57,35,,MORPH,[PVBuff],Buffer,aA,aA/STEM,aA/STEM,MSA,,,#-aw z-suff,_,دعَا,,,,,,,
58,36,,MORPH,[PVBuff],Buffer,aw,aw/STEM,aw/STEM,MSA,,,#-aw A-suff||c-suff,_,دَعَوَا، دَعَوْتُ,,,,,,,
59,37,,MORPH,[PVBuff],Buffer,_,_,_,MSA,,,#-aw else,_,دَعَوْا، دَعَتْ,,,,,,,
60,38,,MORPH,[PVBuff],Buffer,aY,aY/STEM,aY/STEM,MSA,,,#-ay z-suff else,_,رَمَى,,,,,,,
61,39,,MORPH,[PVBuff],Buffer,aA,aA/STEM,aA/STEM,MSA,,,#-ay z-suff enc0,_,رَمَاه,,aY,,aY,,,
62,40,,MORPH,[PVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-ay A-suff||c-suff,_,رَمَيا، رَمَيْتُ,,,,,,,
63,41,,MORPH,[PVBuff],Buffer,_,_,_,MSA,,,#-ay else,_,رَمْوا,,,,,,,
64,42,,MORPH,[PVBuff],Buffer,>aY,aY/STEM,aY/STEM,MSA,,,#->ay z-suff else,_,اِرْتَأى,,,,,,,
65,43,,MORPH,[PVBuff],Buffer,|,aA/STEM,aA/STEM,MSA,,,#->ay z-suff enc0,_,اِرْتَآه,,>aY,,>aY,,,
66,44,,MORPH,[PVBuff],Buffer,>ay,ay/STEM,ay/STEM,MSA,,,#->ay A-suff||c-suff,_,اِرْتَأيَا، اِرْتَأيْتُمْ,,,,,,,
67,45,,MORPH,[PVBuff],Buffer,>,>/STEM,>/STEM,MSA,,,#->ay else,_,اِرْتَأوا,,,,,,,
68,46,,MORPH,[PVBuff],Buffer,>~aY,aY/STEM,aY/STEM,MSA,,,#->~ay z-suff else,_,تَرَأّى,,,,,,,
69,47,,MORPH,[PVBuff],Buffer,|~,aA/STEM,aA/STEM,MSA,,,#->~ay z-suff enc0,_,تَرَآّه,,>~aY,,>~aY,,,
70,48,,MORPH,[PVBuff],Buffer,>~ay,ay/STEM,ay/STEM,MSA,,,#->~ay A-suff||c-suff,_,تَرَأّّيَا، تَرَأّيْتُ,,,,,,,
71,49,,MORPH,[PVBuff],Buffer,>~,>/STEM,>/STEM,MSA,,,#->~ay else,_,تَرَأّوا,,,,,,,
72,50,,MORPH,[PVBuff],Buffer,_,_,_,MSA,,,#-iy w-suff,_,رَضُوا,,,,,,,
73,51,,MORPH,[PVBuff],Buffer,iy,iy/STEM,iy/STEM,MSA,,,#-iy else,_,رَضِي,,,,,,,
74,52,,MORPH,[PVBuff],Buffer,&,&/STEM,&/STEM,MSA,,,#-}iy w-suff,_,يَرْتَؤوا,,,,,,,
75,53,,MORPH,[PVBuff],Buffer,}iy,}iy/STEM,}iy/STEM,MSA,,,#-}iy else,_,يَرْتَئِي,,,,,,,
76,54,,MORPH,[PVBuff],Buffer,&~,&~/STEM,&~/STEM,MSA,,,#-}~iy w-suff,_,تُرُؤّا,,,,,,,Used for passives
77,55,,MORPH,[PVBuff],Buffer,}~iy,}~iy/STEM,}~iy/STEM,MSA,,,#-}~iy else,_,تُرئِّيتُ,,,,,,,Used for passives
78,56,,MORPH,[PVBuff],Buffer,i},i}/STEM,i}/STEM,MSA,,,#-iy' c-suff,_,سِئْتُ,,,,,,,
79,57,,MORPH,[PVBuff],Buffer,iy',iy'/STEM,iy'/STEM,MSA,,,#-iy' v-suff z-suff,_,سِيء,,,,,,,
80,58,,MORPH,[PVBuff],Buffer,iy},iy}/STEM,iy}/STEM,MSA,,,#-iy' v-suff else,_,سِيِئَتَا,,,,,,,
81,59,,MORPH,[PVBuff],Buffer,a>,a>/STEM,a>/STEM,MSA,,,#-A' c-suff,_,أسَأتُ,,,,,,,
82,60,,MORPH,[PVBuff],Buffer,aA&,A&/STEM,A&/STEM,MSA,,,#-A' w-suff,,أسَاؤا,,,,,,,
83,61,,MORPH,[PVBuff],Buffer,aA',A'/STEM,A'/STEM,MSA,,,#-A' else,_,أسَاءَ,,,,,,,
84,62,,MORPH,[PVBuff],Buffer,aA,aA/STEM,aA/STEM,MSA,,,#-aA z-suff,_,حيّا,,,,,,,
85,63,,MORPH,[PVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aA A-suff||c-suff,_,حيّيَا، حَيّيْتُ,,,,,,,
86,64,,MORPH,[PVBuff],Buffer,_,_,_,MSA,,,#-aA else,_,حيّوا,,,,,,,
87,65,,MORPH,[PVBuff],Buffer,_,_,_,MSA,,,else,_,كَتَبَ,,,,,,,
88,,,,Perfective Verb Suffixes,,,,,,,,,,,,,,,,,
89,66,,MORPH,[PVSuff],PVSuff.1S,~u,~u/PVSUFF_SUBJ:1S,~u/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,#t,c-suff,سَكتُّ,,,,,,,
90,67,,MORPH,[PVSuff],PVSuff.1S,otu,tu/PVSUFF_SUBJ:1S,tu/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,else,c-suff,كتبْتُ,,,,,,,
91,68,,MORPH,[PVSuff],PVSuff.1P,~aA,~A/PVSUFF_SUBJ:1P,~A/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff,سكنَّا,,,,,,,
92,69,,MORPH,[PVSuff],PVSuff.1P,onaA,nA/PVSUFF_SUBJ:1P,nA/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff,كتبْنَا,,,,,,,
93,70,,MORPH,[PVSuff],PVSuff.2MS,~a,~a/PVSUFF_SUBJ:2MS,~a/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,سَكتَّ,,,,,,,
94,71,,MORPH,[PVSuff],PVSuff.2MS,ota,ta/PVSUFF_SUBJ:2MS,ta/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,كَتبْتَ,,,,,,,
95,72,,MORPH,[PVSuff],PVSuff.2MP,~umuw ,~umuw/PVSUFF_SUBJ:2MP,~umuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* enc0,c-suff,سَكَتُّمُوها,,~umo,,~umo,,,
96,73,,MORPH,[PVSuff],PVSuff.2MP,~umo,~um/PVSUFF_SUBJ:2MP,~um/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* else,c-suff,سَكَتُّمْ,,,,,,,
97,74,,MORPH,[PVSuff],PVSuff.2MP,otumuw,tumuw/PVSUFF_SUBJ:2MP,tumuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* enc0,c-suff,كَتبْتُمُوها,,otumo,,otumo,,,
98,75,,MORPH,[PVSuff],PVSuff.2MP,otumo,tum/PVSUFF_SUBJ:2MP,tum/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* else,c-suff,كَتبْتُمْ,,,,,,,
99,76,,MORPH,[PVSuff],PVSuff.2FS,~i,~i/PVSUFF_SUBJ:2FS,~i/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff #^i,سَكَتِّ,,,,,,,
100,77,,MORPH,[PVSuff],PVSuff.2FS,oti,ti/PVSUFF_SUBJ:2FS,ti/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff #^i,كَتبْتِ,,,,,,,
101,78,,MORPH,[PVSuff],PVSuff.2FP,~un~a,~un~a/PVSUFF_SUBJ:2FP,~un~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,#t !enc0:2*,c-suff,سَكتُّنَّ,,,,,,,
102,79,,MORPH,[PVSuff],PVSuff.2FP,otun~a,tun~a/PVSUFF_SUBJ:2FP,tun~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,else !enc0:2* ,c-suff,كَتبْتُنَّ,,,,,,,
103,80,,MORPH,[PVSuff],PVSuff.2D,~umaA,~umA/PVSUFF_SUBJ:2D,~umA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,#t !enc0:2*,c-suff,سَكتُّمَا,,,,,,,
104,81,,MORPH,[PVSuff],PVSuff.2D,otumaA,tumA/PVSUFF_SUBJ:2D,tumA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,else !enc0:2*,c-suff,كَتبْتُمَا,,,,,,,
105,82,,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,(null)/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,#-ay||#-aw||#-aA||#->ay||#->~ay,z-suff,رَمَى,,,,,,,
106,83,,MORPH,[PVSuff],PVSuff.3MS,a,a/PVSUFF_SUBJ:3MS,a/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,else,v-suff z-suff,كَتَبَ,,,,,,,
107,84,,MORPH,[PVSuff],PVSuff.3MD,_,(null)/PVSUFF_SUBJ:3MD,(null)/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,#-a>,A-null,قَرَآ,,,,,,,
108,85,,MORPH,[PVSuff],PVSuff.3MD,aA,A/PVSUFF_SUBJ:3MD,A/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,else,v-suff A-suff,كَتَبَا,,,,,,,
109,86,,MORPH,[PVSuff],PVSuff.3MP,awo,awo/PVSUFF_SUBJ:3MP,awo/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-aw||#-aA||#->ay||#->~ay enc0,v-suff w-suff,رَمَوْه,,awoA,,awoA,,,
110,87,,MORPH,[PVSuff],PVSuff.3MP,awoAo,awoA/PVSUFF_SUBJ:3MP,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-aw||#-aA||#->ay||#->~ay else,v-suff w-suff,رَمَوْاْ,,,,,,,
111,88,,MORPH,[PVSuff],PVSuff.3MP,uw,uw/PVSUFF_SUBJ:3MP,uw/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else enc0,v-suff w-suff,كَتبُوها,,uwA,,uwA,,,
112,89,,MORPH,[PVSuff],PVSuff.3MP,uwAo,uwA/PVSUFF_SUBJ:3MP,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else else,v-suff w-suff,كتبُواْ,,,,,,,
113,90,,MORPH,[PVSuff],PVSuff.3FP,~a,~a/PVSUFF_SUBJ:3FP,~a/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,#n,c-suff,سكنَّ,,,,,,,
114,91,,MORPH,[PVSuff],PVSuff.3FP,ona,na/PVSUFF_SUBJ:3FP,na/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,else,c-suff,كتبْنَ,,,,,,,
115,92,,MORPH,[PVSuff],PVSuff.3FD,ataA,atA/PVSUFF_SUBJ:3FD,atA/PVSUFF_SUBJ:3FD,MSA,they_[fem.du.],asp:p per:3 gen:f num:d,else,v-suff,كتبَتَا,,,,,,,
116,93,,MORPH,[PVSuff],PVSuff.3FS,ato,at/PVSUFF_SUBJ:3FS,at/PVSUFF_SUBJ:3FS,MSA,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff,كتبَتْ,,,,,,,
117,,,,Imperfective verb prefixes,,,,,,,,,,,,,,,,,
118,94,,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,|/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# >-#,h-pref,آكُل,,,,,,,
119,95,,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# else,h-pref,أكْتب,,,,,,,
120,96,,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,else,h-pref,أؤجل,,,,,,,
121,97,,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,n/IV1P,MSA,we_[pl.],asp:i per:1 gen:u num:p,!enc0:1*,_,نكْتبُ,,,,,,,
122,98,,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,t/IV2MS,MSA,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,_,تكْتبُ,,,,,,,
123,99,,MORPH,[IVPref.2MP],IVPref.2MP,t,t/IV2MP,t/IV2MP,MSA,you_[masc.pl.],asp:i per:2 gen:m num:p,!enc0:2*,_,تكْتبُ,,,,,,,
124,100,,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,t/IV2FS,MSA,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,_,تكْتبُ,,,,,,,
125,101,,MORPH,[IVPref.2FP],IVPref.2FP,t,t/IV2FP,t/IV2FP,MSA,you_[fem.pl.],asp:i per:2 gen:f num:p,!enc0:2*,_,تكْتبُ,,,,,,,
126,102,,MORPH,[IVPref.2D],IVPref.2D,t,t/IV2D,t/IV2D,MSA,you_[du.],asp:i per:2 gen:u num:d,!enc0:2*,_,تكْتبُ,,,,,,,
127,103,,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,y/IV3MS,MSA,he_[masc.sg.],asp:i per:3 gen:m num:s,_,_,يكْتبُ,,,,,,,
128,104,,MORPH,[IVPref.3MD],IVPref.3MD,y,y/IV3MD,y/IV3MD,MSA,they_[masc.du.],asp:i per:3 gen:m num:d,_,_,يكْتبُ,,,,,,,
129,105,,MORPH,[IVPref.3MP],IVPref.3MP,y,y/IV3MP,y/IV3MP,MSA,they_[masc.pl.],asp:i per:3 gen:m num:p,_,_,يكْتبُ,,,,,,,
130,106,,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,t/IV3FS,MSA,she_[fem.sg.],asp:i per:3 gen:f num:s,_,_,تكْتبُ,,,,,,,
131,107,,MORPH,[IVPref.3FD],IVPref.3FD,t,t/IV3FD,t/IV3FD,MSA,she_[fem.pl.],asp:i per:3 gen:f num:d,_,_,تكْتبُ,,,,,,,
132,108,,MORPH,[IVPref.3FP],IVPref.3FP,y,y/IV3FP,y/IV3FP,MSA,they_[fem.pl.],asp:i per:3 gen:f num:p,_,_,يكْتبُ,,,,,,,
133,,,,Imperfective verb pre-stem buffer,,,,,,,,,,,,,,,,,
134,109,,MORPH,[IVPreBuff],Buffer#a-#,_,_,_,MSA,,,a-# >-# h-pref,_,آكل,,,,,,,
135,110,,MORPH,[IVPreBuff],Buffer#a-#,a>o,a>/STEM,a>/STEM,MSA,,,a-# >-# else,_,تأكلن,,,,,,,
136,111,,MORPH,[IVPreBuff],Buffer#a-#,a,a/STEM,a/STEM,MSA,,,a-# else,_,تكتب,,,,,,,
137,112,,MORPH,[IVPreBuff],Buffer#u-#,uw,uw/STEM,uw/STEM,MSA,,,u-# >-# h-pref,_,أُوسَر,,,,,,,
138,113,,MORPH,[IVPreBuff],Buffer#u-#,u&o,u&/STEM,u&/STEM,MSA,,,u-# >-# else,_,تُؤسَر,,,,,,,
139,114,,MORPH,[IVPreBuff],Buffer#u-#,u,u/STEM,u/STEM,MSA,,,u-# else,_,تُساعد,,,,,,,
140,,,,Imperfective verb post-stem buffer,,,,,,,,,,,,,,,,,
141,115,,MORPH,[IVBuff],Buffer,aA,A/STEM,A/STEM,MSA,,,#-aA z-suff mod:is,_,تحيَا,,,,,,,
142,116,,MORPH,[IVBuff],Buffer,a,a/STEM,a/STEM,MSA,,,#-aA z-suff else,_,تحيَ,,,,,,,
143,117,,MORPH,[IVBuff],Buffer,_,_,_,MSA,,,#-aA w-suff||y-suff,_,تَحيَا,,,,,,,
144,118,,MORPH,[IVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aA else,_,تحيَينَ، تحيَونَ,,,,,,,
145,119,,MORPH,[IVBuff],Buffer,_,_,_,MSA,,,#-aY w-suff||y-suff,_,ترينَ، ترونَ,,,,,,,
146,120,,MORPH,[IVBuff],Buffer,a,a/STEM,a/STEM,MSA,,,#-aY z-suff else,_,ترَ,,,,,,,
147,121,,MORPH,[IVBuff],Buffer,aY,aY/STEM,aY/STEM,MSA,,,#-aY z-suff mod:is else,_,ترَى,,,,,,,
148,122,,MORPH,[IVBuff],Buffer,aA,A/STEM,A/STEM,MSA,,,#-aY z-suff mod:is enc0,_,ترَاه,,aY,,aY,,,
149,123,,MORPH,[IVBuff],Buffer,ay,ay/STEM,ay/STEM,MSA,,,#-aY else,_,تريَانَ,,,,,,,
150,124,,MORPH,[IVBuff],Buffer,uw,uw/STEM,uw/STEM,MSA,,,#-uw z-suff mod:is,_,تدعُو,,,,,,,
151,125,,MORPH,[IVBuff],Buffer,u,u/STEM,u/STEM,MSA,,,#-uw z-suff else,_,تدعُ,,,,,,,
152,126,,MORPH,[IVBuff],Buffer,_,_,_,MSA,,,#-uw w-suff||y-suff,_,تدعونَ، تدعينَ,,,,,,,
153,127,,MORPH,[IVBuff],Buffer,uw,uw/STEM,uw/STEM,MSA,,,#-uw else,_,تدعُو,,,,,,,
154,128,,MORPH,[IVBuff],Buffer,_,_,_,MSA,,,#-iy w-suff||y-suff,_,ترمونَ، ترمينَ,,,,,,,
155,129,,MORPH,[IVBuff],Buffer,i,i/STEM,i/STEM,MSA,,,#-iy z-suff else,_,ترمِ,,,,,,,
156,130,,MORPH,[IVBuff],Buffer,iy,iy/STEM,iy/STEM,MSA,,,#-iy z-suff mod:is,_,ترمِي,,,,,,,
