,LINE,PATTERN_ABSTRACT,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
59,60,>a1o2a3,*.k.r,LEXICON,[STEM-PV],>a*okar,>u*okir,PV_PASS,remind,pos:verb asp:p vox:p mod:i,,intrans,,
60,61,ta1a2~3,*.k.r,LEXICON,[STEM-PV],ta*ak~ar,tu*uk~ir,PV_PASS,remember,pos:verb asp:p vox:p mod:i,,intrans,,
61,62,ta1A2a3,*.k.r,LEXICON,[STEM-PV],ta*Akar,tu*uwkir,PV_PASS,remind_mutually;confer,pos:verb asp:p vox:p mod:i,,intrans,,
62,63,1a2a3,*.k.w,LEXICON,[STEM-PV],*akA-u,*ak,PV,flare_up;blaze,pos:verb asp:p vox:a mod:i,,#-aw defective trans,,
63,64,1a2a3,*.k.w,LEXICON,[STEM-PV],*akA-u,*uk,PV_PASS,flare_up;blaze,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
64,65,{isota1o2a3,*.k.y,LEXICON,[STEM-PV],{isota*okaY,{isota*ok,PV,flare_up;blaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
65,66,1a2~a3,*.k.y,LEXICON,[STEM-PV],*ak~aY,*ak~,PV,kindle;set_ablaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
66,67,1a2a3,*.k.y,LEXICON,[STEM-PV],*akiy-a,*ak,PV,be_sharp-witted,pos:verb asp:p vox:a mod:i,,#-iy defective intrans,,
67,68,>a1o2a3,*.k.y,LEXICON,[STEM-PV],>a*okaY,>a*ok,PV,kindle;make_blaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
68,69,{isota1o2a3,*.k.y,LEXICON,[STEM-PV],{isota*okaY,{usotu*ok,PV_PASS,flare_up;blaze,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
69,70,1a2~a3,*.k.y,LEXICON,[STEM-PV],*ak~aY,*uk~,PV_PASS,kindle;set_ablaze,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
70,71,1a2a3,*.k.y,LEXICON,[STEM-PV],*akiy-a,*uk,PV_PASS,be_sharp-witted,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
71,72,>a1o2a3,*.k.y,LEXICON,[STEM-PV],>a*okaY,>u*ok,PV_PASS,kindle;make_blaze,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
72,73,{isota1o2a3,*.l.l,LEXICON,[STEM-PV],{isota*al~,{isota*al~,PV,deride;disparage,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
73,74,{isota1o2a3,*.l.l,LEXICON,[STEM-PV],{isota*al~,{isota*olal,PV,deride;disparage,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
74,75,1a2~a3,*.l.l,LEXICON,[STEM-PV],*al~al,*al~al,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,,trans,,
75,76,>a1o2a3,*.l.l,LEXICON,[STEM-PV],>a*al~,>a*olal,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
76,77,>a1o2a3,*.l.l,LEXICON,[STEM-PV],>a*al~,>a*al~,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
77,78,ta1a2~3,*.l.l,LEXICON,[STEM-PV],ta*al~al,ta*al~al,PV,be_humble;be_obsequious,pos:verb asp:p vox:a mod:i,,intrans,,
78,79,{isota1o2a3,*.l.l,LEXICON,[STEM-PV],{isota*al~,{usotu*il~,PV_PASS,deride;disparage,pos:verb asp:p vox:p mod:i,v-suff,gem intrans,,
79,80,{isota1o2a3,*.l.l,LEXICON,[STEM-PV],{isota*al~,{usotu*olil,PV_PASS,deride;disparage,pos:verb asp:p vox:p mod:i,c-suff,gem intrans,,
80,81,1a2~a3,*.l.l,LEXICON,[STEM-PV],*al~al,*ul~il,PV_PASS,degrade;subdue,pos:verb asp:p vox:p mod:i,,intrans,,
81,82,>a1o2a3,*.l.l,LEXICON,[STEM-PV],>a*al~,>u*olil,PV_PASS,degrade;subdue,pos:verb asp:p vox:p mod:i,c-suff,gem intrans,,
82,83,>a1o2a3,*.l.l,LEXICON,[STEM-PV],>a*al~,>u*il~,PV_PASS,degrade;subdue,pos:verb asp:p vox:p mod:i,v-suff,gem intrans,,
83,84,ta1a2~3,*.l.l,LEXICON,[STEM-PV],ta*al~al,tu*ul~il,PV_PASS,be_humble;be_obsequious,pos:verb asp:p vox:p mod:i,,intrans,,
84,85,1a2a3,*.m.m,LEXICON,[STEM-PV],*am~-u,*am~,PV,blame;criticize,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
85,86,1a2a3,*.m.m,LEXICON,[STEM-PV],*am~-u,*amam,PV,blame;criticize,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
86,87,1a2~a3,*.m.m,LEXICON,[STEM-PV],*am~am,*am~am,PV,rebuke;censure,pos:verb asp:p vox:a mod:i,,trans,,
87,88,1a2a3,*.m.m,LEXICON,[STEM-PV],*am~-u,*um~,PV_PASS,blame;criticize,pos:verb asp:p vox:p mod:i,v-suff,gem intrans,,
88,89,1a2a3,*.m.m,LEXICON,[STEM-PV],*am~-u,*umim,PV_PASS,blame;criticize,pos:verb asp:p vox:p mod:i,c-suff,gem intrans,,
89,90,1a2~a3,*.m.m,LEXICON,[STEM-PV],*am~am,*um~im,PV_PASS,rebuke;censure,pos:verb asp:p vox:p mod:i,,intrans,,
90,91,ta1a2~3,*.m.r,LEXICON,[STEM-PV],ta*am~ar,ta*am~ar,PV,grumble;complain,pos:verb asp:p vox:a mod:i,,trans,,
91,92,ta1a2~3,*.m.r,LEXICON,[STEM-PV],ta*am~ar,tu*um~ir,PV_PASS,grumble;complain,pos:verb asp:p vox:p mod:i,,intrans,,
92,93,1a2a3,*.m.y,LEXICON,[STEM-PV],*amiy-a,*am,PV,be_near_death,pos:verb asp:p vox:a mod:i,,#-iy defective intrans,,
93,94,1a2a3,*.m.y,LEXICON,[STEM-PV],*amiy-a,*um,PV_PASS,be_near_death,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
94,95,{isota1o2a3,*.n.b,LEXICON,[STEM-PV],{isota*onab,{isota*onab,PV,find/declare_guilty;incriminate,pos:verb asp:p vox:a mod:i,,trans,,
95,96,>a1o2a3,*.n.b,LEXICON,[STEM-PV],>a*onab,>a*onab,PV,do_wrong;commit_an_offense;be_guilty,pos:verb asp:p vox:a mod:i,,trans,,
96,97,{isota1o2a3,*.n.b,LEXICON,[STEM-PV],{isota*onab,{usotu*onib,PV_PASS,find/declare_guilty;incriminate,pos:verb asp:p vox:p mod:i,,intrans,,
97,98,>a1o2a3,*.n.b,LEXICON,[STEM-PV],>a*onab,>u*onib,PV_PASS,do_wrong;commit_an_offense;be_guilty,pos:verb asp:p vox:p mod:i,,intrans,,
98,99,1a2a3,*.r.>,LEXICON,[STEM-PV],*ara>-a,*ar,PV,create;sow;seed,pos:verb asp:p vox:a mod:i,,#-a> trans,,
99,100,1a2a3,*.r.>,LEXICON,[STEM-PV],*ara>-a,*uri},PV_PASS,create;sow;seed,pos:verb asp:p vox:p mod:i,,intrans,,
100,101,1a2a3,*.r.b,LEXICON,[STEM-PV],*arib-a,*arib,PV,be_sharp;be_cutting,pos:verb asp:p vox:a mod:i,,intrans,,
101,102,1a2a3,*.r.b,LEXICON,[STEM-PV],*arib-a,*urib,PV_PASS,be_sharp;be_cutting,pos:verb asp:p vox:p mod:i,,intrans,,
102,103,{ino1a2a3,*.r.E,LEXICON,[STEM-PV],{ino*araE,{ino*araE,PV,advance;intervene,pos:verb asp:p vox:a mod:i,,trans,,
103,104,1a2a3,*.r.E,LEXICON,[STEM-PV],*araE-a,*araE,PV,measure,pos:verb asp:p vox:a mod:i,,trans,,
104,105,ta1a2~3,*.r.E,LEXICON,[STEM-PV],ta*ar~aE,ta*ar~aE,PV,employ;apply,pos:verb asp:p vox:a mod:i,,trans,,
105,106,{ino1a2a3,*.r.E,LEXICON,[STEM-PV],{ino*araE,{uno*uriE,PV_PASS,advance;intervene,pos:verb asp:p vox:p mod:i,,intrans,,
106,107,1a2a3,*.r.E,LEXICON,[STEM-PV],*araE-a,*uriE,PV_PASS,measure,pos:verb asp:p vox:p mod:i,,intrans,,
107,108,ta1a2~3,*.r.E,LEXICON,[STEM-PV],ta*ar~aE,tu*ur~iE,PV_PASS,employ;apply,pos:verb asp:p vox:p mod:i,,intrans,,
108,109,{isota1o2a3,*.r.f,LEXICON,[STEM-PV],{isota*oraf,{isota*oraf,PV,let_flow;shed,pos:verb asp:p vox:a mod:i,,trans,,
109,110,1a2~a3,*.r.f,LEXICON,[STEM-PV],*ar~af,*ar~af,PV,exceed,pos:verb asp:p vox:a mod:i,,trans,,
110,111,1a2a3,*.r.f,LEXICON,[STEM-PV],*araf-i,*araf,PV,flow;shed,pos:verb asp:p vox:a mod:i,,trans,,
111,112,{isota1o2a3,*.r.f,LEXICON,[STEM-PV],{isota*oraf,{usotu*orif,PV_PASS,let_flow;shed,pos:verb asp:p vox:p mod:i,,intrans,,
112,113,1a2~a3,*.r.f,LEXICON,[STEM-PV],*ar~af,*ur~if,PV_PASS,exceed,pos:verb asp:p vox:p mod:i,,intrans,,
113,114,1a2a3,*.r.f,LEXICON,[STEM-PV],*araf-i,*urif,PV_PASS,flow;shed,pos:verb asp:p vox:p mod:i,,intrans,,
114,115,1a2a3,*.r.q,LEXICON,[STEM-PV],*araq-i,*araq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
115,116,1a2a3,*.r.q,LEXICON,[STEM-PV],*araq-u,*araq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
116,117,>a1o2a3,*.r.q,LEXICON,[STEM-PV],>a*oraq,>a*oraq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
117,118,1a2a3,*.r.q,LEXICON,[STEM-PV],*araq-i,*uriq,PV_PASS,drop_excrement_(bird),pos:verb asp:p vox:p mod:i,,intrans,,
118,119,1a2a3,*.r.q,LEXICON,[STEM-PV],*araq-u,*uriq,PV_PASS,drop_excrement_(bird),pos:verb asp:p vox:p mod:i,,intrans,,
119,120,>a1o2a3,*.r.q,LEXICON,[STEM-PV],>a*oraq,>u*oriq,PV_PASS,drop_excrement_(bird),pos:verb asp:p vox:p mod:i,,intrans,,
120,121,1a2a3,*.r.r,LEXICON,[STEM-PV],*ar~-u,*ar~,PV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
121,122,1a2a3,*.r.r,LEXICON,[STEM-PV],*ar~-u,*arar,PV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
122,123,1a2a3,*.r.r,LEXICON,[STEM-PV],*ar~-u,*ur~,PV_PASS,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:p mod:i,v-suff,gem intrans,,
123,124,1a2a3,*.r.r,LEXICON,[STEM-PV],*ar~-u,*urir,PV_PASS,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:p mod:i,c-suff,gem intrans,,
124,125,1a2a3,*.r.w,LEXICON,[STEM-PV],*arA-u,*ar,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-aw defective trans,,
125,126,1a2a3,*.r.w,LEXICON,[STEM-PV],*arA-u,*ur,PV_PASS,disperse;scatter,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
126,127,{isota1o2a3,*.r.y,LEXICON,[STEM-PV],{isota*oraY,{isota*or,PV,take_refuge,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
127,128,1a2~a3,*.r.y,LEXICON,[STEM-PV],*ar~aY,*ar~,PV,disperse;scatter;atomize,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
128,129,1a2a3,*.r.y,LEXICON,[STEM-PV],*araY-i,*ar,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
129,130,>a1o2a3,*.r.y,LEXICON,[STEM-PV],>a*oraY,>a*or,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
130,131,ta1a2~3,*.r.y,LEXICON,[STEM-PV],ta*ar~aY,ta*ar~,PV,climb;take_refuge,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
131,132,{isota1o2a3,*.r.y,LEXICON,[STEM-PV],{isota*oraY,{usotu*or,PV_PASS,take_refuge,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
132,133,1a2~a3,*.r.y,LEXICON,[STEM-PV],*ar~aY,*ur~,PV_PASS,disperse;scatter;atomize,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
133,134,1a2a3,*.r.y,LEXICON,[STEM-PV],*araY-i,*ur,PV_PASS,disperse;scatter,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
134,135,>a1o2a3,*.r.y,LEXICON,[STEM-PV],>a*oraY,>u*or,PV_PASS,disperse;scatter,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
135,136,ta1a2~3,*.r.y,LEXICON,[STEM-PV],ta*ar~aY,tu*ur~,PV_PASS,climb;take_refuge,pos:verb asp:p vox:p mod:i,,#-iy defective intrans,,
136,137,1a2a3,*.w.b,LEXICON,[STEM-PV],*Ab-u,*ub,PV,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:a mod:i,c-suff,hollow intrans,,
137,138,1a2a3,*.w.b,LEXICON,[STEM-PV],*Ab-u,*Ab,PV,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:a mod:i,v-suff,hollow intrans,,
138,139,1a2~a3,*.w.b,LEXICON,[STEM-PV],*aw~ab,*aw~ab,PV,dissolve;liquify;melt,pos:verb asp:p vox:a mod:i,,trans,,
139,140,>a1o2a3,*.w.b,LEXICON,[STEM-PV],>a*Ab,>a*ab,PV,dissolve;melt;exhaust;consume,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
140,141,>a1o2a3,*.w.b,LEXICON,[STEM-PV],>a*Ab,>a*Ab,PV,dissolve;melt;exhaust;consume,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
141,142,1a2a3,*.w.b,LEXICON,[STEM-PV],*Ab-u,*ub,PV_PASS,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:p mod:i,c-suff,hollow intrans,,
142,143,1a2a3,*.w.b,LEXICON,[STEM-PV],*Ab-u,*iyb,PV_PASS,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:p mod:i,v-suff,hollow intrans,,
143,144,1a2~a3,*.w.b,LEXICON,[STEM-PV],*aw~ab,*uw~ib,PV_PASS,dissolve;liquify;melt,pos:verb asp:p vox:p mod:i,,intrans,,
144,145,>a1o2a3,*.w.b,LEXICON,[STEM-PV],>a*Ab,>u*ib,PV_PASS,dissolve;melt;exhaust;consume,pos:verb asp:p vox:p mod:i,c-suff,hollow intrans,,
145,146,>a1o2a3,*.w.b,LEXICON,[STEM-PV],>a*Ab,>u*iyb,PV_PASS,dissolve;melt;exhaust;consume,pos:verb asp:p vox:p mod:i,v-suff,hollow intrans,,
146,147,1a2a3,*.w.d,LEXICON,[STEM-PV],*Ad-u,*ud,PV,scatter;remove;defend,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
147,148,1a2a3,*.w.d,LEXICON,[STEM-PV],*Ad-u,*Ad,PV,scatter;remove;defend,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
148,149,1a2a3,*.w.d,LEXICON,[STEM-PV],*Ad-u,*ud,PV_PASS,scatter;remove;defend,pos:verb asp:p vox:p mod:i,c-suff,hollow intrans,,
149,150,1a2a3,*.w.d,LEXICON,[STEM-PV],*Ad-u,*iyd,PV_PASS,scatter;remove;defend,pos:verb asp:p vox:p mod:i,v-suff,hollow intrans,,
150,151,1a2a3,*.w.q,LEXICON,[STEM-PV],*Aq-u,*uq,PV,taste;sample;experience,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
151,152,1a2a3,*.w.q,LEXICON,[STEM-PV],*Aq-u,*Aq,PV,taste;sample;experience,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
152,153,>a1o2a3,*.w.q,LEXICON,[STEM-PV],>a*Aq,>a*aq,PV,make_taste;make_sample;make_experience,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
153,154,>a1o2a3,*.w.q,LEXICON,[STEM-PV],>a*Aq,>a*Aq,PV,make_taste;make_sample;make_experience,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
154,155,ta1a2~3,*.w.q,LEXICON,[STEM-PV],ta*aw~aq,ta*aw~aq,PV,perceive;taste,pos:verb asp:p vox:a mod:i,,trans,,
155,156,1a2a3,*.w.q,LEXICON,[STEM-PV],*Aq-u,*uq,PV_PASS,taste;sample;experience,pos:verb asp:p vox:p mod:i,c-suff,hollow intrans,,
156,157,1a2a3,*.w.q,LEXICON,[STEM-PV],*Aq-u,*iyq,PV_PASS,taste;sample;experience,pos:verb asp:p vox:p mod:i,v-suff,hollow intrans,,
157,158,>a1o2a3,*.w.q,LEXICON,[STEM-PV],>a*Aq,>u*iq,PV_PASS,make_taste;make_sample;make_experience,pos:verb asp:p vox:p mod:i,c-suff,hollow intrans,,
158,159,>a1o2a3,*.w.q,LEXICON,[STEM-PV],>a*Aq,>u*iyq,PV_PASS,make_taste;make_sample;make_experience,pos:verb asp:p vox:p mod:i,v-suff,hollow intrans,,
159,160,ta1a2~3,*.w.q,LEXICON,[STEM-PV],ta*aw~aq,tu*uw~iq,PV_PASS,perceive;taste,pos:verb asp:p vox:p mod:i,,intrans,,
160,161,1a2a3,*.w.y,LEXICON,[STEM-PV],*awaY-i,*aw,PV,wither;fade,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
