,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-S,EXAMPLES,D3SEG,D3TOK,ATBSEG,ATBTOK,COMMENTS,STATUS,NOTES
32,14,RED,MORPH,[PREP],li/PREP,li,li/PREP,for/to,MSA,prc1:li_prep,_,li/PREP,ل(بيت),li+_,li+_,li+_,li+_,,,
33,15,RED,MORPH,[PREP],wa/PREP,wa,wa/PREP,with/by,MSA,prc1:wa_prep,_,_,و(الله),wa+_,wa+_,wa+_,wa+_,,,واو القسم
34,16,RED,MORPH,[PREP],bi/PART,bi,bi/PART,[part.],MSA,prc1:bi_part,_,_,ب(بيت),bi+_,bi+_,bi+_,bi+_,,,
35,,,,,,,,,,,,,,,,,,,,
36,17,RED,MORPH,[EMPH],la/PART_EMPHATIC,la,la/EMPHATIC_PART,indeed/truly,MSA,prc1:la_emph,_,_,لَ(حافظون),la+_,la+_,la+_,la+_,,,
37,,,,,,,,,,,,,,,,,,,,
38,18,,MORPH,[ART],Al/PART_DET,{l#,Al/DET,the,MSA,prc0:Al_det,!li/PREP,,ال(بيت)، اللّغة,{l+_#,{l+_,,,,,
39,19,,MORPH,[ART],Al/PART_DET,l#,Al/DET,the,MSA,prc0:Al_det,li/PREP !L#,,للبيت,l+_#,{l+_,,{l#,,,
40,20,,MORPH,[ART],Al/PART_DET,#,Al/DET,the,MSA,prc0:Al_det,li/PREP L#,,لِلُّغة,+_#,{l+_,,{l#,,,
41,,,#Buffers,,,,,,,,,,,,,,,,,
42,21,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aY-Ap-y MS enc0,,مُنْتَهَاه,,aY,,aY,,,
43,22,,MORPH,[NBuff],Buffer,aY,aY/STEM,,MSA,,#aY-Ap-y MS else,,مُنْتَهَى,,,,,,,
44,23,,MORPH,[NBuff],Buffer,ay,ay/STEM,,MSA,,#aY-Ap-y MD||FP,,مُنْتَهَيَان، مُنْتَهَيَات,,,,,,,
45,24,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aY-Ap-y FS||FD,,مُنْتَهاة، مُنْتَهاتَان,,,,,,,
46,25,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aY-Ap-y MP,,مُنْتَهون,,,,,,,
47,26,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aY-Ap-w MS enc0,,حَمْقَاه,,aY,,aY,,,
48,27,,MORPH,[NBuff],Buffer,aY,aY/STEM,,MSA,,#aY-Ap-w MS else,,حَمْقَى,,,,,,,
49,28,,MORPH,[NBuff],Buffer,aw,ay/STEM,,MSA,,#aY-Ap-w MD||FP,,مَرْجَوات,,,,,,,
50,29,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aY-Ap-w FS||FD,,مَرْجَاة، مَرْجَاتان,,,,,,,
51,30,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aY-Ap-w MP,,مُصطفونَ,,,,,,,
52,31,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aA-Ap-y MS,,دُنْيَا,,,,,,,
53,32,,MORPH,[NBuff],Buffer,ay,ay/STEM,,MSA,,#aA-Ap-y MD||FP,,دُنْيَيَان، دُنْيَيَات,,,,,,,
54,33,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aA-Ap-y FS||FD,,أَذَاة، أَذَاتان,,,,,,,Same behavior as FS||FD for #aY-Ap-y
55,34,,#MORPH,[NBuff],Buffer,_,_,,MSA,,#aA-Ap-y MP,,*,,,,,,,Never appears with MP
56,35,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aA-Ap-w MS,,حَمَا,,,,,,,
57,36,,MORPH,[NBuff],Buffer,aw,aw/STEM,,MSA,,#aA-Ap-w MD||FP,,حَمَوان، حَمَوات,,,,,,,
58,37,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aA-Ap-w FS||FD,,حَمَاة، حَمَاتان,,,,,,,Same behavior as FS||FD for #aA-Ap-y
59,38,,#MORPH,[NBuff],Buffer,_,_,,MSA,,#aA-Ap-w MP,,*,,,,,,,Never appears with MP
60,39,,MORPH,[NBuff],Buffer,_,_,,MSA,,#ap-w MS,,أَخ,,,,,,,
61,40,,MORPH,[NBuff],Buffer,ow,ow/STEM,,MSA,,#ap-w FS||FD,,شَهْوة، شَهْوتين ,,,,,,,
62,41,,MORPH,[NBuff],Buffer,aw,aw/STEM,,MSA,,#ap-w MD||FP,,أخَوَان، شَهَوات,,,,,,,
63,42,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' MS !enc0,,هُرَاء,,,,,,,
64,43,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' MS enc0 a-suff,,هُرَاءَها,,,,,,,
65,44,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A' MS enc0 u-suff,,هُرَاؤها,,',,',,,
66,45,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A' MS enc0 i-suff,,هُرَائِه,,',,',,,
67,46,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A' MP w-suff,,هَوَّاؤُونَ,,,,,,,
68,47,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A' MP y-suff,,هَوَّائِينَ,,,,,,,
69,48,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' FS||FD||MD||FP,,هَوَّاءَة، هَوَّاءَات,,,,,,,
70,49,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w MS !enc0,,سَرَّاء,,,,,,,
71,50,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w MS enc0 a-suff,,سَرَّاءَه,,,,,,,
72,51,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'-w MS enc0 u-suff,,سَرَّاؤُه,,',,',,,
73,52,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'-w MS enc0 i-suff,,سَرَّائِي,,',,',,,
74,53,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'-w MP,,*,,,,,,,Never appears with MP
75,54,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w FS||FD,,قُثّاءَة، قُثّاءَتان,,,,,,,
76,55,,MORPH,[NBuff],Buffer,w,w/STEM,,MSA,,#A'-w MD||FP,,سَرَّاوَان، قُثّاوات,,,,,,,
77,56,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MS !enc0,,سَمَاء,,,,,,,
78,57,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MS enc0 a-suff,,سَمَاءَه,,,,,,,
79,58,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'@w MS enc0 u-suff,,سَمَاؤُه,,',,',,,
80,59,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'@w MS enc0 i-suff,,سَمَائِي,,',,',,,
81,60,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'@w MP w-suff,,سَقَّاؤُونَ,,,,,,,
82,61,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'@w MP y-suff,,سَقَّائِينَ,,,,,,,
83,62,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w FS||FD ,,إِيمَاءَة,,,,,,,
84,63,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MD||FP ,,سَمَاءَان، إِيمَاءَات,,,,,,,
85,64,,MORPH,[NBuff],Buffer,w,w/STEM,,MSA,,#A'@w MD||FP,,سَمَاوَان، إِيمَاوَات,,,,,,,
86,65,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MS !enc0,,مَبْدَأ,,,,,,,
87,66,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MS enc0 a-suff,,مَبْدَأَه,,,,,,,
88,67,,MORPH,[NBuff],Buffer,a&,&/STEM,,MSA,,#a> MS enc0 u-suff,,مَبْدَؤُه,,a>,,a>,,,
89,68,,MORPH,[NBuff],Buffer,a},}/STEM,,MSA,,#a> MS enc0 i-suff,,مَبْدَئِي,,a>,,a>,,,
90,69,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> FS||FD,,مُكَافأَة، مُكَافأَتان,,,,,,,
91,70,,MORPH,[NBuff],Buffer,_,_,,MSA,,#a> FP,,مكافآت,,,,,,,
92,71,,MORPH,[NBuff],Buffer,_,_,,MSA,,#a> MD A-suff,,مبدآن,,,,,,,
93,72,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MD !A-suff,,مبدأَيْن,,,,,,,
94,73,,MORPH,[NBuff],Buffer,a&,a&/STEM,,MSA,,#a> MP w-suff,,المُهيَّؤونَ,,,,,,,
95,74,,MORPH,[NBuff],Buffer,a},}/STEM,,MSA,,#a> MP y-suff,,المُهيَّئينَ,,,,,,,
96,75,,MORPH,[NBuff],Buffer,_,_,,MSA,,#iy MS i-suff,,مُحامٍ,,,,,,,
97,76,,MORPH,[NBuff],Buffer,iy,iy/STEM,,MSA,,#iy MS !i-suff,,مُحامِي,,,,,,,
98,77,,MORPH,[NBuff],Buffer,_,_,,MSA,,#iy MP,,مُحامونَ,,,,,,,
99,78,,MORPH,[NBuff],Buffer,iy,iy/STEM,,MSA,,#iy MD||FS||FD||FP,,مُحامِيَة,,,,,,,
100,79,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A}iy MS i-suff,,رَاءٍ,,,,,,,
101,80,,MORPH,[NBuff],Buffer,}iy,}iy/STEM,,MSA,,#A}iy MS !i-suff,,رَائِي,,,,,,,
102,81,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A}iy MP w-suff,,رَاؤونَ,,,,,,,
103,82,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A}iy MP y-suff,,رَائِينَ,,,,,,,
104,83,,MORPH,[NBuff],Buffer,}iy,}iy/STEM,,MSA,,#A}iy MD||FS||FD||FP,,رَائِيَة,,,,,,,
105,84,,MORPH,[NBuff],Buffer,aA,A/STEM,,MSA,,#aA MS,,أيدولوجيَا,,,,,,,
106,85,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aA MD||MP||FS||FD||FP,,أيدولوجيتَانِ,,,,,,,
107,86,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MS !enc0,,مَوبوء,,,,,,,
108,87,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MS enc0 !i-suff,,مَوبوءُه,,,,,,,
109,88,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#w' MS enc0 i-suff,,مَوبوئِي,,',,',,,
110,89,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MD||FS||FD||FP,,مَوبوءَانِ,,,,,,,
111,90,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MP !y-suff,,موبوءُونَ,,,,,,,
112,91,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#w' MP y-suff,,موبوئِينَ,,,,,,,
113,92,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MS !enc0,,بُؤبُؤ,,,,,,,
114,93,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MS enc0 !i-suff,,بُؤبُؤُه,,,,,,,
115,94,,MORPH,[NBuff],Buffer,u},u}/STEM,,MSA,,#u& MS enc0 i-suff,,بُؤبُئِي,,u&,,u&,,,
116,95,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MD,,بُؤبُؤانِ,,,,,,,
117,96,,#MORPH,[NBuff],Buffer,ـ,ـ,,MSA,,#u& MP||FS||FD||FP,,*,,,,,,,Never appears with MP||FS||FD||FP
118,97,,MORPH,[NBuff],Buffer,o',o'/STEM,,MSA,,#o'-dis MS !enc0,,جُزْء,,,,,,,
119,98,,MORPH,[NBuff],Buffer,o>,o>/STEM,,MSA,,#o'-dis MS enc0 a-suff,,جُزْأَهُ,,o',,o',,,
120,99,,MORPH,[NBuff],Buffer,o&,o&/STEM,,MSA,,#o'-dis MS enc0 u-suff,,جُزْؤُهُ,,o',,o',,,
121,100,,MORPH,[NBuff],Buffer,o},o}/STEM,,MSA,,#o'-dis MS enc0 i-suff,,جُزْئِي,,o',,o',,,
122,101,,MORPH,[NBuff],Buffer,o',o'/STEM,,MSA,,#o'-dis MD A-suff,,جُزْءَان,,,,,,,
123,102,,MORPH,[NBuff],Buffer,o>,o>/STEM,,MSA,,#o'-dis MD !A-suff,,جُزْأَيْن,,,,,,,
124,103,,#MORPH,[NBuff],Buffer,_,o&/STEM,,MSA,,#o'-dis MP,,*,,,,,,,Never appears with MP
125,104,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-con MS enc0,,عِبْئِهِ,,',,',,,
126,105,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#o'-con MS else,,عِبْء,,,,,,,
127,106,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-con MS MS-AF,,عِبْئاً,,,,,,,"This entry is essentially the same as the one for enc0, but here, tokenization is different."
128,107,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-con MD||MP||FS||FD||FP,,جَريِئانِ,,,,,,,
129,108,,MORPH,[NBuff],Buffer,_,_,,MSA,,#uw-h MS,,فيديو,,,,,,,
130,109,,MORPH,[NBuff],Buffer,h,h/STEM,,MSA,,#uw-h MS,,فيديوه,,,,,,,Cannot collapse this row with the one below it because of the default else which will clash with the empty allomorph MS above it.
131,110,,MORPH,[NBuff],Buffer,h,h/STEM,,MSA,,#uw-h MD||FP,,فيديوهين، فيديوهَات,,,,,,,
132,111,,MORPH,[NBuff],Buffer,_,_,,MSA,,else,,أَمْن,,,,,,,
133,,,#Suffixes ,,,,,,,,,,,,,,,,,
134,112,,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,#aA||Mono,MS,أيدولوجيا,,,,,,,
135,113,,MORPH,[NSuff.XXIN],NSuff.MSIN,K,K/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,#iy||#A}iy else,MS i-suff,محامٍ,,,,,,,
136,114,,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,#iy||#A}iy #dip,MS,عصاري,,,,,,,
137,115,,MORPH,[NSuff.XXIN],NSuff.MSIN,F,F/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y else,MS,فتىً,,,,,,,
138,116,,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y Mono||#dip,MS,كبرى,,,,,,,
139,117,,MORPH,[NSuff.XXIN],NSuff.MSIN,u,u/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,else #dip,MS,مصانعُ,,,,,,,
140,118,,MORPH,[NSuff.XXIN],NSuff.MSIN,N,N/CASE_INDEF_NOM,,MSA,form_gen:m form_num:s stt:i cas:n,else else,MS u-suff,كتابٌ,,,,,,,
141,119,,MORPH,[NSuff.XXIA],NSuff.MSIA,_,(null)/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,else #aA||Mono,MS,أيدولوجيا,,,,,,,
142,120,,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y else,MS,فتىً,,,,,,,
143,121,,MORPH,[NSuff.XXIA],NSuff.MSIA,_,(null)/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y Mono||#dip,MS,كبرى,,,,,,,
144,122,,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,#A'||#A'-w||#A'@w||#a> else,MS,هناءً,,,,,,,
145,123,,MORPH,[NSuff.XXIA],NSuff.MSIA,a,(null)/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,#A'||#A'-w||#A'@w||#a> Mono||#dip,MS,بيضاءَ,,,,,,,
146,124,,MORPH,[NSuff.XXIA],NSuff.MSIA,a,a/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,else #dip,MS,مصانعَ,,,,,,,
147,125,,MORPH,[NSuff.XXIA],NSuff.MSIA,AF,AF/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:a,else else,MS a-suff MS-AF,كتاباً,,,,,,,
148,126,,MORPH,[NSuff.XXIG],NSuff.MSIG,K,K/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,#iy||#A}iy else,MS i-suff,محامٍ,,,,,,,
149,127,,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,#iy||#A}iy #dip,MS,عصاري,,,,,,,
150,128,,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,#aA||Mono,MS,أيدولوجيا,,,,,,,
151,129,,MORPH,[NSuff.XXIG],NSuff.MSIG,F,F/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y else,MS,فتىً,,,,,,,
152,130,,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_ACC,,MSA,form_gen:m form_num:s stt:i cas:g,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y Mono||#dip,MS,كبرى,,,,,,,
153,131,,MORPH,[NSuff.XXIG],NSuff.MSIG,a,a/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,else #dip,MS,مصانعَ,,,,,,,
154,132,,MORPH,[NSuff.XXIG],NSuff.MSIG,K,K/CASE_INDEF_GEN,,MSA,form_gen:m form_num:s stt:i cas:g,else else,MS i-suff,كتابٍ,,,,,,,
155,133,,MORPH,[NSuff.XXIU],NSuff.MSIU,_,(null)/CASE_INDEF_U,,MSA,form_gen:m form_num:s stt:i cas:u,_,MS,كتاب,,,,,,,
156,134,,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,,MSA,form_gen:m form_num:s stt:d cas:n,#iy||#A}iy,MS #^iy,المحامي,,,,,,,
157,135,,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,,MSA,form_gen:m form_num:s stt:d cas:n,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y||#aA||Mono,MS,الفتى,,,,,,,
158,136,,MORPH,[NSuff.XXDN],NSuff.MSDN,u,u/CASE_DEF_NOM,,MSA,form_gen:m form_num:s stt:d cas:n,else,MS u-suff,الكتابُ,,,,,,,
159,137,,MORPH,[NSuff.XXDA],NSuff.MSDA,_,(null)/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:d cas:a,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y||#aA||Mono,MS,الفتى,,,,,,,
160,138,,MORPH,[NSuff.XXDA],NSuff.MSDA,a,a/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:d cas:a,else,MS a-suff,الكتابَ,,,,,,,
161,139,,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:d cas:g,#iy||#A}iy,MS #^iy,المحامي,,,,,,,
162,140,,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:d cas:g,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y||#aA||Mono,MS,الفتى,,,,,,,
163,141,,MORPH,[NSuff.XXDG],NSuff.MSDG,i,i/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:d cas:g,else,MS i-suff,الكتابِ,,,,,,,
164,142,,MORPH,[NSuff.XXDU],NSuff.MSDU,_,(null)/CASE_DEF_U,,MSA,form_gen:m form_num:s stt:d cas:u,_,MS,الكتاب,,,,,,,
165,143,,MORPH,[NSuff.XXCA],NSuff.MSCA,a,a/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,#iy||#A}iy !1s_poss,MS a-suff,كتابَ,,,,,,,
166,144,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,#iy||#A}iy 1s_poss,MS #^iy,كتابِي,,,,,,,
167,145,,MORPH,[NSuff.XXCA],NSuff.MSCA,aA,A/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,Five-nouns !1s_poss,MS,أبَاهُ,,,,,,,
168,146,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,Five-nouns 1s_poss,MS,أبِي,,,,,,,
169,147,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y||#aA||Mono,MS #^A,فتى,,,,,,,
170,148,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,else 1s_poss,MS,كتابِي,,,,,,,
171,149,,MORPH,[NSuff.XXCA],NSuff.MSCA,a,a/CASE_DEF_ACC,,MSA,form_gen:m form_num:s stt:c cas:a,else !1s_poss,MS a-suff,كتابَ,,,,,,,
172,150,,MORPH,[NSuff.XXCG],NSuff.MSCG,iy,iy/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,Five-nouns !1s_poss,MS #^i,أبيِهِ,,,,,,,
173,151,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,Five-nouns 1s_poss,MS,أبِي,,,,,,,
174,152,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,#iy||#A}iy,MS #^iy,محامي,,,,,,,
175,153,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,#aY-Ap-y||#aA-Ap-w||#aA-Ap-y||#aA||Mono,MS #^A,فتى,,,,,,,
176,154,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,else 1s_poss,MS,كتابِي,,,,,,,
177,155,,MORPH,[NSuff.XXCG],NSuff.MSCG,i,i/CASE_DEF_GEN,,MSA,form_gen:m form_num:s stt:c cas:g,else !1s_poss,MS i-suff #^i,كتابِهِ، كتابِ,,,,,,,
178,156,,MORPH,[NSuff.XXCN],NSuff.MSCN,uw,uw/CASE_DEF_NOM,,MSA,form_gen:m form_num:s stt:c cas:n,Five-nouns !1s_poss,MS,أبُوه,,,,,,,
179,157,,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,,MSA,form_gen:m form_num:s stt:c cas:n,Five-nouns 1s_poss,MS,أبِي,,,,,,,
