,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
53,110,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aA-Ap-w MP,,,Buffer #aA-Ap-w,,OK,GOOD,,
54,111,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' MS !enc0,,,Buffer #A',قراء غطاء,OK,GOOD,,no pron/word end
55,112,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' MS enc0 a-suff,,,Buffer #A',غطاءَها,OK,GOOD,,a-suff + pron
56,113,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A' MS enc0 u-suff,,,Buffer #A',غطاؤها,OK,GOOD,,u-suff + pron
57,114,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A' MS enc0 i-suff,,,Buffer #A',غطائها,OK,GOOD,,i-suff + pron
58,115,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A' MP w-suff,,,Buffer #A',قراؤون,OK,GOOD,,%w-suff
59,116,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A' MP y-suff,,,Buffer #A',قرائين,OK,GOOD,,%y-suff
60,117,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A' FS||FD||MD||FP,,,Buffer #A',قراءة قراءات,OK,GOOD,,"a-suff, A-suff"
61,118,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w MS !enc0,,,Buffer #A'-w,صحراء,OK,GOOD,,no pron/word end
62,119,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w MS enc0 a-suff,,,Buffer #A'-w,صحراءه,OK,GOOD,,a-suff + pron
63,120,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'-w MS enc0 u-suff,,,Buffer #A'-w,صحراؤه,OK,GOOD,,u-suff + pron
64,121,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'-w MS enc0 i-suff,,,Buffer #A'-w,صحرائي,OK,GOOD,,i-suff + pron
65,122,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'-w MP w-suff,,,Buffer #A'-w,,OK,GOOD,,%w-suff
66,123,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'-w MP y-suff,,,Buffer #A'-w,,OK,GOOD,,%y-suff
67,124,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'-w FS||FD,,,Buffer #A'-w,صحراء,OK,GOOD,,% a-suff
68,125,,MORPH,[NBuff],Buffer,w,w/STEM,,MSA,,#A'-w MD||FP,,,Buffer #A'-w,صحراوان صحراوات,OK,GOOD,,% A-suff
69,118,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MS !enc0,,,Buffer #A'@w,سماء,OK,GOOD,,no pron/word end
70,119,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MS enc0 a-suff,,,Buffer #A'@w,سماءه,OK,GOOD,,a-suff + pron
71,120,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'@w MS enc0 u-suff,,,Buffer #A'@w,سماؤه,OK,GOOD,,u-suff + pron
72,121,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'@w MS enc0 i-suff,,,Buffer #A'@w,سمائي,OK,GOOD,,i-suff + pron
73,122,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A'@w MP w-suff,,,Buffer #A'@w,,OK,GOOD,,%w-suff
74,123,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A'@w MP y-suff,,,Buffer #A'@w,,OK,GOOD,,%y-suff
75,124,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w FS||FD,,,Buffer #A'@w,سماء,OK,GOOD,,% a-suff
76,125,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A'@w MD||FP,,,Buffer #A'@w,سماءان سماءات,OK,GOOD,,% A-suff
77,125,,MORPH,[NBuff],Buffer,w,w/STEM,,MSA,,#A'@w MD||FP,,,Buffer #A'@w,سماوان سماوات,OK,GOOD,,% A-suff
78,126,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MS !enc0,,,Buffer #a>,مبدأ,OK,GOOD,The #a> can be reduced to 4 lines,no pron/word end
79,127,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MS enc0 a-suff,,,Buffer #a>,مبدأه,OK,GOOD,,a-suff + pron
80,128,,MORPH,[NBuff],Buffer,a&,&/STEM,,MSA,,#a> MS enc0 u-suff,,,Buffer #a>,مبدؤه,OK,GOOD,,u-suff + pron
81,129,,MORPH,[NBuff],Buffer,a},}/STEM,,MSA,,#a> MS enc0 i-suff,,,Buffer #a>,مبدئه,OK,GOOD,,i-suff + pron
82,130,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> FS||FD,,,Buffer #a>,مكافأة، مكافأتان,OK,GOOD,,
83,131,,MORPH,[NBuff],Buffer,_,_,,MSA,,#a> FP,,,Buffer #a>,مكافآت مبدآن,OK,GOOD,,
84,131,,MORPH,[NBuff],Buffer,_,_,,MSA,,#a> MD A-suff,,,Buffer #a>,مكافآت مبدآن,OK,GOOD,,
85,132,,MORPH,[NBuff],Buffer,a>,a>/STEM,,MSA,,#a> MD !A-suff,,,Buffer #a>,مبدأين,OK,GOOD,,A-suff
86,133,,MORPH,[NBuff],Buffer,a&,a&/STEM,,MSA,,#a> MP w-suff,,,Buffer #a>,المُكافَؤن,OK,GOOD,,%w-suff
87,134,,MORPH,[NBuff],Buffer,a},}/STEM,,MSA,,#a> MP y-suff,,,Buffer #a>,المُكافَئين,OK,GOOD,,%y-suff
88,135,,MORPH,[NBuff],Buffer,_,_,,MSA,,#iy MS i-suff,,,Buffer #iy,محام,OK,GOOD,,
89,136,,MORPH,[NBuff],Buffer,iy,iy/STEM,,MSA,,#iy MS !i-suff,,,Buffer #iy,محامي محاميا,OK,GOOD,,
90,137,,MORPH,[NBuff],Buffer,_,_,,MSA,,#iy MP,,,Buffer #iy,محامون محامو,OK,GOOD,,
91,138,,MORPH,[NBuff],Buffer,iy,iy/STEM,,MSA,,#iy MD||FS||FD||FP,,,Buffer #iy,محامي,OK,GOOD,,else
92,139,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#A}iy MS i-suff,,,Buffer #A}iy,راء,OK,GOOD,,
93,140,,MORPH,[NBuff],Buffer,}iy,}iy/STEM,,MSA,,#A}iy MS !i-suff,,,Buffer #A}iy,"رائي, رائيا",OK,GOOD,,
94,141,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#A}iy MP w-suff,,,Buffer #A}iy,راؤون,OK,GOOD,,
95,142,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#A}iy MP y-suff,,,Buffer #A}iy,رائين,OK,GOOD,,
96,143,,MORPH,[NBuff],Buffer,}iy,}iy/STEM,,MSA,,#A}iy MD||FS||FD||FP,,,Buffer #A}iy,رائية، رائيان,OK,GOOD,,
97,144,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aA MS,,,Buffer #aA,ايدولوجيا,OK,GOOD,,
98,145,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aA MD||MP||FS||FD||FP,,,Buffer #aA,ايدولوجيتان ايدولوجيات,OK,GOOD,not present for some combinations],
99,146,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MS !enc0,,,Buffer #w',موبوء,OK,GOOD,hamza conditions can be reduced ,
100,147,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MS enc0 !i-suff,,,Buffer #w',موبوء,OK,GOOD,,
101,148,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#w' MS enc0 i-suff,,,Buffer #w',موبوئه,OK,GOOD,,
102,149,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MD||FS||FD||FP,,,Buffer #w',موبوءان موبوءين موبوءة موبوءتان موبوءات,OK,GOOD,%a-suffs,
103,150,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#w' MP !y-suff,,,Buffer #w',موبوءون,OK,GOOD,,
104,151,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#w' MP y-suff,,,Buffer #w',موبوئين,OK,GOOD,,
105,152,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MS !enc0,,,Buffer #u&,أكمؤ,OK,GOOD,hamza conditions can be reduced ,
106,153,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MS enc0 !i-suff,,,Buffer #u&,أكمؤه,OK,GOOD,,
107,154,,MORPH,[NBuff],Buffer,u},u}/STEM,,MSA,,#u& MS enc0 i-suff,,,Buffer #u&,لأكمئه,OK,GOOD,,
108,155,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MD||FS||FD||FP,,,Buffer #u&,,OK,GOOD,%a-suffs,
109,156,,MORPH,[NBuff],Buffer,u&,u&/STEM,,MSA,,#u& MP !y-suff,,,Buffer #u&,,OK,GOOD,,
110,157,,MORPH,[NBuff],Buffer,u},u}/STEM,,MSA,,#u& MP y-suff,,,Buffer #u&,,OK,GOOD,,
111,158,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#o'-dis MS !enc0,,,Buffer #o'-dis,جزء/جزءا,OK,GOOD,hamza conditions can be reduced ,
112,159,,MORPH,[NBuff],Buffer,>,>/STEM,,MSA,,#o'-dis MS enc0 a-suff,,,Buffer #o'-dis,جزأه,OK,GOOD,,
113,160,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#o'-dis MS enc0 u-suff,,,Buffer #o'-dis,جزؤه,OK,GOOD,,
114,161,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-dis MS enc0 i-suff,,,Buffer #o'-dis,جزئه,OK,GOOD,,
115,162,,MORPH,[NBuff],Buffer,>,>/STEM,,MSA,,#o'-dis FS||FD,,,Buffer #o'-dis,,OK,GOOD,%a-suffs,
116,163,,###MORPH,[NBuff],Buffer,_,,,MSA,,#o'-dis FP||MD A-suff,,,Buffer #o'-dis,جزآن,OK,GOOD,another spelling; deactivated,
117,164,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#o'-dis FP||MD A-suff,,,Buffer #o'-dis,جزءان,OK,GOOD,,
118,165,,MORPH,[NBuff],Buffer,>,>/STEM,,MSA,,#o'-dis MD !A-suff,,,Buffer #o'-dis,جزأين,OK,GOOD,,
119,166,,MORPH,[NBuff],Buffer,&,&/STEM,,MSA,,#o'-dis MP !y-suff,,,Buffer #o'-dis,,OK,GOOD,,
120,167,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-dis MP y-suff,,,Buffer #o'-dis,,OK,GOOD,,
121,168,,MORPH,[NBuff],Buffer,','/STEM,,MSA,,#o'-con MS else,,,Buffer #o'-con,عبء,OK,GOOD,,
122,170,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-con MS enc0||MS-AF,,,Buffer #o'-con,عبئاً,OK,GOOD,,
123,171,,MORPH,[NBuff],Buffer,},}/STEM,,MSA,,#o'-con MD||MP||FS||FD||FP,,,Buffer #o'-con,عبئان، عبئين رديئون رديئة رديئتان رديئات,OK,GOOD,,
124,,,,,,,,,,,,,,,,,,,
125,300.1111,,MORPH,[NSuff.XXIN],NSuff.MSIN,N,N/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,else else,,MS u-suff,Base Triptote-Sound,كتابٌ,OK,GOOD,0,
126,300.11111,,MORPH,[NSuff.XXIN],NSuff.MSIN,K,K/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#iy||#A}iy,,MS i-suff,#iy,محامٍ,OK,GOOD,1,
127,300.11111,,MORPH,[NSuff.XXIN],NSuff.MSIN,u,u/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,else #dip,,MS,Diptote-Sound,مصانعُ,OK,GOOD,1,
128,300.11111,,MORPH,[NSuff.XXIN],NSuff.MSIN,F,F/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#aA-Ap-w else,,MS,#aY-Ap-y,فتىً,OK,GOOD,1,
129,300.11111,,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#aA-Ap-w Mono,,MS,#aY-Ap-y,كبرى,OK,GOOD,1,
130,300.11111,,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
131,300.1112,,MORPH,[NSuff.XXIA],NSuff.MSIA,AF,AF/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,else else,,MS a-suff MS-AF,Base Triptote-Sound,كتاباً,OK,GOOD,0,
132,300.11121,,MORPH,[NSuff.XXIA],NSuff.MSIA,a,a/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,else #dip,,MS,Diptote-Sound,مصانعَ,OK,GOOD,1,
133,300.11121,,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#aY-Ap-y||#aA-Ap-w,,MS,#aY-Ap-y||#aA-Ap-w,فتىً,OK,GOOD,1,
134,300.11121,,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#A'||#A'-w||#a>,,MS a-suff,#A'||#A'-w||#a>,صحراء,OK,GOOD,1,
135,300.11121,,MORPH,[NSuff.XXIA],NSuff.MSIA,_,(null)/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
136,300.1113,,MORPH,[NSuff.XXIG],NSuff.MSIG,K,K/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,else else,,MS i-suff,Base Triptote-Sound,كتابٍ,OK,GOOD,0,
137,300.11131,,MORPH,[NSuff.XXIG],NSuff.MSIG,a,a/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,else #dip,,MS,Diptote-Sound,مصانعَ,OK,GOOD,1,
138,300.11131,,MORPH,[NSuff.XXIG],NSuff.MSIG,F,F/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,#aY-Ap-y||#aA-Ap-w,,MS,#aY-Ap-y,فتىً,OK,GOOD,1,
139,300.11131,,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
140,300.1114,,MORPH,[NSuff.XXIU],NSuff.MSIU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:i cas:u,_,,MS UCase,Base UCase,كتاب,OK,GOOD,0,
141,300.1121,,MORPH,[NSuff.XXDN],NSuff.MSDN,u,u/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,else,,MS u-suff,Base Triptote-Sound,الكتابُ,OK,GOOD,0,
142,300.11211,,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,#iy||#A}iy,,MS #^iy,#iy,المحامي,OK,GOOD,1,
143,300.11211,,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى الايدولوجيا,OK,GOOD,1,
144,300.1122,,MORPH,[NSuff.XXDA],NSuff.MSDA,a,a/CASE_DEF_ACC,[masc.sg.def.acc.],MSA,form_gen:m form_num:s stt:d cas:a,else,,MS a-suff,Base Triptote-Sound,الكتابَ,OK,GOOD,0,
145,300.11221,,MORPH,[NSuff.XXDA],NSuff.MSDA,_,(null)/CASE_DEF_ACC,[masc.sg.def.acc.],MSA,form_gen:m form_num:s stt:d cas:a,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى,OK,GOOD,1,
146,300.1123,,MORPH,[NSuff.XXDG],NSuff.MSDG,i,i/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,else,,MS i-suff,Base Triptote-Sound,الكتابِ,OK,GOOD,0,
147,300.11231,,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,#iy||#A}iy,,MS #^iy,#iy,المحامي,OK,GOOD,1,
148,300.11231,,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى,OK,GOOD,1,
149,300.1124,,MORPH,[NSuff.XXDU],NSuff.MSDU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:d cas:u,_,,MS UCase,Base UCase,الكتاب,OK,GOOD,0,
150,300.1132,,MORPH,[NSuff.XXCA],NSuff.MSCA,a,a/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else !POSS_PRON-iy,,MS a-suff,Base Triptote-Sound,كتابَ,OK,GOOD,0,
151,300.1132,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
152,300.11321,,MORPH,[NSuff.XXCA],NSuff.MSCA,A,A/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,FIVE-NOUNS !POSS_PRON-iy,,MS,FIVE-NOUNS,أبا أباه,OK,GOOD,1,
153,300.11321,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,FIVE-NOUNS POSS_PRON-iy,,MS,FIVE-NOUNS,أبي,OK,GOOD,1,
154,300.11321,,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى,OK,GOOD,1,
155,300.1133,,MORPH,[NSuff.XXCG],NSuff.MSCG,i,i/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else !POSS_PRON-iy,,MS i-suff #^i,Base Triptote-Sound,كتابِ,OK,GOOD,0,
156,300.1133,,#MISTAKE-MORPH,[NSuff.XXCG],NSuff.MSCG,a,a/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else !POSS_PRON-iy #dip,,MS a-suff,Base Triptote-Sound,كتابِ,OK,GOOD,0,
157,300.1133,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
158,300.11331,,MORPH,[NSuff.XXCG],NSuff.MSCG,iy,iy/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,FIVE-NOUNS !POSS_PRON-iy,,MS,FIVE-NOUNS,أبي أبيه,OK,GOOD,1,
159,300.11331,,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,FIVE-NOUNS POSS_PRON-iy,,MS,FIVE-NOUNS,أبي,OK,GOOD,1,
