,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
16,17,ta1a2~3,*.E.r,c+n.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*aE~ar,ta*aE~ar,IV,panic,pos:verb asp:i vox:a,,a-# trans,,
17,18,1a2~a3,*.h.b,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*ah~ab,*ah~ib,IV,gild,pos:verb asp:i vox:a,,u-# trans,,
18,19,1a2a3,*.h.b,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*ahab-a,*ohab,IV,go;depart;take_(with),pos:verb asp:i vox:a,,a-# trans,,
19,20,>a1o2a3,*.h.b,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*ohab,*ohib,IV,remove;eliminate,pos:verb asp:i vox:a,,u-# trans,,
20,21,{ino1a2a3,*.h.l,c+n.c+n.c-n,{ino1a2a3,no1a2i3,LEXICON,[STEM-IV],{ino*ahal,no*ahil,IV,be_stunned;be_dazed;overlook,pos:verb asp:i vox:a,,a-# intrans,,
21,22,1a2a3,*.h.l,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*ahal-a,*ohal,IV,be_stunned;be_dazed;overlook,pos:verb asp:i vox:a,,a-# intrans,,
22,23,>a1o2a3,*.h.l,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*ohal,*ohil,IV,baffle;distract,pos:verb asp:i vox:a,,u-# trans,,
23,24,ta1A2a3,*.h.l,c+n.c+n.c-n,ta1A2a3,ta1A2a3,LEXICON,[STEM-IV],ta*Ahal,ta*Ahal,IV,feign_forgetfulness,pos:verb asp:i vox:a,,a-# trans,,
24,25,{isota1o2a3,*.k.r,c+n.c+n.c-n,{isota1o2a3,sota1o2i3,LEXICON,[STEM-IV],{isota*okar,sota*okir,IV,memorize;recall,pos:verb asp:i vox:a,,a-# trans,,
25,26,1a2~a3,*.k.r,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*ak~ar,*ak~ir,IV,remind,pos:verb asp:i vox:a,,u-# trans,,
26,27,1A2a3,*.k.r,c+n.c+n.c-n,1A2a3,1A2i3,LEXICON,[STEM-IV],*Akar,*Akir,IV,negotiate,pos:verb asp:i vox:a,,u-# trans,,
27,28,1a2a3,*.k.r,c+n.c+n.c-n,1a2a3-u,1o2u3,LEXICON,[STEM-IV],*akar-u,*okur,IV,mention;cite;remember,pos:verb asp:i vox:a,,a-# trans,,
28,29,>a1o2a3,*.k.r,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*okar,*okir,IV,remind,pos:verb asp:i vox:a,,u-# trans,,
29,30,ta1a2~3,*.k.r,c+n.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*ak~ar,ta*ak~ar,IV,remember,pos:verb asp:i vox:a,,a-# trans,,
30,31,ta1A2a3,*.k.r,c+n.c+n.c-n,ta1A2a3,ta1A2a3,LEXICON,[STEM-IV],ta*Akar,ta*Akar,IV,remind_mutually;confer,pos:verb asp:i vox:a,,a-# trans,,
31,32,1a2a3,*.k.w,c+n.c+n.w,1a2A-u,1o2,LEXICON,[STEM-IV],*akA-u,*ok,IV,flare_up;blaze,pos:verb asp:i vox:a,,a-# #-uw defective trans,,
32,33,{isota1o2a3,*.k.y,c+n.c+n.y,{isota1o2aY,sota1o2,LEXICON,[STEM-IV],{isota*okaY,sota*ok,IV,flare_up;blaze,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
33,34,1a2~a3,*.k.y,c+n.c+n.y,1a2~aY,1a2~,LEXICON,[STEM-IV],*ak~aY,*ak~,IV,kindle;set_ablaze,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
34,35,1a2a3,*.k.y,c+n.c+n.y,1a2i3-a,1o2,LEXICON,[STEM-IV],*akiy-a,*ok,IV,be_sharp-witted,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
35,36,>a1o2a3,*.k.y,c+n.c+n.y,>a1o2aY,1o2,LEXICON,[STEM-IV],>a*okaY,*ok,IV,kindle;make_blaze,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
36,37,{isota1o2a3,*.l.l,c+n.c-n.2,{isota1a2~,sota1i2~,LEXICON,[STEM-IV],{isota*al~,sota*il~,IV,deride;disparage,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
37,38,{isota1o2a3,*.l.l,c+n.c-n.2,{isota1a2~,sota1o2i3,LEXICON,[STEM-IV],{isota*al~,sota*olil,IV,deride;disparage,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
38,39,1a2~a3,*.l.l,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*al~al,*al~il,IV,degrade;subdue,pos:verb asp:i vox:a,,u-# trans,,
39,40,>a1o2a3,*.l.l,c+n.c-n.2,>a1a2~,1i2~,LEXICON,[STEM-IV],>a*al~,*il~,IV,degrade;subdue,pos:verb asp:i vox:a,v-suff,u-# gem trans,,
40,41,>a1o2a3,*.l.l,c+n.c-n.2,>a1a2~,1o2i3,LEXICON,[STEM-IV],>a*al~,*olil,IV,degrade;subdue,pos:verb asp:i vox:a,c-suff,u-# gem trans,,
41,42,ta1a2~3,*.l.l,c+n.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*al~al,ta*al~al,IV,be_humble;be_obsequious,pos:verb asp:i vox:a,,a-# intrans,,
42,43,1a2a3,*.m.m,c+n.c-n.2,1a2~-u,1u2~,LEXICON,[STEM-IV],*am~-u,*um~,IV,blame;criticize,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
43,44,1a2a3,*.m.m,c+n.c-n.2,1a2~-u,1o2u3,LEXICON,[STEM-IV],*am~-u,*omum,IV,blame;criticize,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
44,45,1a2~a3,*.m.m,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*am~am,*am~im,IV,rebuke;censure,pos:verb asp:i vox:a,,u-# trans,,
45,46,ta1a2~3,*.m.r,c+n.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*am~ar,ta*am~ar,IV,grumble;complain,pos:verb asp:i vox:a,,a-# trans,,
46,47,1a2a3,*.m.y,c+n.c+n.y,1a2i3-a,1o2,LEXICON,[STEM-IV],*amiy-a,*om,IV,be_near_death,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
47,48,{isota1o2a3,*.n.b,c+n.c+n.c-n,{isota1o2a3,sota1o2i3,LEXICON,[STEM-IV],{isota*onab,sota*onib,IV,find/declare_guilty;incriminate,pos:verb asp:i vox:a,,a-# trans,,
48,49,>a1o2a3,*.n.b,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*onab,*onib,IV,do_wrong;commit_an_offense;be_guilty,pos:verb asp:i vox:a,,u-# trans,,
49,50,1a2a3,*.r.>,c+n.c+n.>,1a2a3-a,1o2,LEXICON,[STEM-IV],*ara>-a,*or,IV,create;sow;seed,pos:verb asp:i vox:a,,a-# #-a> trans,,
50,51,1a2a3,*.r.b,c+n.c+n.c-n,1a2i3-a,1o2a3,LEXICON,[STEM-IV],*arib-a,*orab,IV,be_sharp;be_cutting,pos:verb asp:i vox:a,,a-# intrans,,
51,52,{ino1a2a3,*.r.E,c+n.c+n.c-n,{ino1a2a3,no1a2i3,LEXICON,[STEM-IV],{ino*araE,no*ariE,IV,advance;intervene,pos:verb asp:i vox:a,,a-# trans,,
52,53,1a2a3,*.r.E,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*araE-a,*oraE,IV,measure,pos:verb asp:i vox:a,,a-# trans,,
53,54,ta1a2~3,*.r.E,c+n.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*ar~aE,ta*ar~aE,IV,employ;apply,pos:verb asp:i vox:a,,a-# trans,,
54,55,{isota1o2a3,*.r.f,c+n.c+n.c-n,{isota1o2a3,sota1o2i3,LEXICON,[STEM-IV],{isota*oraf,sota*orif,IV,let_flow;shed,pos:verb asp:i vox:a,,a-# trans,,
55,56,1a2~a3,*.r.f,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*ar~af,*ar~if,IV,exceed,pos:verb asp:i vox:a,,u-# trans,,
56,57,1a2a3,*.r.f,c+n.c+n.c-n,1a2a3-i,1o2i3,LEXICON,[STEM-IV],*araf-i,*orif,IV,flow;shed,pos:verb asp:i vox:a,,a-# trans,,
57,58,1a2a3,*.r.q,c+n.c+n.c-n,1a2a3-i,1o2i3,LEXICON,[STEM-IV],*araq-i,*oriq,IV,drop_excrement_(bird),pos:verb asp:i vox:a,,a-# trans,,
58,59,1a2a3,*.r.q,c+n.c+n.c-n,1a2a3-u,1o2u3,LEXICON,[STEM-IV],*araq-u,*oruq,IV,drop_excrement_(bird),pos:verb asp:i vox:a,,a-# trans,,
59,60,>a1o2a3,*.r.q,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*oraq,*oriq,IV,drop_excrement_(bird),pos:verb asp:i vox:a,,u-# trans,,
60,61,1a2a3,*.r.r,c+n.c-n.2,1a2~-u,1u2~,LEXICON,[STEM-IV],*ar~-u,*ur~,IV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
61,62,1a2a3,*.r.r,c+n.c-n.2,1a2~-u,1o2u3,LEXICON,[STEM-IV],*ar~-u,*orur,IV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
62,63,1a2a3,*.r.w,c+n.c+n.w,1a2A-u,1o2,LEXICON,[STEM-IV],*arA-u,*or,IV,disperse;scatter,pos:verb asp:i vox:a,,a-# #-uw defective trans,,
63,64,{isota1o2a3,*.r.y,c+n.c+n.y,{isota1o2aY,sota1o2,LEXICON,[STEM-IV],{isota*oraY,sota*or,IV,take_refuge,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
64,65,1a2~a3,*.r.y,c+n.c+n.y,1a2~aY,1a2~,LEXICON,[STEM-IV],*ar~aY,*ar~,IV,disperse;scatter;atomize,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
65,66,1a2a3,*.r.y,c+n.c+n.y,1a2aY-i,1o2,LEXICON,[STEM-IV],*araY-i,*or,IV,disperse;scatter,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
66,67,>a1o2a3,*.r.y,c+n.c+n.y,>a1o2aY,1o2,LEXICON,[STEM-IV],>a*oraY,*or,IV,disperse;scatter,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
67,68,ta1a2~3,*.r.y,c+n.c+n.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-IV],ta*ar~aY,ta*ar~,IV,climb;take_refuge,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
68,69,1a2a3,*.w.b,c+n.w.c-n,1A3-u,1u3,LEXICON,[STEM-IV],*Ab-u,*ub,IV,be_dissolved;be_melted;dwindle,pos:verb asp:i vox:a,c-suff,a-# hollow intrans,,
69,70,1a2a3,*.w.b,c+n.w.c-n,1A3-u,1u23,LEXICON,[STEM-IV],*Ab-u,*uwb,IV,be_dissolved;be_melted;dwindle,pos:verb asp:i vox:a,v-suff,a-# hollow intrans,,
70,71,1a2~a3,*.w.b,c+n.w.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*aw~ab,*aw~ib,IV,dissolve;liquify;melt,pos:verb asp:i vox:a,,u-# trans,,
71,72,>a1o2a3,*.w.b,c+n.w.c-n,>a1A3,1i3,LEXICON,[STEM-IV],>a*Ab,*ib,IV,dissolve;melt;exhaust;consume,pos:verb asp:i vox:a,c-suff,u-# hollow trans,,
72,73,>a1o2a3,*.w.b,c+n.w.c-n,>a1A3,1iy3,LEXICON,[STEM-IV],>a*Ab,*iyb,IV,dissolve;melt;exhaust;consume,pos:verb asp:i vox:a,v-suff,u-# hollow trans,,
73,74,1a2a3,*.w.d,c+n.w.c-n,1A3-u,1u3,LEXICON,[STEM-IV],*Ad-u,*ud,IV,scatter;remove;defend,pos:verb asp:i vox:a,c-suff,a-# hollow trans,,
74,75,1a2a3,*.w.d,c+n.w.c-n,1A3-u,1u23,LEXICON,[STEM-IV],*Ad-u,*uwd,IV,scatter;remove;defend,pos:verb asp:i vox:a,v-suff,a-# hollow trans,,
75,76,1a2a3,*.w.q,c+n.w.c-n,1A3-u,1u3,LEXICON,[STEM-IV],*Aq-u,*uq,IV,taste;sample;experience,pos:verb asp:i vox:a,c-suff,a-# hollow trans,,
76,77,1a2a3,*.w.q,c+n.w.c-n,1A3-u,1u23,LEXICON,[STEM-IV],*Aq-u,*uwq,IV,taste;sample;experience,pos:verb asp:i vox:a,v-suff,a-# hollow trans,,
77,78,>a1o2a3,*.w.q,c+n.w.c-n,>a1A3,1i3,LEXICON,[STEM-IV],>a*Aq,*iq,IV,make_taste;make_sample;make_experience,pos:verb asp:i vox:a,c-suff,u-# hollow trans,,
78,79,>a1o2a3,*.w.q,c+n.w.c-n,>a1A3,1iy3,LEXICON,[STEM-IV],>a*Aq,*iyq,IV,make_taste;make_sample;make_experience,pos:verb asp:i vox:a,v-suff,u-# hollow trans,,
79,80,ta1a2~3,*.w.q,c+n.w.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta*aw~aq,ta*aw~aq,IV,perceive;taste,pos:verb asp:i vox:a,,a-# trans,,
80,81,1a2a3,*.w.y,c+n.w.y,1a2aY-i,1o2,LEXICON,[STEM-IV],*awaY-i,*ow,IV,wither;fade,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
81,82,1a2a3,*.w.y,c+n.w.y,1a2i3-i,1o2,LEXICON,[STEM-IV],*awiy-i,*ow,IV,wither;fade,pos:verb asp:i vox:a,,a-# #-iy defective trans,,
82,83,>a1o2a3,*.w.y,c+n.w.y,>a1o2aY,1o2,LEXICON,[STEM-IV],>a*owaY,*ow,IV,make_wilt;make_dry,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
83,84,1a2a3,*.x.r,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*axar-a,*oxar,IV,preserve;store,pos:verb asp:i vox:a,,a-# trans,,
84,85,1a2a3,*.y.E,c+n.y.c-n,1A3-i,1i3,LEXICON,[STEM-IV],*AE-i,*iE,IV,spread;circulate;become_public,pos:verb asp:i vox:a,c-suff,a-# hollow intrans,,
85,86,1a2a3,*.y.E,c+n.y.c-n,1A3-i,1i23,LEXICON,[STEM-IV],*AE-i,*iyE,IV,spread;circulate;become_public,pos:verb asp:i vox:a,v-suff,a-# hollow intrans,,
86,87,>a1o2a3,*.y.E,c+n.y.c-n,>a1A3,1i3,LEXICON,[STEM-IV],>a*AE,*iE,IV,broadcast;propagate,pos:verb asp:i vox:a,c-suff,u-# hollow trans,,
87,88,>a1o2a3,*.y.E,c+n.y.c-n,>a1A3,1i23,LEXICON,[STEM-IV],>a*AE,*iyE,IV,broadcast;propagate,pos:verb asp:i vox:a,v-suff,u-# hollow trans,,
88,89,1a2~a3,*.y.l,c+n.y.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*ay~al,*ay~il,IV,supplement;append,pos:verb asp:i vox:a,,u-# trans,,
89,90,>a1o2a3,*.y.l,c+n.y.c-n,>a1A3,1i3,LEXICON,[STEM-IV],>a*Al,*il,IV,trample;degrade,pos:verb asp:i vox:a,c-suff,u-# hollow trans,,
90,91,>a1o2a3,*.y.l,c+n.y.c-n,>a1A3,1i23,LEXICON,[STEM-IV],>a*Al,*iyl,IV,trample;degrade,pos:verb asp:i vox:a,v-suff,u-# hollow trans,,
91,92,{isota1o2a3,>.*.n,>.c+n.n,{isota1o2a3,sota1o2i3,LEXICON,[STEM-IV],{isota>o*an,sota>o*in,IV,request_authorization,pos:verb asp:i vox:a,,a-# #n trans,,
92,93,1a2~a3,>.*.n,&.c+n.n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>a*~an,&a*~in,IV,announce;foresee,pos:verb asp:i vox:a,,u-# #n trans,,
93,94,1a2a3,>.*.n,>.c+n.n,1a2i3-a,2a3,LEXICON,[STEM-IV],>a*in-a,*an,IV,authorize;listen,pos:verb asp:i vox:a,,a-# >-# #n trans,,
94,95,1A2a3,>.*.n,|.c+n.n,12a3,2i3,LEXICON,[STEM-IV],|*an,*in,IV,announce;warn,pos:verb asp:i vox:a,,u-# >-# #n trans,,
95,96,ta1a2~3,>.*.n,>.c+n.n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>a*~an,ta>a*~an,IV,be_informed;learn,pos:verb asp:i vox:a,,a-# #n intrans,,
96,97,1a2a3,>.*.y,>.c+n.y,1a2i3-a,2,LEXICON,[STEM-IV],>a*iy-a,*,IV,suffer_damage,pos:verb asp:i vox:a,,a-# >-# #-aY defective trans,,
97,98,1A2a3,>.*.y,&.c+n.y,|2aY,1A2,LEXICON,[STEM-IV],|*aY,&A*,IV,injure;prejudice,pos:verb asp:i vox:a,,u-# #-iy defective trans,,
98,99,ta1a2~3,>.*.y,>.c+n.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-IV],ta>a*~aY,ta>a*~,IV,be_injured;be_offended,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
99,100,1a2~a3,>.$.b,&.c+n.c-n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>a$~ab,&a$~ib,IV,alloy,pos:verb asp:i vox:a,,u-# trans,,
100,101,1a2a3,>.$.b,>.c+n.c-n,1a2i3-a,2a3,LEXICON,[STEM-IV],>a$ib-a,$ab,IV,make_an_alloy,pos:verb asp:i vox:a,,a-# >-# trans,,
101,102,ta1a2~3,>.$.b,>.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>a$~ab,ta>a$~ab,IV,be_mixed;be_heterogeneous,pos:verb asp:i vox:a,,a-# intrans,,
102,103,1a2~a3,>.$.r,&.c+n.c-n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>a$~ar,&a$~ir,IV,indicate;register,pos:verb asp:i vox:a,,u-# trans,,
103,104,1a2a3,>.$.r,>.c+n.c-n,1a2a3-i,2i3,LEXICON,[STEM-IV],>a$ar-i,$ir,IV,sharpen;file,pos:verb asp:i vox:a,,a-# >-# trans,,
104,105,1a2a3,>.$.r,>.c+n.c-n,1a2a3-u,2u3,LEXICON,[STEM-IV],>a$ar-u,$ur,IV,cut_with_a_saw,pos:verb asp:i vox:a,,a-# >-# trans,,
105,106,1a2a3,>.b.b,}.c-n.2,>a2~-i,1i2~,LEXICON,[STEM-IV],>ab~-i,}ib~,IV,desire;aspire,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
106,107,1a2a3,>.b.b,>.c-n.2,1a2~-i,1o2i3,LEXICON,[STEM-IV],>ab~-i,>obib,IV,desire;aspire,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
107,108,1a2a3,>.b.b,&.c-n.2,>a2~-u,1u2~,LEXICON,[STEM-IV],>ab~-u,&ub~,IV,desire;aspire,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
108,109,1a2a3,>.b.b,>.c-n.2,1a2~-u,1o2u3,LEXICON,[STEM-IV],>ab~-u,>obub,IV,desire;aspire,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
109,110,1a2~a3,>.b.d,&.c+n.c-n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>ab~ad,&ab~id,IV,perpetuate;immortalize,pos:verb asp:i vox:a,,u-# trans,,
110,111,1a2a3,>.b.d,>.c+n.c-n,1a2a3-i,2i3,LEXICON,[STEM-IV],>abad-i,bid,IV,be_untamed;escape;persist;remain;stay,pos:verb asp:i vox:a,,a-# >-# trans,,
111,112,1a2a3,>.b.d,>.c+n.c-n,1a2a3-u,2u3,LEXICON,[STEM-IV],>abad-u,bud,IV,be_untamed;escape,pos:verb asp:i vox:a,,a-# >-# trans,,
112,113,ta1a2~3,>.b.d,>.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>ab~ad,ta>ab~ad,IV,self-perpetuate;self-immortalize,pos:verb asp:i vox:a,,a-# trans,,
113,114,1a2a3,>.b.h,>.c+n.c-n,1a2a3-a,2a3,LEXICON,[STEM-IV],>abah-a,bah,IV,be_interested;be_sensitive,pos:verb asp:i vox:a,,a-# >-# trans,,
114,115,1a2a3,>.b.h,>.c+n.c-n,1a2i3-a,2a3,LEXICON,[STEM-IV],>abih-a,bah,IV,be_interested;be_sensitive,pos:verb asp:i vox:a,,a-# >-# trans,,
115,116,ta1a2~3,>.b.h,>.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>ab~ah,ta>ab~ah,IV,be_haughty;be_aloof,pos:verb asp:i vox:a,,a-# intrans,,
116,117,1a2~a3,>.b.n,&.c+n.n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>ab~an,&ab~in,IV,eulogize,pos:verb asp:i vox:a,,u-# #n trans,,
117,118,1a2a3,>.b.q,>.c+n.c-n,1a2a3-i,2i3,LEXICON,[STEM-IV],>abaq-i,biq,IV,escape;flee,pos:verb asp:i vox:a,,a-# >-# trans,,
118,119,1a2a3,>.b.q,>.c+n.c-n,1a2a3-u,2u3,LEXICON,[STEM-IV],>abaq-u,buq,IV,escape;flee,pos:verb asp:i vox:a,,a-# >-# trans,,
119,120,1a2~a3,>.b.r,&.c+n.c-n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>ab~ar,&ab~ir,IV,practice_acupuncture;pollinate,pos:verb asp:i vox:a,,u-# trans,,
120,121,1a2a3,>.b.r,>.c+n.c-n,1a2a3-i,2i3,LEXICON,[STEM-IV],>abar-i,bir,IV,sting;pollinate,pos:verb asp:i vox:a,,a-# >-# trans,,
121,122,1a2a3,>.b.r,>.c+n.c-n,1a2a3-u,2u3,LEXICON,[STEM-IV],>abar-u,bur,IV,sting;pollinate,pos:verb asp:i vox:a,,a-# >-# trans,,
122,123,ta1a2~3,>.b.T,>.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>ab~aT,ta>ab~aT,IV,put/carry_under_the_arm,pos:verb asp:i vox:a,,a-# trans,,
123,124,1a2a3,>.b.y,>.c+n.y,1a2aY-a,2,LEXICON,[STEM-IV],>abaY-a,b,IV,deny;refuse,pos:verb asp:i vox:a,,a-# >-# #-aY defective trans,,
124,125,ta1a2~3,>.b.y,>.c+n.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-IV],ta>ab~aY,ta>ab~,IV,decline,pos:verb asp:i vox:a,,a-# #-aY defective trans,,
125,126,1a2~a3,>.d.b,&.c+n.c-n,>a2~a3,1a2~i3,LEXICON,[STEM-IV],>ad~ab,&ad~ib,IV,discipline;educate,pos:verb asp:i vox:a,,u-# trans,,
126,127,1a2a3,>.d.b,>.c+n.c-n,1a2a3-i,2i3,LEXICON,[STEM-IV],>adab-i,dib,IV,invite;entertain,pos:verb asp:i vox:a,,a-# >-# trans,,
127,128,1a2a3,>.d.b,>.c+n.c-n,1a2u3-u,2u3,LEXICON,[STEM-IV],>adub-u,dub,IV,be_urbane;be_courteous,pos:verb asp:i vox:a,,a-# >-# trans,,
128,129,1A2a3,>.d.b,|.c+n.c-n,12a3,2i3,LEXICON,[STEM-IV],|dab,dib,IV,invite,pos:verb asp:i vox:a,,u-# >-# trans,,
129,130,ta1a2~3,>.d.b,>.c+n.c-n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-IV],ta>ad~ab,ta>ad~ab,IV,be_disciplined;be_educated,pos:verb asp:i vox:a,,a-# intrans,,
