,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,GLOSS,COND-T,COND-S,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
11,12,r.b.E,@a1o2a3umiA},@arobaEumiA},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-NOMINATIVE],>arobaEumiA}ap,>arobaEumiA},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
12,13,r.b.E,@a1o2a3,@arobaE,DONE,2,>a1o2a3,5,DONE,LEXICON,[STEM-NOM],>arobaEuwn,>arobaE,forty,MP,#MP-uwn,forty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
13,14,b.l.y.n,1i2o3uw4,biloyuw4,DONE,3,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],biloyuwn,biloyuwn,billion,MS||MD,,billion,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
14,15,b.l.y.n,1a2aA3iy4,balaAyiy4,DONE,1,1a2A3iy4,1,DONE,LEXICON,[STEM-NOM],biloyuwn,balaAyiyn,billion,MS,#dip,billions,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,DONE,,
15,16,E.$.r,1a2a3,Ea$ar,DONE,1,1a2a3,19,DONE,LEXICON,[STEM-NOM],Ea$ar,Ea$ar,ten_(in_11-19),MS||FS,,ten;ten_(in_11-19),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
16,17,E.$.r,1a2o3,Ea$or,DONE,5,1a2o3,18,DONE,LEXICON,[STEM-NOM],Ea$or,Ea$or,ten_(in_11-19),MS||FS,,ten;ten_(in_11-19),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
17,18,E.$.r,1i2o3,Ei$or,DONE,4,1i2o3,20,DONE,LEXICON,[STEM-NOM],Ei$oruwn,Ei$or,twenty,MP,#MP-uwn,twenty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
18,19,m.>.y,1i},mi},DONE,1,1i2a3,1,DONE,LEXICON,[STEM-NOM],mi}ap,mi},(per)_cent;hundred,FS||FD,,hundred,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
19,20,m.>.y,1iA},miA},DONE,1,NTWS,4,DONE,LEXICON,[STEM-NOM],miA}ap,miA},hundred,FS||FD,,hundred,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
20,21,NTWS,NTWS,NTWS,DONE,3,NTWS,4,DONE,LEXICON,[STEM-NOM],miloyaAr,miloyaAr,billion,MS||MD||FP,,billion,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
21,22,NTWS,NTWS,NTWS,DONE,3,NTWS,4,DONE,LEXICON,[STEM-NOM],miloyaAr,malaAyiyr,billion,MS,#dip,billions,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,DONE,,
22,23,m.l.y.n,1i2o3uw4,miloyuw4,DONE,3,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],miloyuwn,miloyuwn,million,MS||MD,,million,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
23,24,m.l.y.n,1i2o3uw4,miloyuw4,DONE,3,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],miloyuwn,malaAyiyn,million,MS,#dip,million,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,DONE,,
24,25,s.b.E,1a2o3,saboE,DONE,5,1a2o3,18,DONE,LEXICON,[STEM-NOM],saboE,saboE,seven,MS||FS,,seven,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
25,26,s.b.E,1a2o3ami},saboEami},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],saboEami}ap,saboEami},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
26,27,s.b.E,1a2o3amiA},saboEamiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],saboEamiA}ap,saboEamiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
27,28,s.b.E,1a2o3imi},saboEimi},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],saboEimi}ap,saboEimi},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
28,29,s.b.E,1a2o3imiA},saboEimiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],saboEimiA}ap,saboEimiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
29,30,s.b.E,1a2o3umi},saboEumi},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],saboEumi}ap,saboEumi},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
30,31,s.b.E,1a2o3umiA},saboEumiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],saboEumiA}ap,saboEumiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
31,32,s.b.E,1a2o3,saboE,DONE,5,1a2o3,18,DONE,LEXICON,[STEM-NOM],saboEuwn,saboE,seventy,MP,#MP-uwn,seventy,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
32,33,S.f.r,1i2o3,Sifor,DONE,4,1i2o3,20,DONE,LEXICON,[STEM-NOM],Sifor,Sifor,zero,MS,,zero,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
33,34,s.t.t,1i2~,sit~,DONE,2,1i2o3,20,DONE,LEXICON,[STEM-NOM],sit~,sit~,six,MS||FS,,six,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
34,35,s.t.t,1i2~ami},sit~ami},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],sit~ami}ap,sit~ami},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
35,36,s.t.t,1i2~amiA},sit~amiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],sit~amiA}ap,sit~amiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
36,37,s.t.t,1i2~imi},sit~imi},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],sit~imi}ap,sit~imi},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
37,38,s.t.t,1i2~imiA},sit~imiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],sit~imiA}ap,sit~imiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
38,39,s.t.t,1i2~umi},sit~umi},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],sit~umi}ap,sit~umi},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
39,40,s.t.t,1i2~umiA},sit~umiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],sit~umiA}ap,sit~umiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
40,41,s.t.t,1i2~,sit~,DONE,2,1i2o3,20,DONE,LEXICON,[STEM-NOM],sit~uwn,sit~,sixty,MP,#MP-uwn,sixty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
41,42,t.s.E,1i2o3,tisoE,DONE,4,1i2o3,20,DONE,LEXICON,[STEM-NOM],tisoE,tisoE,nine,MS||FS,,nine,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
42,43,t.s.E,1i2o3ami},tisoEami},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],tisoEami}ap,tisoEami},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
43,44,t.s.E,1i2o3amiA},tisoEamiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],tisoEamiA}ap,tisoEamiA},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
44,45,t.s.E,1i2o3imi},tisoEimi},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],tisoEimi}ap,tisoEimi},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
45,46,t.s.E,1i2o3imiA},tisoEimiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],tisoEimiA}ap,tisoEimiA},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
46,47,t.s.E,1i2o3umi},tisoEumi},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],tisoEumi}ap,tisoEumi},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
47,48,t.s.E,1i2o3umiA},tisoEumiA},DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],tisoEumiA}ap,tisoEumiA},nine-hundred,FS,X100,nine-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
48,49,t.s.E,1i2o3,tisoE,DONE,4,1i2o3,20,DONE,LEXICON,[STEM-NOM],tisoEuwn,tisoE,ninety,MP,#MP-uwn,ninety,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
49,50,NTWS,NTWS,NTWS,DONE,3,NTWS,,DONE,,[STEM-NOM],triyliyuwn,triyliyuwn,trillion,MS,,trillion,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
50,51,v.l.v,1a2aA3,valaAv,DONE,4,1a2A3,19,DONE,LEXICON,[STEM-NOM],valaAv,valaAv,three,MS||FS,,three,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
51,52,v.l.v,1a2aA3ami},valaAvami},DONE,1,1a2A3,19,DONE,LEXICON,[STEM-ACCUSATIVE],valaAvami}ap,valaAvami},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
52,53,v.l.v,1a2aA3amiA},valaAvamiA},DONE,1,1a2A3,19,DONE,LEXICON,[STEM-ACCUSATIVE],valaAvamiA}ap,valaAvamiA},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
53,54,v.l.v,1a2aA3imi},valaAvimi},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],valaAvimi}ap,valaAvimi},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
54,55,v.l.v,1a2aA3imiA},valaAvimiA},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],valaAvimiA}ap,valaAvimiA},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
55,56,v.l.v,1a2aA3umi},valaAvumi},DONE,1,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],valaAvumi}ap,valaAvumi},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
56,57,v.l.v,1a2aA3umiA},valaAvumiA},DONE,1,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],valaAvumiA}ap,valaAvumiA},three-hundred,FS,X100,three-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
57,58,v.l.v,1a2aA3,valaAv,DONE,4,1a2A3,19,DONE,LEXICON,[STEM-NOM],valaAvuwn,valaAv,thirty,MP,#MP-uwn,thirty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
58,59,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-ACCUSATIVE],vamaAnami}ap,vamaAnami},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
59,60,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-ACCUSATIVE],vamaAnamiA}ap,vamaAnamiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
60,61,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],vamaAnimi}ap,vamaAnimi},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
61,62,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],vamaAnimiA}ap,vamaAnimiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
62,63,v.m.n,1a2aA3,vamaAn,DONE,4,1a2a3,19,DONE,LEXICON,[STEM-NOM],vamaAniy,vamaAn,eight,MS||FS,#iy,eight,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
63,64,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],vamaAnumi}ap,vamaAnumi},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
64,65,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],vamaAnumiA}ap,vamaAnumiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
65,66,v.m.n,1a2aA3,vamaAn,DONE,4,1a2a3,19,DONE,LEXICON,[STEM-NOM],vamaAnuwn,vamaAn,eighty,MP,#MP-uwn,eighty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
66,67,w.H.d,1aA2i3,waAHid,DONE,1,1A2i3,1,DONE,LEXICON,[STEM-NOM],waAHid,waAHid,one,MS||FS,,one,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
67,68,x.m.s,1a2o3,xamos,DONE,5,1a2o3,18,DONE,LEXICON,[STEM-NOM],xamos,xamos,five,MS||FS,,five,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
68,69,x.m.s,1a2o3ami},xamosami},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],xamosami}ap,xamosami},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
69,70,x.m.s,1a2o3amiA},xamosamiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],xamosamiA}ap,xamosamiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
70,71,x.m.s,1a2o3imi},xamosimi},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],xamosimi}ap,xamosimi},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
71,72,x.m.s,1a2o3imiA},xamosimiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],xamosimiA}ap,xamosimiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
72,73,x.m.s,1a2o3umi},xamosumi},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],xamosumi}ap,xamosumi},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
73,74,x.m.s,1a2o3umiA},xamosumiA},DONE,2,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],xamosumiA}ap,xamosumiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
74,75,x.m.s,1a2o3,xamos,DONE,5,1a2o3,18,DONE,LEXICON,[STEM-NOM],xamosuwn,xamos,fifty,MP,#MP-uwn,fifty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
