,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,#GLOSS_OLD,FEAT,COND-T,COND-S,COMMENTS,STATUS,scratch1,scratch2
21,22,{i1ota2a3,$.b.k,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otabak,{i$otabak,PV,clash;engage;skirmish,skirmish;clash;engage,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
22,23,{i1ota2a3,$.d.d,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i$otad~,{i$otad~,PV,intensify,intensify,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
23,24,{i1ota2a3,$.d.d,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i$otad~,{i$otadad,PV,intensify,intensify,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
24,25,{i1ota2a3,$.E.b,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otaEab,{i$otaEab,PV,branch_out;diverge,diverge;branch_out,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
25,26,{i1ota2a3,$.E.l,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otaEal,{i$otaEal,PV,catch_fire;flare_up,flare_up;catch_fire,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
26,27,{i1ota2a3,$.f.f,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i$otaf~,{i$otaf~,PV,consume;drink_up,drink_up;consume,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
27,28,{i1ota2a3,$.f.f,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i$otaf~,{i$otafaf,PV,consume;drink_up,drink_up;consume,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
28,29,{i1ota2a3,$.f.y,c+nt.c+nt.y,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{i$otafaY,{i$otaf,PV,be_cured;be_healed,be_cured;be_healed,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay intrans,,,,
29,30,{i1ota2a3,$.g.l,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otagal,{i$otagal,PV,operate;work,work;operate,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
30,31,{i1ota2a3,$.h.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otahar,{i$otahar,PV,become_famous,become_famous,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
31,32,{i1ota2a3,$.h.w,c+nt.c+nt.w,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{i$otahaY,{i$otah,PV,crave;desire,desire;crave,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
32,33,{i1ota2a3,$.j.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otajar,{i$otajar,PV,dispute;quarrel,quarrel;dispute,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
33,34,{i1ota2a3,$.k.w,c+nt.c+nt.w,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{i$otakaY,{i$otak,PV,complain,complain,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
34,35,{i1ota2a3,$.m.m,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i$otam~,{i$otam~,PV,smell;sniff,smell;sniff,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
35,36,{i1ota2a3,$.m.m,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i$otam~,{i$otamam,PV,smell;sniff,smell;sniff,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
36,37,{i1ota2a3,$.m.l,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otamal,{i$otamal,PV,comprise;contain;include,include;contain;comprise,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
37,38,{i1ota2a3,$.q.q,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i$otaq~,{i$otaq~,PV,derive,derive,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
38,39,{i1ota2a3,$.q.q,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i$otaq~,{i$otaqaq,PV,derive,derive,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
39,40,{i1ota2a3,$.r.E,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otaraE,{i$otaraE,PV,enact;prescribe,enact;prescribe,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
40,41,{i1ota2a3,$.r.k,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otarak,{i$otarak,PV,participate,participate,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
41,42,{i1ota2a3,$.r.T,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otaraT,{i$otaraT,PV,be_prerequisite;make_conditional;stipulate,make_conditional;stipulate;be_prerequisite,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
42,43,{i1ota2a3,$.r.y,c+nt.c+nt.y,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{i$otaraY,{i$otar,PV,purchase,purchase,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
43,44,{i1ota2a3,$.T.T,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i$otaT~,{i$otaT~,PV,be_excessive;go_too_far,be_excessive;go_too_far,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
44,45,{i1ota2a3,$.T.T,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i$otaT~,{i$otaTaT,PV,be_excessive;go_too_far,be_excessive;go_too_far,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
45,46,{i1ota2a3,b.*.l,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibota*al,{ibota*al,PV,be_debased;neglect,neglect;be_debased,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
46,47,{i1ota2a3,b.>.s,c+nt.>.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibota>as,{ibota>as,PV,be_dejected;be_worried,be_dejected;be_worried,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
47,48,{i1ota2a3,b.$.k,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibota$ak,{ibota$ak,PV,deceive;lie,lie;deceive,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
48,49,{i1ota2a3,b.y.E,c+nt.y.c-nt,{i1otaA3,{i1ota3,LEXICON,[STEM-PV],{ibotaAE,{ibotaE,PV,purchase,purchase,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,trans,,,,
49,50,{i1ota2a3,b.y.E,c+nt.y.c-nt,{i1otaA3,{i1otaA3,LEXICON,[STEM-PV],{ibotaAE,{ibotaAE,PV,purchase,purchase,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,trans,,,,
50,51,{i1ota2a3,b.d.>,c+nt.c+nt.>,{i1ota2a3,{i1ota2,LEXICON,[STEM-PV],{ibotada>,{ibotad,PV,begin;start,begin;start,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-a> trans,,,,
51,52,{i1ota2a3,b.d.E,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotadaE,{ibotadaE,PV,contrive;invent,contrive;invent,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
52,53,{i1ota2a3,b.d.h,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotadah,{ibotadah,PV,extemporize;improvise,improvise;extemporize,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
53,54,{i1ota2a3,b.d.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotadar,{ibotadar,PV,hurry_to;rush_at,rush_at;hurry_to,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
54,55,{i1ota2a3,b.E.d,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotaEad,{ibotaEad,PV,be_far_away_(from);eschew;move_away,move_away;eschew;be_far_away_(from),pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
55,56,{i1ota2a3,b.E.v,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotaEav,{ibotaEav,PV,dispatch;exhume;revive;send,exhume;revive;send;dispatch,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
56,57,{i1ota2a3,b.g.y,c+nt.c+nt.y,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{ibotagaY,{ibotag,PV,desire;want,desire;want,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
57,58,{i1ota2a3,b.h.j,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotahaj,{ibotahaj,PV,rejoice,rejoice,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
58,59,{i1ota2a3,b.h.l,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotahal,{ibotahal,PV,supplicate,supplicate,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
59,60,{i1ota2a3,b.h.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotahar,{ibotahar,PV,flaunt,flaunt,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
60,61,{i1ota2a3,b.k.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotakar,{ibotakar,PV,invent;originate,invent;originate,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
61,62,{i1ota2a3,b.l.l,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{ibotal~,{ibotal~,PV,be_humid;be_wet,be_wet;be_humid,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
62,63,{i1ota2a3,b.l.l,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{ibotal~,{ibotalal,PV,be_humid;be_wet,be_wet;be_humid,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
63,64,{i1ota2a3,b.l.E,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotalaE,{ibotalaE,PV,swallow,swallow,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
64,65,{i1ota2a3,b.l.j,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotalaj,{ibotalaj,PV,be_happy;dawn;shine,be_happy;dawn;shine,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
65,66,{i1ota2a3,b.l.w,c+nt.c+nt.w,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{ibotalaY,{ibotal,PV,afflict;test,test;afflict,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
66,67,{i1ota2a3,b.n.y,c+nt.c+nt.y,{i1ota2aY,{i1ota2,LEXICON,[STEM-PV],{ibotanaY,{ibotan,PV,be_built;build;construct,build;construct;be_built,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
67,68,{i1ota2a3,b.r.d,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotarad,{ibotarad,PV,cool_off,cool_off,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
68,69,{i1ota2a3,b.r.z,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotaraz,{ibotaraz,PV,excel;surpass,excel;surpass,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
69,70,{i1ota2a3,b.s.m,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotasam,{ibotasam,PV,smile,smile,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
70,71,{i1ota2a3,b.s.r,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{ibotasar,{ibotasar,PV,be_premature;be_rash,be_rash;be_premature,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
71,72,{i1ota2a3,b.z.z,c+nt.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{ibotaz~,{ibotaz~,PV,embezzle;extort,embezzle;extort,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
72,73,{i1ota2a3,b.z.z,c+nt.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{ibotaz~,{ibotazaz,PV,embezzle;extort,embezzle;extort,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
73,74,{i1o2a3~,b.y.D,c+nt.y.c-nt,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-PV],{iboyaD~,{iboyaD~,PV,become_white,become_white,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
74,75,{i1o2a3~,b.y.D,c+nt.y.c-nt,{i1o2a3~,{i1o2a3a3,LEXICON,[STEM-PV],{iboyaD~,{iboyaDaD,PV,become_white,become_white,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
75,76,{i1ota2a3,d.y.H,c+nt.y.c-nt,{i1~aA3,{i1~a3,LEXICON,[STEM-PV],{id~aAH,{id~aH,PV,extend;spread_out,extend;spread_out,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,trans,,,,
76,77,{i1ota2a3,d.y.H,c+nt.y.c-nt,{i1~aA3,{i1~aA3,LEXICON,[STEM-PV],{id~aAH,{id~aAH,PV,extend;spread_out,extend;spread_out,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,trans,,,,
77,78,{i1ota2a3,d.E.m,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~aEam,{id~aEam,PV,be_based_on;be_supported,be_supported;be_based_on,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
78,79,{i1ota2a3,d.E.y,c+nt.c+nt.y,{i1~a2aY,{i1~a2,LEXICON,[STEM-PV],{id~aEaY,{id~aE,PV,allege;claim;testify,allege;claim;testify,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay trans,,,,
79,80,{i1ota2a3,d.f.>,c+nt.c+nt.>,{i1~a2a3,{i1~a2,LEXICON,[STEM-PV],{id~afa>,{id~af,PV,get_warm,get_warm,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-a> intrans,,,,
80,81,{i1ota2a3,d.g.m,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~agam,{id~agam,PV,embody;insert,insert;embody,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
81,82,{i1ota2a3,d.H.r,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~aHar,{id~aHar,PV,be_defeated;be_driven_away;collapse,be_driven_away;be_defeated;collapse,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
82,83,{i1ota2a3,D.j.E,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{iD~ajaE,{iD~ajaE,PV,lie_down;sleep,lie_down;sleep,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
83,84,{i1ota2a3,d.k.r,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~akar,{id~akar,PV,remember,remember,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
84,85,{i1ota2a3,d.n.y,c+nt.c+nt.y,{i1~a2aY,{i1~a2,LEXICON,[STEM-PV],{id~anaY,{id~an,PV,approach;be_near,be_near;approach,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#-ay intrans,,,,
85,86,{i1ota2a3,d.r.E,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~araE,{id~araE,PV,be_armed;be_equipped,be_armed;be_equipped,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
86,87,{i1ota2a3,d.v.r,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~avar,{id~avar,PV,cover_oneself;wrap_oneself,wrap_oneself;cover_oneself,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
87,88,{i1ota2a3,d.x.r,c+nt.c+nt.c-nt,{i1~a2a3,{i1~a2a3,LEXICON,[STEM-PV],{id~axar,{id~axar,PV,hoard;save;store,store;hoard;save,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
88,89,{i1o2a3~,d.h.m,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-PV],{idoham~,{idoham~,PV,become_black,become_black,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
89,90,{i1o2a3~,d.h.m,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3a3,LEXICON,[STEM-PV],{idoham~,{idohamam,PV,become_black,become_black,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
90,91,{i1o2a3a4~,d.l.h.m,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3o4a4,LEXICON,[STEM-PV],{idolaham~,{idolahomam,PV,be_dark;be_gloomy;be_pitch-black,be_dark;be_gloomy;be_pitch-black,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
91,92,{i1o2a3a4~,d.l.h.m,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3a4~,LEXICON,[STEM-PV],{idolaham~,{idolaham~,PV,be_dark;be_gloomy;be_pitch-black,be_dark;be_gloomy;be_pitch-black,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
92,93,{i1o2a3a4~,D.m.H.l,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3o4a4,LEXICON,[STEM-PV],{iDomaHal~,{iDomaHolal,PV,disappear;vanish,disappear;vanish,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
93,94,{i1o2a3a4~,D.m.H.l,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3a4~,LEXICON,[STEM-PV],{iDomaHal~,{iDomaHal~,PV,disappear;vanish,disappear;vanish,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
94,95,{i1ota2a3,D.b.n,c+nt.c+nt.n,{i1oTa2a3,{i1oTa2a3,LEXICON,[STEM-PV],{iDoTaban,{iDoTaban,PV,carry_under_arm,carry_under_arm,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#n trans,,,,
95,96,{i1ota2a3,D.h.d,c+nt.c+nt.c-nt,{i1oTa2a3,{i1oTa2a3,LEXICON,[STEM-PV],{iDoTahad,{iDoTahad,PV,brutalize;oppress;persecute,oppress;brutalize;persecute,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
96,97,{i1ota2a3,D.j.E,c+nt.c+nt.c-nt,{i1oTa2a3,{i1oTa2a3,LEXICON,[STEM-PV],{iDoTajaE,{iDoTajaE,PV,lie_down;sleep,lie_down;sleep,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
