,LINE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
27,28,,,,,,,,,,,,,,,,,
28,100,#Buffers,,,,,,,,,,,,,,,,
29,101,MORPH,[NBuff],Buffer,_,_,,MSA,,else,,,Buffer Base,,OK,GOOD,,
30,102,MORPH,[NBuff],Buffer#aY-Ap-y,aY,aY/STEM,,MSA,,#aY-Ap-y MS enc0:0,,,Buffer #aY-Ap-y,فتى,OK,GOOD,,
31,103,MORPH,[NBuff],Buffer#aY-Ap-y,A,A/STEM,,MSA,,#aY-Ap-y MS !enc0:0,,,Buffer #aY-Ap-y,فتاه، فتاي,OK,GOOD,,
32,104,MORPH,[NBuff],Buffer#aY-Ap-y,ay,ay/STEM,,MSA,,#aY-Ap-y MD||FP,,,Buffer #aY-Ap-y,فتيان، فتيات,OK,GOOD,,
33,105,MORPH,[NBuff],Buffer#aY-Ap-y,A,A/STEM,,MSA,,#aY-Ap-y FS||FD,,,Buffer #aY-Ap-y,فتاة، فتاتان,OK,GOOD,,
34,106,MORPH,[NBuff],Buffer#aY-Ap-y,_,_,,MSA,,#aY-Ap-y MP,,,Buffer #aY-Ap-y,مصطفون,OK,GOOD,,
35,107,MORPH,[NBuff],Buffer#A-Ap-w,A,A/STEM,,MSA,,#A-Ap-w MS,,,Buffer #A-Ap-w,عصا,OK,GOOD,,
36,108,MORPH,[NBuff],Buffer#A-Ap-w,aw,aw/STEM,,MSA,,#A-Ap-w MD||FP,,,Buffer #A-Ap-w,عصوان عصوات أدوات,OK,GOOD,,
37,109,MORPH,[NBuff],Buffer#A-Ap-w,A,A/STEM,,MSA,,#A-Ap-w FS||FD,,,Buffer #A-Ap-w,اداة أداتان ,OK,GOOD,,
38,110,MORPH,[NBuff],Buffer#A-Ap-w,_,_,,MSA,,#A-Ap-w MP,,,Buffer #A-Ap-w,,OK,GOOD,,
39,111,MORPH,[NBuff],Buffer#A',','/STEM,,MSA,,#A' MS enc0:0,,,Buffer #A',قراء غطاء,OK,GOOD,,no pron/word end
40,112,MORPH,[NBuff],Buffer#A',','/STEM,,MSA,,#A' MS !enc0:0 a-suff,,,Buffer #A',غطاءَها,OK,GOOD,,a-suff + pron
41,113,MORPH,[NBuff],Buffer#A',&,&/STEM,,MSA,,#A' MS !enc0:0 u-suff,,,Buffer #A',غطاؤها,OK,GOOD,,u-suff + pron
42,114,MORPH,[NBuff],Buffer#A',},}/STEM,,MSA,,#A' MS !enc0:0 i-suff,,,Buffer #A',غطائها,OK,GOOD,,i-suff + pron
43,115,MORPH,[NBuff],Buffer#A',&,&/STEM,,MSA,,#A' MP w-suff,,,Buffer #A',قراؤون,OK,GOOD,,%w-suff
44,116,MORPH,[NBuff],Buffer#A',},}/STEM,,MSA,,#A' MP y-suff,,,Buffer #A',قرائين,OK,GOOD,,%y-suff
45,117,MORPH,[NBuff],Buffer#A',','/STEM,,MSA,,#A' FS||FD||MD||FP,,,Buffer #A',قراءة قراءات,OK,GOOD,,"a-suff, A-suff"
46,118,MORPH,[NBuff],Buffer#A'-w,','/STEM,,MSA,,#A' MS enc0:0,,,Buffer #A'-w,صحراء,OK,GOOD,,no pron/word end
47,119,MORPH,[NBuff],Buffer#A'-w,','/STEM,,MSA,,#A' MS !enc0:0 a-suff,,,Buffer #A'-w,صحراءه,OK,GOOD,,a-suff + pron
48,120,MORPH,[NBuff],Buffer#A'-w,&,&/STEM,,MSA,,#A' MS !enc0:0 u-suff,,,Buffer #A'-w,صحراؤه,OK,GOOD,,u-suff + pron
49,121,MORPH,[NBuff],Buffer#A'-w,},}/STEM,,MSA,,#A' MS !enc0:0 i-suff,,,Buffer #A'-w,صحرائي,OK,GOOD,,i-suff + pron
50,122,MORPH,[NBuff],Buffer#A'-w,&,&/STEM,,MSA,,#A'-w MP w-suff,,,Buffer #A'-w,قراؤون,OK,GOOD,,%w-suff
51,123,MORPH,[NBuff],Buffer#A'-w,},}/STEM,,MSA,,#A'-w MP y-suff,,,Buffer #A'-w,قرائين,OK,GOOD,,%y-suff
52,124,MORPH,[NBuff],Buffer#A'-w,','/STEM,,MSA,,#A'-w FS||FD,,,Buffer #A'-w,صحراء سماء,OK,GOOD,,% a-suff
53,125,MORPH,[NBuff],Buffer#A'-w,w,w/STEM,,MSA,,#A'-w MD||FP,,,Buffer #A'-w,صحراوان صحراوات,OK,GOOD,,% A-suff
54,126,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,MSA,,#a> MS enc0:0,,,Buffer #a>,مبدأ,OK,GOOD,The #a> can be reduced to 4 lines,no pron/word end
55,127,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,MSA,,#a> MS !enc0:0 a-suff,,,Buffer #a>,مبدأه,OK,GOOD,,a-suff + pron
56,128,MORPH,[NBuff],Buffer#a>,a&,&/STEM,,MSA,,#a> MS !enc0:0 u-suff,,,Buffer #a>,مبدؤه,OK,GOOD,,u-suff + pron
57,129,MORPH,[NBuff],Buffer#a>,a},}/STEM,,MSA,,#a> MS !enc0:0 i-suff,,,Buffer #a>,مبدئه,OK,GOOD,,i-suff + pron
58,130,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,MSA,,#a> FS||FD,,,Buffer #a>,مكافأة، مكافأتان,OK,GOOD,,
59,131,MORPH,[NBuff],Buffer#a>,_,_,,MSA,,#a> FP||MD A-suff,,,Buffer #a>,مكافآت مبدآن,OK,GOOD,,
60,132,MORPH,[NBuff],Buffer#a>,a>,,,MSA,,#a> MD !A-suff,,,Buffer #a>,مبدأين,OK,GOOD,,A-suff
61,133,MORPH,[NBuff],Buffer#a>,a&,&/STEM,,MSA,,#a> MP w-suff,,,Buffer #a>,المُكافَؤن,OK,GOOD,,%w-suff
62,134,MORPH,[NBuff],Buffer#a>,a},}/STEM,,MSA,,#a> MP y-suff,,,Buffer #a>,المُكافَئين,OK,GOOD,,%y-suff
63,135,MORPH,[NBuff],Buffer#iy,_,_,,MSA,,#iy MS i-suff,,,Buffer #iy,محام,OK,GOOD,,
64,136,MORPH,[NBuff],Buffer#iy,iy,iy/STEM,,MSA,,#iy MS !i-suff,,,Buffer #iy,محامي محاميا,OK,GOOD,,
65,137,MORPH,[NBuff],Buffer#iy,_,_,,MSA,,#iy MP,,,Buffer #iy,محامون محامو,OK,GOOD,,
66,138,MORPH,[NBuff],Buffer#iy,iy,iy/STEM,,MSA,,#iy MD||FS||FD||FP,,,Buffer #iy,محامي,OK,GOOD,,else
67,139,MORPH,[NBuff],Buffer#A}iy,','/STEM,,MSA,,#A}iy MS i-suff,,,Buffer #A}iy,راء,OK,GOOD,,
68,140,MORPH,[NBuff],Buffer#A}iy,}iy,}iy/STEM,,MSA,,#A}iy MS !i-suff,,,Buffer #A}iy,"رائي, رائيا",OK,GOOD,,
69,141,MORPH,[NBuff],Buffer#A}iy,&,&/STEM,,MSA,,#A}iy MP w-suff,,,Buffer #A}iy,راؤون,OK,GOOD,,
70,142,MORPH,[NBuff],Buffer#A}iy,},}/STEM,,MSA,,#A}iy MP y-suff,,,Buffer #A}iy,رائين,OK,GOOD,,
71,143,MORPH,[NBuff],Buffer#A}iy,}iy,}iy/STEM,,MSA,,#A}iy MD||FS||FD||FP,,,Buffer #A}iy,رائية، رائيان,OK,GOOD,,
72,144,MORPH,[NBuff],Buffer#aA,A,A/STEM,,MSA,,#A MS,,,Buffer #aA,ايدولوجيا,OK,GOOD,,
73,145,MORPH,[NBuff],Buffer#aA,_,_,,MSA,,#A MD||MP||FS||FD||FP,,,Buffer #aA,ايدولوجيتان ايدولوجيات,OK,GOOD,not present for some combinations],
74,146,MORPH,[NBuff],Buffer#w',','/STEM,,MSA,,#w' MS enc0:0,,,Buffer #w',موبوء,OK,GOOD,hamza conditions can be reduced ,
75,147,MORPH,[NBuff],Buffer#w',','/STEM,,MSA,,#w' MS !enc0:0 !i-suff,,,Buffer #w',موبوء,OK,GOOD,,
76,148,MORPH,[NBuff],Buffer#w',},}/STEM,,MSA,,#w' MS !enc0:0 i-suff,,,Buffer #w',موبوئه,OK,GOOD,,
77,149,MORPH,[NBuff],Buffer#w',','/STEM,,MSA,,#w' MD||FS||FD||FP,,,Buffer #w',موبوءان موبوءين موبوءة موبوءتان موبوءات,OK,GOOD,%a-suffs,
78,150,MORPH,[NBuff],Buffer#w',','/STEM,,MSA,,#w' MP !y-suff,,,Buffer #w',موبوءون,OK,GOOD,,
79,151,MORPH,[NBuff],Buffer#w',},}/STEM,,MSA,,#w' MP y-suff,,,Buffer #w',موبوئين,OK,GOOD,,
80,152,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,MSA,,#u& MS enc0:0,,,Buffer #u&,أكمؤ,OK,GOOD,hamza conditions can be reduced ,
81,153,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,MSA,,#u& MS !enc0:0 !i-suff,,,Buffer #u&,أكمؤه,OK,GOOD,,
82,154,MORPH,[NBuff],Buffer#w',u},u}/STEM,,MSA,,#u& MS !enc0:0 i-suff,,,Buffer #u&,لأكمئه,OK,GOOD,,
83,155,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,MSA,,#u& MD||FS||FD||FP,,,Buffer #u&,,OK,GOOD,%a-suffs,
84,156,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,MSA,,#u& MP !y-suff,,,Buffer #u&,,OK,GOOD,,
85,157,MORPH,[NBuff],Buffer#w',u},u}/STEM,,MSA,,#u& MP y-suff,,,Buffer #u&,,OK,GOOD,,
86,158,MORPH,[NBuff],Buffer#o'-dis,','/STEM,,MSA,,#o'-dis MS enc0:0,,,Buffer #o'-dis,جزء/جزءا,OK,GOOD,hamza conditions can be reduced ,
87,159,MORPH,[NBuff],Buffer#o'-dis,>,>/STEM,,MSA,,#o'-dis MS !enc0:0 a-suff,,,Buffer #o'-dis,جزأه,OK,GOOD,,
88,160,MORPH,[NBuff],Buffer#o'-dis,&,&/STEM,,MSA,,#o'-dis MS !enc0:0 u-suff,,,Buffer #o'-dis,جزؤه,OK,GOOD,,
89,161,MORPH,[NBuff],Buffer#o'-dis,},}/STEM,,MSA,,#o'-dis MS !enc0:0 i-suff,,,Buffer #o'-dis,جزئه,OK,GOOD,,
90,162,MORPH,[NBuff],Buffer#o'-dis,>,>/STEM,,MSA,,#o'-dis FS||FD,,,Buffer #o'-dis,,OK,GOOD,%a-suffs,
91,163,###MORPH,[NBuff],Buffer#o'-dis,_,,,MSA,,#o'-dis FP||MD A-suff,,,Buffer #o'-dis,جزآن,OK,GOOD,another spelling; deactivated,
92,164,MORPH,[NBuff],Buffer#o'-dis,','/STEM,,MSA,,#o'-dis FP||MD A-suff,,,Buffer #o'-dis,جزءان,OK,GOOD,,
93,165,MORPH,[NBuff],Buffer#o'-dis,>,>/STEM,,MSA,,#o'-dis MD !A-suff,,,Buffer #o'-dis,جزأين,OK,GOOD,,
94,166,MORPH,[NBuff],Buffer#o'-dis,&,&/STEM,,MSA,,#o'-dis MP !y-suff,,,Buffer #o'-dis,,OK,GOOD,,
95,167,MORPH,[NBuff],Buffer#o'-dis,},}/STEM,,MSA,,#o'-dis MP y-suff,,,Buffer #o'-dis,,OK,GOOD,,
96,168,MORPH,[NBuff],Buffer#o'-con,','/STEM,,MSA,,#o'-con MS enc0:0 !AF-suff ,,,Buffer #o'-con,عبء,OK,GOOD,,
97,169,MORPH,[NBuff],Buffer#o'-con,},}/STEM,,MSA,,#o'-con MS enc0:0 AF-suff ,,,Buffer #o'-con,عبئاً,OK,GOOD,,
98,170,MORPH,[NBuff],Buffer#o'-con,},}/STEM,,MSA,,#o'-con MS !enc0:0,,,Buffer #o'-con,عبئاً,OK,GOOD,,
99,171,MORPH,[NBuff],Buffer#o'-con,},}/STEM,,MSA,,#o'-con MD||MP||FS||FD||FP,,,Buffer #o'-con,عبئان، عبئين رديئون رديئة رديئتان رديئات,OK,GOOD,,
100,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
102,300.1111,MORPH,[NSuff.XXIN],NSuff.MSIN,N,N/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,else,,MS u-suff,Base Triptote-Sound,كتابٌ,OK,GOOD,0,
103,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,K,K/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#iy||#A}iy,,MS i-suff,#iy,محامٍ,OK,GOOD,1,
104,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,u,u/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,@dip,,MS,Diptote-Sound,مصانعُ,OK,GOOD,1,
105,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,F,F/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#A-Ap-w,,MS,#aY-Ap-y,فتىً,OK,GOOD,1,
106,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,[masc.sg.indef.nom.],MSA,form_gen:m form_num:s stt:i cas:n,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
107,300.1112,MORPH,[NSuff.XXIA],NSuff.MSIA,AF,AF/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,else,,MS a-suff AF-suff,Base Triptote-Sound,كتاباً,OK,GOOD,0,
108,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,a,a/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,@dip,,MS,Diptote-Sound,مصانعَ,OK,GOOD,1,
109,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#aY-Ap-y||#A-Ap-w,,MS,#aY-Ap-y,فتىً,OK,GOOD,1,
110,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#A'||#A'wy||#a>,,MS a-suff,#A'||#A'wy,صحراء,OK,GOOD,1,
111,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,_,(null)/CASE_INDEF_ACC,[masc.sg.indef.acc.],MSA,form_gen:m form_num:s stt:i cas:a,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
112,300.1113,MORPH,[NSuff.XXIG],NSuff.MSIG,K,K/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,else,,MS i-suff,Base Triptote-Sound,كتابٍ,OK,GOOD,0,
113,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,a,a/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,@dip,,MS,Diptote-Sound,مصانعَ,OK,GOOD,1,
114,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,F,F/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,#aY-Ap-y||#A-Ap-w,,MS,#aY-Ap-y,فتىً,OK,GOOD,1,
115,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_GEN,[masc.sg.indef.gen.],MSA,form_gen:m form_num:s stt:i cas:g,#aA||Mono,,MS,#aA,ايدولوجيا,OK,GOOD,1,
116,300.1114,MORPH,[NSuff.XXIU],NSuff.MSIU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:i cas:u,_,,MS UCase,Base UCase,كتاب,OK,GOOD,0,
117,300.1121,MORPH,[NSuff.XXDN],NSuff.MSDN,u,u/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,else,,MS u-suff,Base Triptote-Sound,الكتابُ,OK,GOOD,0,
118,300.11211,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,#iy||#A}iy,,MS C:iy#,#iy,المحامي,OK,GOOD,1,
119,300.11211,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],MSA,form_gen:m form_num:s stt:d cas:n,#aY-Ap-y||#A-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى الايدولوجيا,OK,GOOD,1,
120,300.1122,MORPH,[NSuff.XXDA],NSuff.MSDA,a,a/CASE_DEF_ACC,[masc.sg.def.acc.],MSA,form_gen:m form_num:s stt:d cas:a,_,,MS a-suff,Base Triptote-Sound,الكتابَ,OK,GOOD,0,
121,300.11221,MORPH,[NSuff.XXDA],NSuff.MSDA,_,(null)/CASE_DEF_ACC,[masc.sg.def.acc.],MSA,form_gen:m form_num:s stt:d cas:a,#aY-Ap-y||#A-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى,OK,GOOD,1,
122,300.1123,MORPH,[NSuff.XXDG],NSuff.MSDG,i,i/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,_,,MS i-suff,Base Triptote-Sound,الكتابِ,OK,GOOD,0,
123,300.11231,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,#iy||#A}iy,,MS C:iy#,#iy,المحامي,OK,GOOD,1,
124,300.11231,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],MSA,form_gen:m form_num:s stt:d cas:g,#aY-Ap-y||#A-Ap-w||#aA||Mono,,MS,#aY-Ap-y,الفتى,OK,GOOD,1,
125,300.1124,MORPH,[NSuff.XXDU],NSuff.MSDU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:d cas:u,_,,MS UCase,Base UCase,الكتاب,OK,GOOD,0,
126,300.1131,MORPH,[NSuff.XXCN],NSuff.MSCN,u,u/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else !C:POSS_PRON-iy,,MS u-suff,Base Triptote-Sound,كتابُ,OK,GOOD,0,
127,300.1131,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else C:POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
128,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,uw,uw/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else !C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبو أبوه,OK,GOOD,1,
129,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,else C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبي,OK,GOOD,1,
130,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,#iy||#A}iy,,MS C:iy#,#iy,محامي، محاميهِ، محاميَّ,OK,GOOD,1,
131,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],MSA,form_gen:m form_num:s stt:c cas:n,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى,OK,GOOD,1,
132,300.1132,MORPH,[NSuff.XXCA],NSuff.MSCA,a,a/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else !C:POSS_PRON-iy,,MS a-suff,Base Triptote-Sound,كتابَ,OK,GOOD,0,
133,300.1132,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else C:POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
134,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,A,A/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else !C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبا أباه,OK,GOOD,1,
135,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,else C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبي,OK,GOOD,1,
136,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],MSA,form_gen:m form_num:s stt:c cas:a,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى,OK,GOOD,1,
137,300.1133,MORPH,[NSuff.XXCG],NSuff.MSCG,i,i/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else !C:POSS_PRON-iy,,MS i-suff C:i#,Base Triptote-Sound,كتابِ,OK,GOOD,0,
138,300.1133,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else C:POSS_PRON-iy,,MS i-suff,Base Triptote-Sound,كتابِي,OK,GOOD,0,
139,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,iy,iy/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else !C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبي أبيه,OK,GOOD,1,
140,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,else C:POSS_PRON-iy,,FIVE-NOUNS,FIVE-NOUNS,أبي,OK,GOOD,1,
141,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,#iy||#A}iy,,MS C:iy#,#iy,محامي، محاميهِ، محاميَّ,OK,GOOD,1,
142,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],MSA,form_gen:m form_num:s stt:c cas:g,#aY-Ap-y||#aA-Ap-w||#aA||Mono,,MS,#aY-Ap-y,فتى ايدولوجيا,OK,GOOD,1,
143,300.1134,MORPH,[NSuff.XXCU],NSuff.MSCU,_,_,[masc.sg.],MSA,form_gen:m form_num:s stt:c cas:u,_,,MS UCase,Base UCase,كتاب,OK,GOOD,0,
144,300.1211,MORPH,[NSuff.XXIN],NSuff.MDIN,Ani,Ani/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],MSA,form_gen:m form_num:d stt:i cas:n,else,,MD,Base Triptote-Sound,كتابان,OK,GOOD,0,
145,300.12111,MORPH,[NSuff.XXIN],NSuff.MDIN,|ni,|ni/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],MSA,form_gen:m form_num:d stt:i cas:n,#a>,,MD A-suff,#a>,مبدآن,OK,GOOD,1,
146,300.1212,MORPH,[NSuff.XXIA],NSuff.MDIA,ayoni,ayoni/NSUFF_MASC_DU_ACC,two_[masc.du.indef.acc.],MSA,form_gen:m form_num:d stt:i cas:a,_,,MD,Base Triptote-Sound,كتابين,OK,GOOD,0,
147,300.1213,MORPH,[NSuff.XXIG],NSuff.MDIG,ayoni,ayoni/NSUFF_MASC_DU_GEN,two_[masc.du.indef.gen.],MSA,form_gen:m form_num:d stt:i cas:g,_,,MD,Base Triptote-Sound,كتابين,OK,GOOD,0,
