,ID,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE-ENC,EXAMPLE-SUFF,EXAMPLE-BUFF,EXAMPLE-STEM,COMMENTS
44,40,,MORPH,[PVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> w-suff,_,a&,,وا,ؤ +,قر +,
45,41,,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-aw z-suff,_,aA,,∅,∅ +,دَعَا +,
46,42,,MORPH,[PVBuff],Buffer,aw,aw/STEM,MSA,,,#-aw c-suff||A-suff,_,aw,,تُ، نا، تَِ، تم،تما، تنّ، نَ,و +,دَعَ +,
47,43,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-aw else,_,_,,ت، يا، تا، وا,∅ +,دَعَ +,
48,44,,MORPH,[PVBuff],Buffer,aY,aY/STEM,MSA,,,#-ay z-suff else,_,aY,,∅,ى +,رَمَ +,
49,45,,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay z-suff enc0,_,aY,ه, + ∅,ا +,رَمَ +,
50,46,,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay c-suff||A-suff,_,ay,,تُ، نا، تَِ، تم، تما، تنّ، نَ,ي +,رَمَ +,
51,47,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay else,_,_,,ت، يا، تا، وا, + ∅,رَمَ +,
52,48,,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay-A z-suff,_,aA,,,,حيّا,
53,49,,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay-A c-suff||A-suff,_,ay,,,,حيّيت حييا,
54,50,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay-A else,_,_,,,,حيوا,
55,51,,MORPH,[PVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy else,_,iy,,,,نسي نسيت,
56,52,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-iy w-suff,_,_,,,,نسوا,
57,53,,MORPH,[PVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy else,_,iy,,,,ترمي,
58,54,,MORPH,[PVBuff],Buffer,&,&/STEM,MSA,,,#-}iy w-suff,_,_,,,,ترمون ترمين,
59,55,,MORPH,[PVBuff],Buffer,iy',iy'/STEM,MSA,,,#-iy' v-suff z-suff,_,iy',,,,سيء,
60,56,,MORPH,[PVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' v-suff else,_,iy},,,,سيئها,
61,57,,MORPH,[PVBuff],Buffer,i},i}/STEM,MSA,,,#-iy' c-suff,_,iy},,,,سيئوا,
62,58,,MORPH,[PVBuff],Buffer,a>,a>/STEM,MSA,,,#-A' c-suff,_,',,,,جاء,
63,59,,MORPH,[PVBuff],Buffer,A',A'/STEM,MSA,,,#-A' else,_,&,,,,جاؤوا,
64,60,,MORPH,[PVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' w-suff,,,,,,,
65,61,,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-aA z-suff,_,aY,,,,رمى,
66,62,,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-aA c-suff||A-suff,_,ay,,,,رمين، رميت، رميا,
67,63,,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-aA else,_,_,,,,رموا,
68,64,,MORPH,[PVBuff],Buffer,_,_,MSA,,,else,_,_,,,,كتب,
69,Perfective Verb Suffixes,,,,,,,,,,,,,,,,,
70,65,,MORPH,[PVSuff],PVSuff.1S,tu,tu/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,else,c-suff,tu,,,,كتبت,
71,66,,MORPH,[PVSuff],PVSuff.1S,~u,~u/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,#t,c-suff,~u,,,,سكت,
72,67,,MORPH,[PVSuff],PVSuff.1P,nA,nA/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff,nA,,,,كتبنا,
73,68,,MORPH,[PVSuff],PVSuff.1P,~A,~A/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff,~A,,,,سكنا,
74,69,,MORPH,[PVSuff],PVSuff.2MS,ta,ta/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,ta,,,,كتبت,
75,70,,MORPH,[PVSuff],PVSuff.2MS,~a,~a/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,~a,,,,سكت,
76,71,,MORPH,[PVSuff],PVSuff.2MP,tum ,tum/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* else,c-suff,tum ,,,,كتبتم,
77,72,,MORPH,[PVSuff],PVSuff.2MP,tumuw ,tumuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* enc0,c-suff,tum ,,,,كتبتموها,
78,73,,MORPH,[PVSuff],PVSuff.2MP,~um ,~um/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* else,c-suff,~um ,,,,سكتم,
79,74,,MORPH,[PVSuff],PVSuff.2MP,~umuw ,~umuw/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* enc0,c-suff,~um ,,,,سكتموها,
80,75,,MORPH,[PVSuff],PVSuff.2FS,ti,ti/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff #^i,ti,,,,كتبت,
81,76,,MORPH,[PVSuff],PVSuff.2FS,~i,~i/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff #^i,~i,,,,سكت,
82,77,,MORPH,[PVSuff],PVSuff.2FP,tun~a,tun~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,else !enc0:2* ,c-suff,tun~a,,,,كتبتن,
83,78,,MORPH,[PVSuff],PVSuff.2FP,~un~a,~un~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,#t !enc0:2*,c-suff,~un~a,,,,سكتن,
84,79,,MORPH,[PVSuff],PVSuff.2D,tumA,tumA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,else !enc0:2*,c-suff,tumA,,,,كتبتما,
85,80,,MORPH,[PVSuff],PVSuff.2D,~umA,~umA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,#t !enc0:2*,c-suff,~umA,,,,سكتما,
86,81,,MORPH,[PVSuff],PVSuff.3MS,a,a/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,else,v-suff z-suff,a,,,,كتب,
87,82,,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,#-ay||#-ay-A||#-aw||#-aA,v-suff z-suff,_,,,,رمى,
88,83,,MORPH,[PVSuff],PVSuff.3MD,A,A/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,else,v-suff A-suff,A,,,,كتبا,
89,84,,MORPH,[PVSuff],PVSuff.3MD,_,(null)/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,#-a>,v-suff A-suff,_,,,,قرآ,
90,85,,MORPH,[PVSuff],PVSuff.3MP,uwA,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else else,v-suff w-suff,uwA,,,,كتبوا,
91,86,,MORPH,[PVSuff],PVSuff.3MP,uw,uw/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else enc0,v-suff w-suff,uwA,,,,كتبوها,
92,87,,MORPH,[PVSuff],PVSuff.3MP,awoA,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA else,v-suff w-suff,awA,,,,رموا,
93,88,,MORPH,[PVSuff],PVSuff.3MP,awo,awo/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA enc0,v-suff w-suff,awA,,,,رموه,
94,89,,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,MSA,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff,at,,,,كتبت,
95,90,,MORPH,[PVSuff],PVSuff.3FD,atA,atA/PVSUFF_SUBJ:3FD,MSA,they_[fem.du.],asp:p per:3 gen:f num:d,else,v-suff,atA,,,,كتبتا,
96,91,,MORPH,[PVSuff],PVSuff.3FP,na,na/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,else,c-suff,na,,,,كتبن,
97,92,,MORPH,[PVSuff],PVSuff.3FP,~a,~a/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,#n,c-suff,~a,,,,سكن,
98,Imperfective Verb Prefixes,,,,,,,,,,,,,,,,,
99,93,,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,else,h-pref,,,,,"أكتب,أؤجل,أساعد",
100,94,,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# else,h-pref,,,,,"أكتب,أؤجل,أساعد",
101,95,,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# >-#,h-pref,,,,,آكل,
102,96,,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,MSA,we_[pl.],asp:i per:1 gen:u num:p,!enc0:1*,_,,,,,نكتب,
103,97,,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,MSA,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,_,,,,,تكتب,
104,98,,MORPH,[IVPref.2MP],IVPref.2MP,t,t/IV2MP,MSA,you_[masc.pl.],asp:i per:2 gen:m num:p,!enc0:2*,_,,,,,تكتب,
105,99,,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,MSA,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,_,,,,,تكتب,
106,100,,MORPH,[IVPref.2FP],IVPref.2FP,t,t/IV2FP,MSA,you_[fem.pl.],asp:i per:2 gen:f num:p,!enc0:2*,_,,,,,تكتب,
107,101,,MORPH,[IVPref.2D],IVPref.2D,t,t/IV2D,MSA,you_[du.],asp:i per:2 gen:u num:d,!enc0:2*,_,,,,,تكتب,
108,102,,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,MSA,he_[masc.sg.],asp:i per:3 gen:m num:s,_,_,,,,,يكتب,
109,103,,MORPH,[IVPref.3MD],IVPref.3MD,y,y/IV3MD,MSA,they_[masc.du.],asp:i per:3 gen:m num:d,_,_,,,,,يكتب,
110,104,,MORPH,[IVPref.3MP],IVPref.3MP,y,y/IV3MP,MSA,they_[masc.pl.],asp:i per:3 gen:m num:p,_,_,,,,,يكتب,
111,105,,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,MSA,she_[fem.sg.],asp:i per:3 gen:f num:s,_,_,,,,,تكتب,
112,106,,MORPH,[IVPref.3FD],IVPref.3FD,t,t/IV3FD,MSA,she_[fem.pl.],asp:i per:3 gen:f num:d,_,_,,,,,تكتب,
113,107,,MORPH,[IVPref.3FP],IVPref.3FP,y,y/IV3FP,MSA,they_[fem.pl.],asp:i per:3 gen:f num:p,_,_,,,,,يكتب,
114,Imperfective Verb Pre-Stem Buffers,,,,,,,,,,,,,,,,,
115,108,,MORPH,[IVPreBuff],Buffer,_,_,MSA,,,a-# >-# h-pref,_,,,,,آكل,
116,109,,MORPH,[IVPreBuff],Buffer,a>,a>/STEM,MSA,,,a-# >-# else,_,,,,,تأكلن,
117,110,,MORPH,[IVPreBuff],Buffer,a,a/STEM,MSA,,,a-# else else,_,,,,,تكتب,
118,111,,MORPH,[IVPreBuff],Buffer,uw,uw/STEM,MSA,,,u-# >-# h-pref,_,,,,,أُوسَر,
119,112,,MORPH,[IVPreBuff],Buffer,u&,u&/STEM,MSA,,,u-# >-# else,_,,,,,تُؤسَر,
120,113,,MORPH,[IVPreBuff],Buffer,u,u/STEM,MSA,,,u-# else else,_,,,,,تساعد,
121,Imperfective Verb Post-Stem Buffers,,,,,,,,,,,,,,,,,
122,114,,MORPH,[IVBuff],Buffer,ay,ay/STEM,MSA,,,#-aA else,_,_,,,,تحيين تحيون,
123,115,,MORPH,[IVBuff],Buffer,a,a/STEM,MSA,,,#-aA z-suff c-suff,_,a,,,,تحيَ,
124,116,,MORPH,[IVBuff],Buffer,A,A/STEM,MSA,,,#-aA z-suff v-suff,_,A,,,,تحيا,
125,117,,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-aA w-suff||y-suff,_,A,,,,تحيا,
126,118,,MORPH,[IVBuff],Buffer,ay,ay/STEM,MSA,,,#-aY else,_,ay,,,,تريان,
127,119,,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-aY w-suff||y-suff,_,_,,,,ترون ترين,
128,120,,MORPH,[IVBuff],Buffer,a,a/STEM,MSA,,,#-aY z-suff c-suff,_,a,,,,ترَ,
129,121,,MORPH,[IVBuff],Buffer,aY,aY/STEM,MSA,,,#-aY z-suff v-suff !enc0,_,aY,,,,ترى,
130,122,,MORPH,[IVBuff],Buffer,A,A/STEM,MSA,,,#-aY z-suff v-suff enc0,_,aY,,,,تراه,
131,123,,MORPH,[IVBuff],Buffer,uw,uw/STEM,MSA,,,#-uw else,_,uw,,,,تدعو,
132,124,,MORPH,[IVBuff],Buffer,uw,uw/STEM,MSA,,,#-uw z-suff else,_,uw,,,,تدعو,
133,125,,MORPH,[IVBuff],Buffer,u,u/STEM,MSA,,,#-uw z-suff c-suff,_,u,,,,تدعُ,
134,126,,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-uw w-suff||y-suff,_,_,,,,تدعون تدعين,
135,127,,MORPH,[IVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy else,_,iy,,,,ترمي,
136,128,,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-iy w-suff||y-suff,_,_,,,,ترمون ترمين,
137,129,,MORPH,[IVBuff],Buffer,i,i/STEM,MSA,,,#-iy z-suff c-suff ,_,i,,,,ترمِ,
138,130,,MORPH,[IVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy z-suff v-suff,_,iy,,,,ترمي,
139,131,,MORPH,[IVBuff],Buffer,a|,a|/STEM,MSA,,,#-a> A-suff,_,a|,,,,تقرآ,
140,132,,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> else,_,a>,,,,تقرأَ,
141,133,,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> u-suff !enc0,_,a>,,,,تقرأُ,
142,134,,MORPH,[IVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> u-suff enc0,_,a>,,,,تقرؤه,
143,135,,MORPH,[IVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> w-suff,_,a&,,,,تقرؤوا,
144,136,,MORPH,[IVBuff],Buffer,a},a}/STEM,MSA,,,#-a> y-suff,_,a},,,,تقرئي,
145,137,,MORPH,[IVBuff],Buffer,u&,u&/STEM,MSA,,,#-u& else,_,a&,,,,تبطؤ,
146,138,,MORPH,[IVBuff],Buffer,u},u}/STEM,MSA,,,#-u& y-suff,_,a},,,,تبطئي,
147,139,,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-A' c-suff,_,a>,,,,يشأْ يشأن,
148,140,,MORPH,[IVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' w-suff,_,A&,,,,يشاؤون,
149,141,,MORPH,[IVBuff],Buffer,A},A}/STEM,MSA,,,#-A' y-suff,_,A},,,,تشائين,
150,142,,MORPH,[IVBuff],Buffer,A',A'/STEM,MSA,,,#-A' z-suff||A-suff else,_,A',,,,يشاء,
151,143,,MORPH,[IVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' z-suff||A-suff enc0 u-suff,_,A',,,,يشاؤه,
152,144,,MORPH,[IVBuff],Buffer,A',A'/STEM,MSA,,,#-A' z-suff||A-suff enc0 else,_,A',,,,يشاءه,
153,145,,MORPH,[IVBuff],Buffer,A',A'/STEM,MSA,,,#-A' else,_,A',,,,,
154,146,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' A-suff,_,uw',,,,,
155,147,,MORPH,[IVBuff],Buffer,u&,u&/STEM,MSA,,,#-uw' c-suff,_,u&,,,,,
156,148,,MORPH,[IVBuff],Buffer,uw},uw}/STEM,MSA,,,#-uw' w-suff||y-suff,_,uw},,,,,
157,149,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' z-suff else,_,uw',,,,,
158,150,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' z-suff u-suff !enc0,_,uw',,,,,
159,151,,MORPH,[IVBuff],Buffer,uw&,uw&/STEM,MSA,,,#-uw' z-suff u-suff enc0,_,uw',,,,,
160,152,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' else,_,uw',,,,,
161,153,,MORPH,[IVBuff],Buffer,i},i}/STEM,MSA,,,#-iy' c-suff,_,i},,,,,
162,154,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' else,_,iy},,,,,
163,155,,MORPH,[IVBuff],Buffer,iy',iy'/STEM,MSA,,,#-iy' z-suff !enc0,_,iy',,,,,
164,156,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' z-suff enc0,_,iy',,,,,
165,157,,MORPH,[IVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy else,_,iy,,,,,
166,158,,MORPH,[IVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy c-suff else,_,iy,,,,,
167,159,,MORPH,[IVBuff],Buffer,}i,}i/STEM,MSA,,,#-}iy c-suff z-suff,_,iy,,,,,
168,160,,MORPH,[IVBuff],Buffer,},}/STEM,MSA,,,#-}iy y-suff,_,iy,,,,,
169,161,,MORPH,[IVBuff],Buffer,&,&/STEM,MSA,,,#-}iy w-suff,_,_,,,,,
170,162,,MORPH,[IVBuff],Buffer,>ay,>ay/STEM,MSA,,,#->ay else,_,ay,,,,تريان,
171,163,,MORPH,[IVBuff],Buffer,>,>/STEM,MSA,,,#->ay w-suff||y-suff,_,_,,,,ترون ترين,
172,164,,MORPH,[IVBuff],Buffer,>a,>a/STEM,MSA,,,#->ay z-suff c-suff,_,a,,,,ترَ,
173,165,,MORPH,[IVBuff],Buffer,>aY,>aY/STEM,MSA,,,#->ay z-suff v-suff !enc0,_,aY,,,,ترى,
174,166,,MORPH,[IVBuff],Buffer,|,|/STEM,MSA,,,#->ay z-suff v-suff enc0,_,aY,,,,تراه,
175,167,,MORPH,[IVBuff],Buffer,_,_,MSA,,,else,_,_,,,,,
176,Imperfective Verb Suffixes - Indicative Mood,,,,,,,,,,,,,,,,,
177,168,,MORPH,[IVSuff.I.1P],IVSuff.1P,u,u/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,else,v-suff u-suff z-suff,u,,,,نكتب,
178,169,,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,,,,"نرا، نرى, ندعو, نرمي",
179,170,,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,,,,نرمي,
180,171,,MORPH,[IVSuff.I.1S],IVSuff.1S,u,u/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,else,v-suff u-suff z-suff,u,,,,أكتب,
181,172,,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,,,,أراه، أرى,
182,173,,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,,,,أرمي,
183,174,,MORPH,[IVSuff.I.2D],IVSuff.2D,Ani,Ani/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,else,v-suff A-suff #^i,Ani,,,,تكتبان,
184,175,,MORPH,[IVSuff.I.2D],IVSuff.2D,ni,ni/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,#-a>,v-suff A-suff #^i,ni,,,,تقرآن,
185,176,,MORPH,[IVSuff.I.2FP],IVSuff.2FP,na,na/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,else,c-suff,na,,,,تكتبن,
186,177,,MORPH,[IVSuff.I.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,#n,c-suff,~a,,,,تسكنّ,
187,178,,MORPH,[IVSuff.I.2FS],IVSuff.2FS,iyna,iyna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,else,v-suff y-suff,iyna,,,,تكتبين,
