,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
12,13,{ino1a2a3,*.E.r,c+nt.c+nt.c-nt,{ino1a2a3,{ino1a2a3,LEXICON,[STEM-PV],{ino*aEar,{ino*aEar,PV,panic,pos:verb asp:p vox:a mod:i,,trans,,
13,14,1a2a3,*.E.r,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*aEar-a,*aEar,PV,frighten,pos:verb asp:p vox:a mod:i,,trans,,
14,15,1a2a3,*.E.r,c+nt.c+nt.c-nt,1a2i3-a,1a2i3,LEXICON,[STEM-PV],*aEir-a,*aEir,PV,be_frightened,pos:verb asp:p vox:a mod:i,,intrans,,
15,16,>a1o2a3,*.E.r,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*oEar,>a*oEar,PV,frighten,pos:verb asp:p vox:a mod:i,,trans,,
16,17,ta1a2~3,*.E.r,c+nt.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*aE~ar,ta*aE~ar,PV,panic,pos:verb asp:p vox:a mod:i,,trans,,
17,18,1a2~a3,*.h.b,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*ah~ab,*ah~ab,PV,gild,pos:verb asp:p vox:a mod:i,,trans,,
18,19,1a2a3,*.h.b,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*ahab-a,*ahab,PV,go;depart;take_(with),pos:verb asp:p vox:a mod:i,,trans,,
19,20,>a1o2a3,*.h.b,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*ohab,>a*ohab,PV,remove;eliminate,pos:verb asp:p vox:a mod:i,,trans,,
20,21,{ino1a2a3,*.h.l,c+nt.c+nt.c-nt,{ino1a2a3,{ino1a2a3,LEXICON,[STEM-PV],{ino*ahal,{ino*ahal,PV,be_stunned;be_dazed;overlook,pos:verb asp:p vox:a mod:i,,intrans,,
21,22,1a2a3,*.h.l,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*ahal-a,*ahal,PV,be_stunned;be_dazed;overlook,pos:verb asp:p vox:a mod:i,,intrans,,
22,23,>a1o2a3,*.h.l,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*ohal,>a*ohal,PV,baffle;distract,pos:verb asp:p vox:a mod:i,,trans,,
23,24,ta1A2a3,*.h.l,c+nt.c+nt.c-nt,ta1A2a3,ta1A2a3,LEXICON,[STEM-PV],ta*Ahal,ta*Ahal,PV,feign_forgetfulness,pos:verb asp:p vox:a mod:i,,trans,,
24,25,{isota1o2a3,*.k.r,c+nt.c+nt.c-nt,{isota1o2a3,{isota1o2a3,LEXICON,[STEM-PV],{isota*okar,{isota*okar,PV,memorize;recall,pos:verb asp:p vox:a mod:i,,trans,,
25,26,1a2~a3,*.k.r,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*ak~ar,*ak~ar,PV,remind,pos:verb asp:p vox:a mod:i,,trans,,
26,27,1A2a3,*.k.r,c+nt.c+nt.c-nt,1A2a3,1A2a3,LEXICON,[STEM-PV],*Akar,*Akar,PV,negotiate,pos:verb asp:p vox:a mod:i,,trans,,
27,28,1a2a3,*.k.r,c+nt.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],*akar-u,*akar,PV,mention;cite;remember,pos:verb asp:p vox:a mod:i,,trans,,
28,29,>a1o2a3,*.k.r,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*okar,>a*okar,PV,remind,pos:verb asp:p vox:a mod:i,,trans,,
29,30,ta1a2~3,*.k.r,c+nt.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*ak~ar,ta*ak~ar,PV,remember,pos:verb asp:p vox:a mod:i,,trans,,
30,31,ta1A2a3,*.k.r,c+nt.c+nt.c-nt,ta1A2a3,ta1A2a3,LEXICON,[STEM-PV],ta*Akar,ta*Akar,PV,remind_mutually;confer,pos:verb asp:p vox:a mod:i,,trans,,
31,32,1a2a3,*.k.w,c+nt.c+nt.w,1a2A-u,1a2,LEXICON,[STEM-PV],*akA-u,*ak,PV,flare_up;blaze,pos:verb asp:p vox:a mod:i,,#-aw defective trans,,
32,33,{isota1o2a3,*.k.y,c+nt.c+nt.y,{isota1o2aY,{isota1o2,LEXICON,[STEM-PV],{isota*okaY,{isota*ok,PV,flare_up;blaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
33,34,1a2~a3,*.k.y,c+nt.c+nt.y,1a2~aY,1a2~,LEXICON,[STEM-PV],*ak~aY,*ak~,PV,kindle;set_ablaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
34,35,1a2a3,*.k.y,c+nt.c+nt.y,1a2i3-a,1a2,LEXICON,[STEM-PV],*akiy-a,*ak,PV,be_sharp-witted,pos:verb asp:p vox:a mod:i,,#-iy defective intrans,,
35,36,>a1o2a3,*.k.y,c+nt.c+nt.y,>a1o2aY,>a1o2,LEXICON,[STEM-PV],>a*okaY,>a*ok,PV,kindle;make_blaze,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
36,37,{isota1o2a3,*.l.l,c+nt.c+nt.2,{isota1a2~,{isota1a2~,LEXICON,[STEM-PV],{isota*al~,{isota*al~,PV,deride;disparage,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
37,38,{isota1o2a3,*.l.l,c+nt.c+nt.2,{isota1a2~,{isota1o2a3,LEXICON,[STEM-PV],{isota*al~,{isota*olal,PV,deride;disparage,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
38,39,1a2~a3,*.l.l,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*al~al,*al~al,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,,trans,,
39,40,>a1o2a3,*.l.l,c+nt.c+nt.2,>a1a2~,>a1o2a3,LEXICON,[STEM-PV],>a*al~,>a*olal,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
40,41,>a1o2a3,*.l.l,c+nt.c+nt.2,>a1a2~,>a1a2~,LEXICON,[STEM-PV],>a*al~,>a*al~,PV,degrade;subdue,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
41,42,ta1a2~3,*.l.l,c+nt.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*al~al,ta*al~al,PV,be_humble;be_obsequious,pos:verb asp:p vox:a mod:i,,intrans,,
42,43,1a2a3,*.m.m,c+nt.c+nt.2,1a2~-u,1a2~,LEXICON,[STEM-PV],*am~-u,*am~,PV,blame;criticize,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
43,44,1a2a3,*.m.m,c+nt.c+nt.2,1a2~-u,1a2a3,LEXICON,[STEM-PV],*am~-u,*amam,PV,blame;criticize,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
44,45,1a2~a3,*.m.m,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*am~am,*am~am,PV,rebuke;censure,pos:verb asp:p vox:a mod:i,,trans,,
45,46,ta1a2~3,*.m.r,c+nt.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*am~ar,ta*am~ar,PV,grumble;complain,pos:verb asp:p vox:a mod:i,,trans,,
46,47,1a2a3,*.m.y,c+nt.c+nt.y,1a2i3-a,1a2,LEXICON,[STEM-PV],*amiy-a,*am,PV,be_near_death,pos:verb asp:p vox:a mod:i,,#-iy defective intrans,,
47,48,{isota1o2a3,*.n.b,c+nt.c+nt.c-nt,{isota1o2a3,{isota1o2a3,LEXICON,[STEM-PV],{isota*onab,{isota*onab,PV,find/declare_guilty;incriminate,pos:verb asp:p vox:a mod:i,,trans,,
48,49,>a1o2a3,*.n.b,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*onab,>a*onab,PV,do_wrong;commit_an_offense;be_guilty,pos:verb asp:p vox:a mod:i,,trans,,
49,50,1a2a3,*.r.>,c+nt.c+nt.>,1a2a3-a,1a2,LEXICON,[STEM-PV],*ara>-a,*ar,PV,create;sow;seed,pos:verb asp:p vox:a mod:i,,#-a> trans,,
50,51,1a2a3,*.r.b,c+nt.c+nt.c-nt,1a2i3-a,1a2i3,LEXICON,[STEM-PV],*arib-a,*arib,PV,be_sharp;be_cutting,pos:verb asp:p vox:a mod:i,,intrans,,
51,52,{ino1a2a3,*.r.E,c+nt.c+nt.c-nt,{ino1a2a3,{ino1a2a3,LEXICON,[STEM-PV],{ino*araE,{ino*araE,PV,advance;intervene,pos:verb asp:p vox:a mod:i,,trans,,
52,53,1a2a3,*.r.E,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*araE-a,*araE,PV,measure,pos:verb asp:p vox:a mod:i,,trans,,
53,54,ta1a2~3,*.r.E,c+nt.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*ar~aE,ta*ar~aE,PV,employ;apply,pos:verb asp:p vox:a mod:i,,trans,,
54,55,{isota1o2a3,*.r.f,c+nt.c+nt.c-nt,{isota1o2a3,{isota1o2a3,LEXICON,[STEM-PV],{isota*oraf,{isota*oraf,PV,let_flow;shed,pos:verb asp:p vox:a mod:i,,trans,,
55,56,1a2~a3,*.r.f,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*ar~af,*ar~af,PV,exceed,pos:verb asp:p vox:a mod:i,,trans,,
56,57,1a2a3,*.r.f,c+nt.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],*araf-i,*araf,PV,flow;shed,pos:verb asp:p vox:a mod:i,,trans,,
57,58,1a2a3,*.r.q,c+nt.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],*araq-i,*araq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
58,59,1a2a3,*.r.q,c+nt.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],*araq-u,*araq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
59,60,>a1o2a3,*.r.q,c+nt.c+nt.c-nt,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*oraq,>a*oraq,PV,drop_excrement_(bird),pos:verb asp:p vox:a mod:i,,trans,,
60,61,1a2a3,*.r.r,c+nt.c+nt.2,1a2~-u,1a2~,LEXICON,[STEM-PV],*ar~-u,*ar~,PV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
61,62,1a2a3,*.r.r,c+nt.c+nt.2,1a2~-u,1a2a3,LEXICON,[STEM-PV],*ar~-u,*arar,PV,rise;emerge;scatter;spread;sprinkle,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
62,63,1a2a3,*.r.w,c+nt.c+nt.w,1a2A-u,1a2,LEXICON,[STEM-PV],*arA-u,*ar,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-aw defective trans,,
63,64,{isota1o2a3,*.r.y,c+nt.c+nt.y,{isota1o2aY,{isota1o2,LEXICON,[STEM-PV],{isota*oraY,{isota*or,PV,take_refuge,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
64,65,1a2~a3,*.r.y,c+nt.c+nt.y,1a2~aY,1a2~,LEXICON,[STEM-PV],*ar~aY,*ar~,PV,disperse;scatter;atomize,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
65,66,1a2a3,*.r.y,c+nt.c+nt.y,1a2aY-i,1a2,LEXICON,[STEM-PV],*araY-i,*ar,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
66,67,>a1o2a3,*.r.y,c+nt.c+nt.y,>a1o2aY,>a1o2,LEXICON,[STEM-PV],>a*oraY,>a*or,PV,disperse;scatter,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
67,68,ta1a2~3,*.r.y,c+nt.c+nt.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-PV],ta*ar~aY,ta*ar~,PV,climb;take_refuge,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
68,69,1a2a3,*.w.b,c+nt.w.c-nt,1A3-u,1u3,LEXICON,[STEM-PV],*Ab-u,*ub,PV,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:a mod:i,c-suff,hollow intrans,,
69,70,1a2a3,*.w.b,c+nt.w.c-nt,1A3-u,1A3,LEXICON,[STEM-PV],*Ab-u,*Ab,PV,be_dissolved;be_melted;dwindle,pos:verb asp:p vox:a mod:i,v-suff,hollow intrans,,
70,71,1a2~a3,*.w.b,c+nt.w.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*aw~ab,*aw~ab,PV,dissolve;liquify;melt,pos:verb asp:p vox:a mod:i,,trans,,
71,72,>a1o2a3,*.w.b,c+nt.w.c-nt,>a1A3,>a1a3,LEXICON,[STEM-PV],>a*Ab,>a*ab,PV,dissolve;melt;exhaust;consume,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
72,73,>a1o2a3,*.w.b,c+nt.w.c-nt,>a1A3,>a1A3,LEXICON,[STEM-PV],>a*Ab,>a*Ab,PV,dissolve;melt;exhaust;consume,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
73,74,1a2a3,*.w.d,c+nt.w.c-nt,1A3-u,1u3,LEXICON,[STEM-PV],*Ad-u,*ud,PV,scatter;remove;defend,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
74,75,1a2a3,*.w.d,c+nt.w.c-nt,1A3-u,1A3,LEXICON,[STEM-PV],*Ad-u,*Ad,PV,scatter;remove;defend,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
75,76,1a2a3,*.w.q,c+nt.w.c-nt,1A3-u,1u3,LEXICON,[STEM-PV],*Aq-u,*uq,PV,taste;sample;experience,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
76,77,1a2a3,*.w.q,c+nt.w.c-nt,1A3-u,1A3,LEXICON,[STEM-PV],*Aq-u,*Aq,PV,taste;sample;experience,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
77,78,>a1o2a3,*.w.q,c+nt.w.c-nt,>a1A3,>a1a3,LEXICON,[STEM-PV],>a*Aq,>a*aq,PV,make_taste;make_sample;make_experience,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
78,79,>a1o2a3,*.w.q,c+nt.w.c-nt,>a1A3,>a1A3,LEXICON,[STEM-PV],>a*Aq,>a*Aq,PV,make_taste;make_sample;make_experience,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
79,80,ta1a2~3,*.w.q,c+nt.w.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta*aw~aq,ta*aw~aq,PV,perceive;taste,pos:verb asp:p vox:a mod:i,,trans,,
80,81,1a2a3,*.w.y,c+nt.w.y,1a2aY-i,1a2,LEXICON,[STEM-PV],*awaY-i,*aw,PV,wither;fade,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
81,82,1a2a3,*.w.y,c+nt.w.y,1a2i3-i,1a2,LEXICON,[STEM-PV],*awiy-i,*aw,PV,wither;fade,pos:verb asp:p vox:a mod:i,,#-iy defective intrans,,
82,83,>a1o2a3,*.w.y,c+nt.w.y,>a1o2aY,>a1o2,LEXICON,[STEM-PV],>a*owaY,>a*ow,PV,make_wilt;make_dry,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
83,84,1a2a3,*.x.r,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*axar-a,*axar,PV,preserve;store,pos:verb asp:p vox:a mod:i,,trans,,
84,85,1a2a3,*.y.E,c+nt.y.c-nt,1A3-i,1A3,LEXICON,[STEM-PV],*AE-i,*AE,PV,spread;circulate;become_public,pos:verb asp:p vox:a mod:i,v-suff,hollow intrans,,
85,86,1a2a3,*.y.E,c+nt.y.c-nt,1A3-i,1i3,LEXICON,[STEM-PV],*AE-i,*iE,PV,spread;circulate;become_public,pos:verb asp:p vox:a mod:i,c-suff,hollow intrans,,
86,87,>a1o2a3,*.y.E,c+nt.y.c-nt,>a1A3,>a1a3,LEXICON,[STEM-PV],>a*AE,>a*aE,PV,broadcast;propagate,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
87,88,>a1o2a3,*.y.E,c+nt.y.c-nt,>a1A3,>a1A3,LEXICON,[STEM-PV],>a*AE,>a*AE,PV,broadcast;propagate,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
88,89,1a2~a3,*.y.l,c+nt.y.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*ay~al,*ay~al,PV,supplement;append,pos:verb asp:p vox:a mod:i,,trans,,
89,90,>a1o2a3,*.y.l,c+nt.y.c-nt,>a1A3,>a1a3,LEXICON,[STEM-PV],>a*Al,>a*al,PV,trample;degrade,pos:verb asp:p vox:a mod:i,c-suff,hollow trans,,
90,91,>a1o2a3,*.y.l,c+nt.y.c-nt,>a1A3,>a1A3,LEXICON,[STEM-PV],>a*Al,>a*Al,PV,trample;degrade,pos:verb asp:p vox:a mod:i,v-suff,hollow trans,,
91,92,{isota1o2a3,>.*.n,>.c+nt.n,{isota1o2a3,{isota1o2a3,LEXICON,[STEM-PV],{isota>o*an,{isota>o*an,PV,request_authorization,pos:verb asp:p vox:a mod:i,,#n trans,,
92,93,1a2~a3,>.*.n,>.c+nt.n,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>a*~an,>a*~an,PV,announce;foresee,pos:verb asp:p vox:a mod:i,,#n trans,,
93,94,1a2a3,>.*.n,>.c+nt.n,1a2i3-a,1a2i3,LEXICON,[STEM-PV],>a*in-a,>a*in,PV,authorize;listen,pos:verb asp:p vox:a mod:i,,#n trans,,
94,95,1A2a3,>.*.n,|.c+nt.n,12a3,12a3,LEXICON,[STEM-PV],|*an,|*an,PV,announce;warn,pos:verb asp:p vox:a mod:i,,#n trans,,
95,96,ta1a2~3,>.*.n,>.c+nt.n,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta>a*~an,ta>a*~an,PV,be_informed;learn,pos:verb asp:p vox:a mod:i,,#n intrans,,
96,97,1a2a3,>.*.y,>.c+nt.y,1a2i3-a,1a2,LEXICON,[STEM-PV],>a*iy-a,>a*,PV,suffer_damage,pos:verb asp:p vox:a mod:i,,#-iy defective trans,,
97,98,1A2a3,>.*.y,|.c+nt.y,12aY,12,LEXICON,[STEM-PV],|*aY,|*,PV,injure;prejudice,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
98,99,ta1a2~3,>.*.y,>.c+nt.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-PV],ta>a*~aY,ta>a*~,PV,be_injured;be_offended,pos:verb asp:p vox:a mod:i,,#-ay defective intrans,,
99,100,1a2~a3,>.$.b,>.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>a$~ab,>a$~ab,PV,alloy,pos:verb asp:p vox:a mod:i,,trans,,
100,101,1a2a3,>.$.b,>.c+nt.c-nt,1a2i3-a,1a2i3,LEXICON,[STEM-PV],>a$ib-a,>a$ib,PV,make_an_alloy,pos:verb asp:p vox:a mod:i,,trans,,
101,102,ta1a2~3,>.$.b,>.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta>a$~ab,ta>a$~ab,PV,be_mixed;be_heterogeneous,pos:verb asp:p vox:a mod:i,,intrans,,
102,103,1a2~a3,>.$.r,>.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>a$~ar,>a$~ar,PV,indicate;register,pos:verb asp:p vox:a mod:i,,trans,,
103,104,1a2a3,>.$.r,>.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],>a$ar-i,>a$ar,PV,sharpen;file,pos:verb asp:p vox:a mod:i,,trans,,
104,105,1a2a3,>.$.r,>.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],>a$ar-u,>a$ar,PV,cut_with_a_saw,pos:verb asp:p vox:a mod:i,,trans,,
105,106,1a2a3,>.b.b,>.c+nt.2,1a2~-i,1a2a3,LEXICON,[STEM-PV],>ab~-i,>abab,PV,desire;aspire,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
106,107,1a2a3,>.b.b,>.c+nt.2,1a2~-i,1a2~,LEXICON,[STEM-PV],>ab~-i,>ab~,PV,desire;aspire,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
107,108,1a2a3,>.b.b,>.c+nt.2,1a2~-u,1a2a3,LEXICON,[STEM-PV],>ab~-u,>abab,PV,desire;aspire,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
108,109,1a2a3,>.b.b,>.c+nt.2,1a2~-u,1a2~,LEXICON,[STEM-PV],>ab~-u,>ab~,PV,desire;aspire,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
109,110,1a2~a3,>.b.d,>.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>ab~ad,>ab~ad,PV,perpetuate;immortalize,pos:verb asp:p vox:a mod:i,,trans,,
110,111,1a2a3,>.b.d,>.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],>abad-i,>abad,PV,be_untamed;escape;persist;remain;stay,pos:verb asp:p vox:a mod:i,,trans,,
111,112,1a2a3,>.b.d,>.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],>abad-u,>abad,PV,be_untamed;escape,pos:verb asp:p vox:a mod:i,,trans,,
112,113,ta1a2~3,>.b.d,>.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta>ab~ad,ta>ab~ad,PV,self-perpetuate;self-immortalize,pos:verb asp:p vox:a mod:i,,trans,,
113,114,1a2a3,>.b.h,>.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],>abah-a,>abah,PV,be_interested;be_sensitive,pos:verb asp:p vox:a mod:i,,trans,,
114,115,1a2a3,>.b.h,>.c+nt.c-nt,1a2i3-a,1a2i3,LEXICON,[STEM-PV],>abih-a,>abih,PV,be_interested;be_sensitive,pos:verb asp:p vox:a mod:i,,trans,,
115,116,ta1a2~3,>.b.h,>.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta>ab~ah,ta>ab~ah,PV,be_haughty;be_aloof,pos:verb asp:p vox:a mod:i,,intrans,,
116,117,1a2~a3,>.b.n,>.c+nt.n,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>ab~an,>ab~an,PV,eulogize,pos:verb asp:p vox:a mod:i,,#n trans,,
117,118,1a2a3,>.b.q,>.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],>abaq-i,>abaq,PV,escape;flee,pos:verb asp:p vox:a mod:i,,trans,,
118,119,1a2a3,>.b.q,>.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],>abaq-u,>abaq,PV,escape;flee,pos:verb asp:p vox:a mod:i,,trans,,
119,120,1a2~a3,>.b.r,>.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],>ab~ar,>ab~ar,PV,practice_acupuncture;pollinate,pos:verb asp:p vox:a mod:i,,trans,,
120,121,1a2a3,>.b.r,>.c+nt.c-nt,1a2a3-i,1a2a3,LEXICON,[STEM-PV],>abar-i,>abar,PV,sting;pollinate,pos:verb asp:p vox:a mod:i,,trans,,
121,122,1a2a3,>.b.r,>.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],>abar-u,>abar,PV,sting;pollinate,pos:verb asp:p vox:a mod:i,,trans,,
122,123,ta1a2~3,>.b.T,>.c+nt.c-nt,ta1a2~a3,ta1a2~a3,LEXICON,[STEM-PV],ta>ab~aT,ta>ab~aT,PV,put/carry_under_the_arm,pos:verb asp:p vox:a mod:i,,trans,,
123,124,1a2a3,>.b.y,>.c+nt.y,1a2aY-a,1a2,LEXICON,[STEM-PV],>abaY-a,>ab,PV,deny;refuse,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
124,125,ta1a2~3,>.b.y,>.c+nt.y,ta1a2~aY,ta1a2~,LEXICON,[STEM-PV],ta>ab~aY,ta>ab~,PV,decline,pos:verb asp:p vox:a mod:i,,#-ay defective trans,,
