,NUM_ID,ID,STEM_MASK,LEMMA,FORM,POS,COND-T,GEN,NUM,SIGNATURE,QC,COMMENTS,NOUN,ADJ,ADJ_COMP
12,13,BP15,stem:0-1,خَلِيفَة,[خَلِيف]-[خَلائِف],noun,[FS||FD]-[MS],[m]-[m],[-]-[p],[FS||FD]-[MS] [m]-[m] [-]-[p] stem:0-1,OK,,2,0,0
13,14,BP16,stem:0,نِساء,[نِسا],noun,[MS],[f],[p],[MS] [f] [p] stem:0,OK~,Most lemmas in this class should not be in it,20,0,0
14,15,BP17,stem:0,ٱِمْرَأَة,[ٱِمْرَأ],noun,[FS||FD],[-],[-],[FS||FD] [-] [-] stem:0,OK~,Most lemmas in this class should not be in it,35,0,0
15,16,BP18,stem:0,مَجَلَّة,[مَجَلّ],noun,[FS||FD||FP],[-],[-],[FS||FD||FP] [-] [-] stem:0,OK,,4298,0,0
16,17,BP20,stem:0-1,ذَبِيحَة,[ذَبِيح]-[ذَبائِح],noun,[FS||FD]-[MS],[-]-[f],[-]-[p],[FS||FD]-[MS] [-]-[f] [-]-[p] stem:0-1,OK,,1620,0,0
17,18,BP21,stem:0-1,فَرْحَة,[فَرْح]-[فَرَح],noun,[FS||FD]-[FP],[-]-[f],[-]-[p],[FS||FD]-[FP] [-]-[f] [-]-[p] stem:0-1,OK,,336,0,0
18,19,BP22,stem:0,مَسْؤُول,[مَسْؤُول],noun,[MS||MD||MP||FS||FD||FP],[-],[-],[MS||MD||MP||FS||FD||FP] [-] [-] stem:0,OK,,2572,6245,0
19,20,BP23,stem:0-0,بْرُوفِيسُور,[بْرُوفِيسُور]-[بْرُوفِيسُور],noun,[MS||MD||FS||FD||FP]-[FP],[-]-[m],[-]-[p],[MS||MD||FS||FD||FP]-[FP] [-]-[m] [-]-[p] stem:0-0,OK,,16,0,0
20,21,BP24,stem:0-1,رَئِيس,[رَئِيس]-[رُؤَسا],noun,[MS||MD||FS||FD||FP]-[MS],[-]-[m],[-]-[p],[MS||MD||FS||FD||FP]-[MS] [-]-[m] [-]-[p] stem:0-1,OK,,154,18,0
21,22,BP25,stem:0-1,سَيِّد,[سَيِّد]-[ساد],noun,[MS||MD||FS||FD||FP]-[FS],[-]-[m],[-]-[p],[MS||MD||FS||FD||FP]-[FS] [-]-[m] [-]-[p] stem:0-1,OK,,34,4,0
22,23,BP26,stem:0-1-2,أَحْمَر,[أَحْمَر]-[حُمْر]-[حَمْرا],noun,[MS||MD]-[MS]-[MS||MD||FP],[-]-[m]-[f],[-]-[p]-[-],[MS||MD]-[MS]-[MS||MD||FP] [-]-[m]-[f] [-]-[p]-[-] stem:0-1-2,OK,,6,450,24
23,24,BP27,stem:0-1,حَرِيق,[إِنْسان]-[أُناس],noun,[MS||MD||FS||FD]-[MS],[-]-[m],[-]-[p],[MS||MD||FS||FD]-[MS] [-]-[m] [-]-[p] stem:0-1,OK,,12,6,0
24,25,BP28,stem:0,ليرا,[لِير],noun,[MS||FD||FP],[f],[-],[MS||FD||FP] [f] [-] stem:0,OK:f,Only for foreign words,154,0,0
25,26,BP29,stem:0,مَعْلُوماتِيّات,[مَعْلُوماتِيّ],noun,[FP],[-],[-],[FP] [-] [-] stem:0,OK,Most lemmas in this class should not be in it,185,0,0
26,27,BP30,stem:0,تَحْت,[تَحْت],noun,[MS],[-],[-],[MS] [-] [-] stem:0,OK,,31,2,0
27,28,BP31,stem:0,أَوْزاع,[أَوْزاع],noun,[MS],[m],[p],[MS] [m] [p] stem:0,OK,,49,0,0
28,29,BP35,stem:0-0,رَحَّالَة,[رَحَّال]-[رَحَّال],noun,[FS||FD]-[FS],[m]-[m],[-]-[p],[FS||FD]-[FS] [m]-[m] [-]-[p] stem:0-0,OK,,2,0,0
29,30,BP32,stem:0,عِشْرُون,[عِشْر],noun,[MP],[-],[s],[MP] [-] [s] stem:0,OK~,,8,0,0
30,31,,stem:0,ناس,[ناس],noun,[MS],[m],[p],[MS] [m] [p] stem:0,OK~,,49,0,0
31,32,,stem:0,نِسْوة,[نِسْو],noun,[FS],[f],[p],[FS] [f] [p] stem:0,OK~,,1,0,0
32,33,,stem:0-0-1,بُشْرى,[بُشْر]-[بُشْر]-[تَبَاشير],noun,[MS||MD||FP]-[MS]-[MS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD||FP]-[MS]-[MS] [f]-[f]-[f] [-]-[p]-[p] stem:0-0-1,OK~,,3,0,0
33,34,,stem:0-0-1,نابِغَة,[نابِغ]-[نابِغ]-[نَوابِغ],noun,[FS||FD||FP]-[FS||FD]-[MS],[-]-[m]-[m],[-]-[-]-[p],[FS||FD||FP]-[FS||FD]-[MS] [-]-[m]-[m] [-]-[-]-[p] stem:0-0-1,OK~,,6,0,0
34,35,,stem:0-1-2-3-4,حَبِيب,[حَبِيب]-[حَبائِب]-[أَحِبّا]-[أَحْباب]-[أَحِبّ],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,5,5,0
35,36,,stem:0-1-2-3-4,جَحْش,[جَحْش]-[جُحُوش]-[جِحاش]-[جِحْشان]-[أَجْحاش],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS]-[MS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS]-[MS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,10,0,0
36,37,,stem:0-1-2,مِلْح,[مِلْح]-[مِلاح]-[أَمْلاح],noun,[MS||MD||FS||FD]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,0,3,0
37,38,,stem:0-1-2,مِلْح,[مِلْح]-[مِلاح]-[أَمْلاح],noun,[MS||MD||FS||FD]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,0,3,0
38,39,,stem:0-1-1,أرْمَل,[أرْمَل]-[أرَامِل]-[أرَامِل],noun,[MS||MD||FS||FD]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,3,0,0
39,40,,stem:0-1-2,نَظِير,[نَظِير]-[نَظائِر]-[نُظَرا],noun,[MS||MD||FS||FD||FP]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,93,6,0
40,41,,stem:0-1-2,طَبِيب,[طَبِيب]-[أَطِبّا]-[أَطِبّ],noun,[MS||MD||FS||FD||FP]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,57,3,0
41,42,,stem:0-1-0,نُوتِيّ,[نُوتِيّ]-[نَواتِيّ]-[نُوتِيّ],noun,[MS||MD||FS||FD||FP]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-0,OK+,,3,0,0
42,43,,stem:0-1-2-3,أَسِير,[أَسِير]-[أَسار]-[أَسْر]-[أُسَرا],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[MS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,20,0,0
43,44,,stem:0-1-2-1,قُرْسان,[قُرْسان]-[قَراسِن]-[قَراسِين]-[قَراسِن],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-1,OK+,,8,0,0
44,45,,stem:0-1-2-3,عَدُوّ,[عَدُوّ]-[عُدا]-[أَعدا]-[أَعاد],noun,[MS||MD||FS||FD||FP]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD||FS||FD||FP]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,12,0,0
45,46,,stem:0-1,مَوْضُوع,[مَوْضُوع]-[مَواضِيع],noun,[MS||MD||FP]-[MS],[m]-[m],[-]-[p],[MS||MD||FP]-[MS] [m]-[m] [-]-[p] stem:0-1,OK+,,204,0,0
46,47,,stem:0-1,جَواب,[جَواب]-[أَجْوِب],noun,[MS||MD||FP]-[FS],[m]-[m],[-]-[p],[MS||MD||FP]-[FS] [m]-[m] [-]-[p] stem:0-1,OK+,,32,0,0
47,48,,stem:0-1,سَماء,[سَما]-[سَمَ],noun,[MS||MD||FP]-[FP],[f]-[f],[-]-[p],[MS||MD||FP]-[FP] [f]-[f] [-]-[p] stem:0-1,OK+,,2,0,0
48,49,,stem:0-1,حامِل,[حامِل]-[حَوامِل],noun,[MS||MD||FP]-[MS],[f]-[f],[-]-[p],[MS||MD||FP]-[MS] [f]-[f] [-]-[p] stem:0-1,OK+,,6,4,0
49,50,,stem:0-1-2-3-1,سِوار,[سِوار]-[سُور]-[أساوِر]-[أساوِر]-[أسوِر],noun,[MS||MD||FP]-[MS]-[MS]-[FS]-[FS],[m]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD||FP]-[MS]-[MS]-[FS]-[FS] [m]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-1,OK+,,5,0,0
50,51,,stem:0-1-1,إِسْوار,[إِسْوار]-[أَساوِر]-[أَساوِر],noun,[MS||MD||FP]-[MS]-[FS],[m]-[m]-[m],[-]-[p]-[p],[MS||MD||FP]-[MS]-[FS] [m]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,9,0,0
51,52,,stem:0-1-2,هِلال,[هِلال]-[أَهالِيل]-[أَهِلّ],noun,[MS||MD||FP]-[MS]-[FS],[m]-[m]-[m],[-]-[p]-[p],[MS||MD||FP]-[MS]-[FS] [m]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,33,0,0
52,53,,stem:0-1-2,رِكاب,[رِكاب]-[رَكائِب]-[رُكُب],noun,[MS||MD||FP]-[MS]-[MS],[m]-[m]-[m],[-]-[p]-[p],[MS||MD||FP]-[MS]-[MS] [m]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,18,0,0
53,54,,stem:0-1-2,عاقِر,[عاقِر]-[عَواقِر]-[عُقَّر],noun,[MS||MD||FP]-[MS]-[MS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD||FP]-[MS]-[MS] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,9,0,0
54,55,,stem:0-1,ذُرِّيَّة,[ذُرِّيّ]-[ذَرارِيّ],noun,[FS||FD||FP]-[MS],[-]-[f],[-]-[p],[FS||FD||FP]-[MS] [-]-[f] [-]-[p] stem:0-1,OK+,,670,0,0
55,56,,stem:0-1,بَلاطَة,[بَلاط]-[أَبْلِط],noun,[FS||FD||FP]-[FS],[-]-[f],[-]-[p],[FS||FD||FP]-[FS] [-]-[f] [-]-[p] stem:0-1,OK+,,4,0,0
56,57,,stem:0-0,نَماة,[نَم]-[نَم],noun,[FS||FD||FP]-[MS],[-]-[f],[-]-[p],[FS||FD||FP]-[MS] [-]-[f] [-]-[p] stem:0-0,OK+,,24,0,0
57,58,,stem:0-1,أَكْلَة,[أَكْل]-[أَكَل],noun,[FS||FD||FP]-[FP],[-]-[f],[-]-[p],[FS||FD||FP]-[FP] [-]-[f] [-]-[p] stem:0-1,OK+,,76,0,0
58,59,,stem:0-1-2,أَلْيَة,[أَلْي]-[ألاي]-[أَلَي],noun,[FS||FD||FP]-[MS]-[FP],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[MS]-[FP] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,6,0,0
59,60,,stem:0-1-2,خَيْمَة,[خَيْم]-[خِيام]-[خِيَم],noun,[FS||FD||FP]-[MS]-[MS],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[MS]-[MS] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,69,0,0
60,61,,stem:0-0-1,نواة,[نَو]-[نَو]-[أنْويَة],noun,[FS||FD||FP]-[MS]-[FS],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[MS]-[FS] [-]-[f]-[f] [-]-[p]-[p] stem:0-0-1,OK+,,3,0,0
61,62,,stem:0-0-1,ثُكْنَة,[ثُكْن]-[ثُكْن]-[ثُكَن],noun,[FS||FD||FP]-[MS]-[MS],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[MS]-[MS] [-]-[f]-[f] [-]-[p]-[p] stem:0-0-1,OK+,,3,0,0
62,63,,stem:0-1-2-3,قُنَّة,[قُنَّ]-[قُنَن]-[قُنون]-[قِنان],noun,[FS||FD||FP]-[MS]-[MS]-[MS],[-]-[f]-[f]-[f],[-]-[p]-[p]-[p],[FS||FD||FP]-[MS]-[MS]-[MS] [-]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,28,0,0
63,64,,stem:0-1-2-3,قُنَّة,[قُنَّ]-[قُنَن]-[قُنون]-[قِنان],noun,[FS||FD||FP]-[MS]-[MS]-[MS],[-]-[f]-[f]-[f],[-]-[p]-[p]-[p],[FS||FD||FP]-[MS]-[MS]-[MS] [-]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,28,0,0
64,65,,stem:0-1-2,حَسْوَة,[حَسْو]-[أَحْسِي]-[حَسَو],noun,[FS||FD||FP]-[FS]-[FP],[-]-[f]-[f],[-]-[p]-[p],[FS||FD||FP]-[FS]-[FP] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,3,0,0
65,66,,stem:0-1-2,بَلَد,[بَلَد]-[بِلاد]-[بُلْدان],noun,[MS||MD]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,768,0,0
66,67,,stem:0-1-1,فَحْوَى,[فَحْو]-[فَحاو]-[فَحاو],noun,[MS||MD]-[MS]-[MS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[MS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,6,0,0
67,68,,stem:0-1-2,إِمام,[إِمام]-[أئمّ]-[أيمّ],noun,[MS||MD]-[FS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[FS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,9,0,0
68,69,,stem:0-1-2-3-4,بَحْر,[بَحْر]-[بِحار]-[بُحُور]-[أَبْحار]-[أَبْحُر],noun,[MS||MD]-[MS]-[MS]-[MS]-[MS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS]-[MS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,40,0,0
69,70,,stem:0-1-2-3-4-0,قَفا,[قَف]-[قُفِيّ]-[قِفِيّ]-[أَقْفا]-[أَقْفِي]-[قَف],noun,[MS||MD]-[MS]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p]-[p] stem:0-1-2-3-4-0,OK+,,6,0,0
70,71,,stem:0-1-2-3-4,بَعِير,[بَعِير]-[بَعارِين]-[بُعْران]-[أَباعِر]-[أَبْعِر],noun,[MS||MD]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,15,0,0
71,72,,stem:0-1-2-3-1,سَبْع,[سَبْع]-[سُبُوع]-[سِبَاع]-[أَسْبُع]-[سُبُوع],noun,[MS||MD]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-1,OK+,,5,0,0
72,73,,stem:0-1-2,مَكان,[مَكان]-[أَماكِن]-[أَمْكِن],noun,[MS||MD]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,186,0,0
73,74,,stem:0-1-2-3,صَبِيّ,[صَبِيّ]-[صِبْيان]-[صِبْي]-[أَصْبِي],noun,[MS||MD]-[MS]-[FS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[FS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,4,0,0
74,75,,stem:0-1-2-3,رَحَى,[رَحَى]-[أَرْحا]-[أَرْحِي]-[رُحِي],noun,[MS||MD]-[MS]-[FS]-[FS],[f]-[f]-[f]-[f],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[FS]-[FS] [f]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,4,0,0
75,76,,stem:0-1-1,مَكان,[إِذْن]-[أُذُون]-[أُذُون],noun,[MS||MD]-[MS]-[FP],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FP] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,33,0,0
76,77,,stem:0-1-2,عُرْس,[عُرْس]-[أَعْراس]-[عُرُس],noun,[MS||MD]-[MS]-[FP],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FP] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,3,0,0
77,78,,stem:0-1-1,طَرِيق,[طَرِيق]-[طُرُق]-[طُرُق],noun,[MS||MD]-[MS]-[FP],[f]-[f]-[f],[-]-[p]-[p],[MS||MD]-[MS]-[FP] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-1,OK+,,3,0,0
78,79,,stem:0-1-1,فَتْوَى,[فَتْو]-[فَتاو]-[فَتاو],noun,[MS||MD]-[MS]-[MS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD]-[MS]-[MS] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-1,OK+,,6,0,0
79,80,,stem:0-1-1,جِهاز,[جِهاز]-[أَجْهِز]-[أَجْهِز],noun,[MS||MD]-[FS]-[FP],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[FS]-[FP] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,3,0,0
80,81,,stem:0-1-1,أُسْقُف,[أُسْقُف]-[أَساقِف]-[أَساقِف],noun,[MS||MD]-[MS]-[FS],[-]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [-]-[m]-[m] [-]-[p]-[p] stem:0-1-1,OK+,,33,0,0
81,82,,stem:0-1-2,خُوان,[خُوان]-[أَخوِين]-[أَخوِن],noun,[MS||MD]-[MS]-[FS],[f]-[m]-[m],[-]-[p]-[p],[MS||MD]-[MS]-[FS] [f]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,3,0,0
82,83,,stem:0-1-2-3,جُرْح,[جُرْح]-[جُرُوح]-[جِراح]-[أَجْراح],noun,[MS||MD]-[MS]-[MS]-[MS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,136,0,4
83,84,,stem:0-1-2-3,رِيح,[رِيح]-[رِياح]-[أَرْواح]-[أَرْياح],noun,[MS||MD]-[MS]-[MS]-[MS],[f]-[f]-[f]-[f],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS] [f]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,12,0,0
84,85,,stem:0-1-2-3-3,خَال,[خَال]-[خيلان]-[أخوال]-[خُؤُول][خُؤُول],noun,[MS||MD]-[MS]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m]-[m],[-]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m]-[m] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-3,OK+,,5,0,0
85,86,,stem:0-1-2-3-4,دار,[دار]-[دُور]-[دِيار]-[دِيَر]-[دِير],noun,[MS||MD]-[MS]-[MS]-[FS]-[FS],[f]-[f]-[f]-[f]-[f],[-]-[p]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[FS]-[FS] [f]-[f]-[f]-[f]-[f] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,5,0,0
86,87,,stem:0-1-2,عَناق,[عَناق]-[عُنُوق]-[أَعْنُق],noun,[MS||MD]-[MS]-[MS],[f]-[f]-[f],[-]-[p]-[p],[MS||MD]-[MS]-[MS] [f]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,12,0,0
87,88,,stem:0-1-2-3,عُشّ,[عُشّ]-[عِشَاش]-[أَعْشاش]-[عِشَش],noun,[MS||MD]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,56,0,0
88,89,,stem:0-1-2-2,طَقم,[طَقم]-[طُقُوم]-[طُقُوم]-[أَطْقُم],noun,[MS||MD]-[MS]-[MS]-[FS],[-]-[m]-[m]-[m],[-]-[p]-[p]-[p],[MS||MD]-[MS]-[MS]-[FS] [-]-[m]-[m]-[m] [-]-[p]-[p]-[p] stem:0-1-2-2,OK+,,8,0,0
89,90,,stem:0-1-2,شُعْبَة,[شُعْب]-[شُعَب]-[شِعاب],noun,[FS||FD]-[MS]-[MS],[-]-[f]-[f],[-]-[p]-[p],[FS||FD]-[MS]-[MS] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,,159,0,0
90,91,,stem:0-1-2,خَلِيفَة,[خَلِيف]-[خُلَفا]-[خَلائِف],noun,[FS||FD]-[MS]-[MS],[m]-[m]-[m],[-]-[p]-[p],[FS||FD]-[MS]-[MS] [m]-[m]-[m] [-]-[p]-[p] stem:0-1-2,OK+,,3,0,0
91,92,,stem:0-1-2,,,noun,[FS||FD]-[MS]-[FP],[-]-[f]-[f],[-]-[p]-[p],[FS||FD]-[MS]-[FP] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-2,OK+,FIX,69,0,0
92,93,,stem:0-1-1,قَطْْعَة,[قَطْْع]-[قَطَع]-[قَطَع],noun,[FS||FD]-[MS]-[FP],[-]-[f]-[f],[-]-[p]-[p],[FS||FD]-[MS]-[FP] [-]-[f]-[f] [-]-[p]-[p] stem:0-1-1,OK+,,3,0,0
93,94,,stem:0-1-2-3,نَصْلَة,[نَصْل]-[نِصال]-[نُصُول]-[أَنصُل],noun,[FS||FD||FP]-[MS]-[MS]-[MS],[-]-[f]-[f]-[f],[-]-[p]-[p]-[p],[FS||FD||FP]-[MS]-[MS]-[MS] [-]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,,28,0,0
94,95,,stem:0-1-2-3-4,شَفَة,[شَف]-[شَفائِف]-[شَفايِف]-[شِفاه]-[شَفَوات],noun,[FS||FD]-[MS]-[MS]-[MS]-[FP],[-]-[f]-[f]-[f]-[f],[-]-[p]-[p]-[p]-[p],[FS||FD]-[MS]-[MS]-[MS]-[FP] [-]-[f]-[f]-[f]-[f] [-]-[p]-[p]-[p]-[p] stem:0-1-2-3-4,OK+,,5,0,0
95,96,,stem:0-1-2-3,لَجْنَة,[لَجْن]-[لِجان]-[لِجَن]-[لَجَن],noun,[FS||FD]-[MS]-[MS]-[FP],[-]-[f]-[f]-[f],[-]-[p]-[p]-[p],[FS||FD]-[MS]-[MS]-[FP] [-]-[f]-[f]-[f] [-]-[p]-[p]-[p] stem:0-1-2-3,OK+,FP IS NOT SIGNED AS BROKEN PLURAL ,8,0,0
