,LINE,STATUS,COUNT,SIGNATURE,LEMMA,DIAC_AR,DIAC,FREQ,QC,Comments,PATTERN,STEM,BW,GLOSS,COND-S,COND-T,PREF-CAT,STEM-CAT,SUFF-CAT,FEATS,DEBUG,COLOR
10,11,OK-ONE,1,VERB.I3FD.AI,taDam~an_1,تَتَضَمَّنانِ,tataDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV3FD+a/STEM+taDam~an/IV+Ani/IVSUFF_SUBJ:3FD_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3FD.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:a per:3 gen:f num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
11,12,OK-ONE,1,VERB.I3MP.AI,taDam~an_1,يَتَضَمَّنُونَ,yataDam~anuwna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MP+a/STEM+taDam~an/IV+uwna/IVSUFF_SUBJ:3MP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3MP.I]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:a per:3 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
12,13,OK-ONE,1,VERB.I3FP.AI,taDam~an_1,يَتَضَمَّنَّ,yataDam~an~a,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3FP+a/STEM+taDam~an/IV+~a/IVSUFF_SUBJ:3FP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I3FP.I]_[CS:c-suff]_[CT:#n]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy],pos:verb asp:i vox:a per:3 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
13,14,OK-ONE,1,VERB.I1S.PI,taDam~an_1,أُتَضَمَّنُ,>utaDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),>/IV1S+u/STEM+taDam~an/IV_PASS+u/IVSUFF_SUBJ:1S_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1S.I]_[CS:h-pref]_[CT:-]_[CF:a-#],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I1S.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:1 gen:u num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
14,15,OK-ONE,1,VERB.I1P.PI,taDam~an_1,نُتَضَمَّنُ,nutaDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),n/IV1P+u/STEM+taDam~an/IV_PASS+u/IVSUFF_SUBJ:1P_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1P.I]_[CS:-]_[CT:-]_[CF:enc0:1*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I1P.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:1 gen:u num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
15,16,OK-ONE,1,VERB.I2MS.PI,taDam~an_1,تُتَضَمَّنُ,tutaDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2MS+u/STEM+taDam~an/IV_PASS+u/IVSUFF_SUBJ:2MS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I2MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:2 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
16,17,OK-ONE,1,VERB.I2FS.PI,taDam~an_1,تُتَضَمَّنِينَ,tutaDam~aniyna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2FS+u/STEM+taDam~an/IV_PASS+iyna/IVSUFF_SUBJ:2FS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I2FS.I]_[CS:v-suff+y-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:p per:2 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
17,18,OK-ONE,1,VERB.I2D.PI,taDam~an_1,تُتَضَمَّنانِ,tutaDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2D+u/STEM+taDam~an/IV_PASS+Ani/IVSUFF_SUBJ:2D_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2D.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I2D.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:p per:2 gen:u num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
18,19,OK-ONE,1,VERB.I2MP.PI,taDam~an_1,تُتَضَمَّنُونَ,tutaDam~anuwna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2MP+u/STEM+taDam~an/IV_PASS+uwna/IVSUFF_SUBJ:2MP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2MP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I2MP.I]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:p per:2 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
19,20,OK-ONE,1,VERB.I2FP.PI,taDam~an_1,تُتَضَمَّنَّ,tutaDam~an~a,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2FP+u/STEM+taDam~an/IV_PASS+~a/IVSUFF_SUBJ:2FP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2FP.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I2FP.I]_[CS:c-suff]_[CT:#n]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy],pos:verb asp:i vox:p per:2 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
20,21,OK-ONE,1,VERB.I3MS.PI,taDam~an_1,يُتَضَمَّنُ,yutaDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MS+u/STEM+taDam~an/IV_PASS+u/IVSUFF_SUBJ:3MS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3MS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:3 gen:m num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
21,22,OK-ONE,1,VERB.I3FS.PI,taDam~an_1,تُتَضَمَّنُ,tutaDam~anu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV3FS+u/STEM+taDam~an/IV_PASS+u/IVSUFF_SUBJ:3FS_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FS.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3FS.I]_[CS:v-suff+u-suff+z-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA],pos:verb asp:i vox:p per:3 gen:f num:s mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
22,23,OK-ONE,1,VERB.I3MD.PI,taDam~an_1,يُتَضَمَّنانِ,yutaDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MD+u/STEM+taDam~an/IV_PASS+Ani/IVSUFF_SUBJ:3MD_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3MD.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:p per:3 gen:m num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
23,24,OK-ONE,1,VERB.I3FD.PI,taDam~an_1,تُتَضَمَّنانِ,tutaDam~anAni,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV3FD+u/STEM+taDam~an/IV_PASS+Ani/IVSUFF_SUBJ:3FD_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FD.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3FD.I]_[CS:v-suff+A-suff+#^i]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-a>],pos:verb asp:i vox:p per:3 gen:f num:d mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
24,25,OK-ONE,1,VERB.I3MP.PI,taDam~an_1,يُتَضَمَّنُونَ,yutaDam~anuwna,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3MP+u/STEM+taDam~an/IV_PASS+uwna/IVSUFF_SUBJ:3MP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3MP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3MP.I]_[CS:v-suff+w-suff]_[CT:-]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA],pos:verb asp:i vox:p per:3 gen:m num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,0
25,26,OK-ONE,1,VERB.I3FP.PI,taDam~an_1,يُتَضَمَّنَّ,yutaDam~an~a,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),y/IV3FP+u/STEM+taDam~an/IV_PASS+~a/IVSUFF_SUBJ:3FP_MOOD:I,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I3FP.I]_[CS:-]_[CT:-]_[CF:-],X:[I]_[CS:u-#+#n+intrans]_[CT:u-#]_[CF:>-#],S:[I3FP.I]_[CS:c-suff]_[CT:#n]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy],pos:verb asp:i vox:p per:3 gen:f num:p mod:i enc0:0 prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0,1
26,27,OK-ONE,1,VERB.I1S.AI.E0,taDam~an_1,أَتَضَمَّنُهُ,>ataDam~anuhu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),>/IV1S+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:1S_MOOD:I+hu/XVSUFF_DO:3MS,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1S.I]_[CS:h-pref]_[CT:a-#]_[CF:>-#],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I1S.I]_[CS:v-suff+u-suff+z-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA+#^i||#^iy],pos:verb asp:i vox:a per:1 gen:u num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
27,28,OK-ONE,1,VERB.I1P.AI.E0,taDam~an_1,نَتَضَمَّنُهُ,nataDam~anuhu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),n/IV1P+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:1P_MOOD:I+hu/XVSUFF_DO:3MS,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I1P.I]_[CS:-]_[CT:-]_[CF:enc0:1*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I1P.I]_[CS:v-suff+u-suff+z-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA+#^i||#^iy],pos:verb asp:i vox:a per:1 gen:u num:p mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
28,29,OK-ONE,1,VERB.I2MS.AI.E0,taDam~an_1,تَتَضَمَّنُهُ,tataDam~anuhu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2MS+a/STEM+taDam~an/IV+u/IVSUFF_SUBJ:2MS_MOOD:I+hu/XVSUFF_DO:3MS,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2MS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2MS.I]_[CS:v-suff+u-suff+z-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-iy+#-aY||#-uw||#-aA+#^i||#^iy],pos:verb asp:i vox:a per:2 gen:m num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,0
29,30,OK-ONE,1,VERB.I2FS.AI.E0,taDam~an_1,تَتَضَمَّنِينَهُ,tataDam~aniynahu,139,OK,,ta1a2~a3,[taDam~an](0)[taDam~an](1),t/IV2FS+a/STEM+taDam~an/IV+iyna/IVSUFF_SUBJ:2FS_MOOD:I+hu/XVSUFF_DO:3MS,guarantee;comprise;include,[a-# #n trans](0)[u-# #n intrans](1),[-](0)(1),P:[I2FS.I]_[CS:-]_[CT:-]_[CF:enc0:2*],X:[I]_[CS:a-#+#n+trans]_[CT:a-#]_[CF:>-#],S:[I2FS.I]_[CS:v-suff+y-suff+enc0]_[CT:trans]_[CF:#-A'+#-a>+#-uw+#-}iy+#-aA+#->ay+#-aY+#-uw'+#-u&+#-iy'+#-iy+#-aY||#-aA+#^i||#^iy],pos:verb asp:i vox:a per:2 gen:f num:s mod:i enc0:3ms_dobj prc0:0 prc1:0 prc2:0 prc3:0,OK XVox0 M0 PP0 PS0 FSE0,1
